Exporters	Imported value in 2010-M07	Imported value in 2010-M08	Imported value in 2010-M09	Imported value in 2010-M10	Imported value in 2010-M11	Imported value in 2010-M12	Imported value in 2011-M01	Imported value in 2011-M02	Imported value in 2011-M03	Imported value in 2011-M04	Imported value in 2011-M05	Imported value in 2011-M06	Imported value in 2011-M07	Imported value in 2011-M08	Imported value in 2011-M09	Imported value in 2011-M10	Imported value in 2011-M11	Imported value in 2011-M12	Imported value in 2012-M01	Imported value in 2012-M02	
"Italy"	6721	4146	5054	6064	4624	4377	4154	4489	7038	5702	5397	5222	6200	4226	4912	6024	5332	3632	3243	5056	
"Austria"	1930	1170	1621	803	2116	334	1430	1399	2304	1493	1754	1231	1555	1304	823	1445	969	432	683	2189	
"Germany"	596	364	841	566	408	318	647	755	1032	782	724	877	1163	890	864	661	836	432	239	1316	
"Turkey"	2352	3098	3283	5750	3998	3280	1623	1063	2261	4331	3369	3283	1113	2417	2212	1930	1198	1429	4196	1187	
"China"	2133	2130	1978	1618	1125	1578	1337	716	1728	1573	1744	1295	1827	1524	1685	1392	1679	1442	1322	1123	
"Portugal"	985	534	821	1140	959	432	807	664	798	791	847	810	892	455	797	757	706	501	581	933	
"Ireland"	1067	523	489	743	1057	227	344	152	24	259	388	375	12	564	699	921	961	167	708	670	
"Denmark"	1726	1661	1703	1250	1237	1022	740	1089	1029	1040	883	1199	1283	1468	1117	907	1054	830	587	659	
"Poland"	519	377	448	531	500	330	319	463	470	573	808	798	807	995	797	818	763	393	456	595	
"United States of America"	479	809	821	1444	763	595	598	628	710	703	764	450	707	679	735	404	532	615	625	487	
"Netherlands"	244	303	283	235	380	159	242	231	300	431	285	474	707	399	736	442	373	98	281	333	
"Czech Republic"	3424	5289	6617	7534	2880	1303	1476	2060	2388	535	1968	4582	4640	6435	4996	5989	2268	653	1011	318	
"France"	157	161	621	906	392	133	180	230	138	849	446	155	102	142	179	179	147	117	110	245	
"Hungary"	466	293	153	170	276	166	179	65	137	215	357	121	297	101	266	36	99	166		215	
"Spain"	397	234	115	397	86	28	45	478	139	168	110	155	330	175	302	94	300	163	116	215	
"Romania"	83	208	197	150		129			235	286		83	120	207	384	167	431	24	216	209	
"New Zealand"	8	44	62	76	74	48			55	34		87	55	34				121		105	
"Japan"	9		80	100	226	89	155	135	112	118	64	184	111	16		49	61	84	121	63	
"Greece"	183	28	53	77	63	33	69	105	173	121	74	75	124	61	74	54	116	57	49	61	
"Belgium"	72	45	48	75	56	39	56	64	78	81	66	108	106	65	140	80	100	65	38	56	
"Finland"	105	144	193	233	121	85	84	116	146	314	123	186	141	297	343	146	104	3	61	46	
"Sweden"	1	9	6	1	0	1	0	4	1	2	1	1	3	1	32	2	1	0	10	26	
"Slovakia"	57	34	157	75	102	28		10	52	54	10	8	11	31	82	100	107	50	43	23	
"Bulgaria"																8	1			17	
"Norway"				7	4					4		8	6					1	2	5	
"Thailand"		0	0	0	8	1	0	0	0		0	2		0	0	0	0	0	0	0	
"Canada"											0		0				0			0	
"Chile"					0									0				0		0	
"Australia"	0		0		4	0	0	0			0	4	0	0	0	0		0	47	0	
"Israel"	0	0	47	394	0	0	0	0	0	0	0				0				0	0	
"Jordan"		0			0				0		0				0	0		0		0	
"Nigeria"											0					0			0	0	
"New Caledonia"							0														
"Russian Federation"		88		46		78			5												
"Serbia"				3							4						1				
"India"	0	0		0	0	0	0		0							2					
"Kenya"	0		0	0		0		0	0	0		0	0		0	0	0				
"Korea, Republic of"																6			23		
"Lebanon"	21																				
"Latvia"																1					
"Lithuania"												3					32				
"Luxembourg"	6	16	49	46	29																
"Malaysia"	12	25									0	0			0	0					
"Maldives"			0	0		0									0						
"Mauritius"	0				0			0													
"Mexico"	2												0	18				1			
"Taipei, Chinese"													58			6		9			
"Morocco"	0	0				0															
"Iceland"				0					0						0		0		0		
"Indonesia"			0				8						0								
"Guatemala"	1			3		63		3						1							
"Slovenia"		1	2	5	7	2		2		6			3	1			1				
"South Africa"	251	71	136	275	210	112		111	0	315	260		115	39	35	43	40	0			
"Switzerland"	5	0			2					11	13		3				1	1			
"Uganda"										0					0			0			
"Egypt"	0	0	0	0	0		0				0	0		0			0	0	0		
