Importers	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	
"World"	48968	56665	60039	52088	71285	68144	67273	60312	63398	67754	67697	57540	50423	65932	73781	69871	67657	63371	58903	57570	
"United States of America"	6955	8255	9325	9318	14270	11029	11909	11052	13585	12497	13764	11806	9263	14404	13637	13095	13519	12738	10937	11175	
"Australia"	3228	3611	3969	3411	3940	5152	6165	6257	7737	7729	7477	6624	6592	5304	5672	6666	6721	5388	5299	7279	
"Italy"	3241	2766	3661	2436	1372	4317	4352	3123	1571	3321	4548	4343	1896	2609	3410	3580	2389	3736	3300	3632	
"United Kingdom"	2958	4122	3770	3420	3853	3735	3291	3912	2313	3285	2969	2410	2702	3141	4032	3779	3084	2953	2549	2624	
"Indonesia"	2975	3043	2218	2106	1274	2710	2269	3279	2936	2066	500	1437	2405	3418	3542	2291	929	3140	3272	2512	
"India"	1257	828	1532	964	1088	821	945	978	1691	2479	5292	2758	876	1069	1238	987	1384	2376	1767	1993	
"France"	1843	1986	1209	1537	1627	1451	2172	1094	1438	1464	1787	2087	2054	2044	1464	1874	1283	1745	1989	1465	
"Germany"	2046	2872	1777	2025	3209	1848	2241	1542	2676	2883	2774	1762	1584	3074	3473	2486	2746	1669	1371	1396	
"Netherlands"	1114	709	1613	1631	1570	1575	1140	1015	937	873	1672	983	831	2173	1550	1841	1879	1409	1169	1116	
"Japan"	382	1530	1250	1699	2207	1206	1209	1267	705	635	928	535	671	1288	966	1244	1503	1249	966	1094	
"Canada"	745	760	900	738	1205	1047	1301	1293	1117	928	951	557	906	893	1411	648	1041	1214	1154	1094	
"Saudi Arabia"	754	1025	1841	693	1546	1792	1247	1451	556	1190	1240	1411	2121	2200	3548	2567	2284	1357	1442	1076	
"Colombia"	196	145	762	427	630	805	707	705	434	745	294	470	103	330	445	630	684	942	577	1032	
"New Zealand"	578	444	1046	350	891	821	911	601	866	1004	731	478	448	827	978	622	586	823	836	951	
"South Africa"	229	433	244	643	1498	1009	655	549	895	461	786	1096	314	639	406	616	1005	635	486	945	
"Malaysia"	1184	1493	1149	996	1671	1181	1623	961	1151	1439	1714	749	452	1085	1113	1369	1264	1005	1261	933	
"Hong Kong, China"	916	819	1009	1211	974	1814	1070	1138	1183	894	881	586	644	920	870	837	971	926	965	913	
"Korea, Republic of"	353	581	576	875	635	599	484	509	363	609	328	304	473	432	658	638	780	348	686	851	
"Algeria"	882	385	252	75	227	119	87	19	239	148	1035	755	675	291	340	533	869	495	299	820	
"Philippines"	740	1144	663	848	853	1091	1015	1217	1790	1072	773	548	1192	931	1468	1420	1231	1933	1044	717	
"Chile"	398	650	750	636	872	1564	1680	919	1159	987	1361	766	340	925	791	899	1295	1423	876	710	
"Singapore"	633	650	857	586	1254	1214	1119	1095	742	1610	616	371	571	733	711	1001	901	642	1214	709	
"Korea, Democratic People's Republic of"	8	48	160	46	156	230	140	82	30	127	29	13	17	176	134	171	109	115	99	688	
"Viet Nam"	1770	1264	1674	1091	1338	609	963	1057	1056	960	541	306	557	1544	1511	742	773	1048	1419	663	
