Importers	Exported value in 2007-M11	Exported value in 2007-M12	Exported value in 2008-M01	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	
"World"	91212	77463	62835	65718	82691	92434	96529	99615	117602	134396	139049	112977	99372	91195	83625	81682	106290	101485	105728	120405	
"Japan"	10258	16469	14317	18907	20485	19648	20528	21734	27744	36104	38378	22055	29228	31984	22426	30893	32139	23216	19925	23749	
"France"	3026	4484	3718	2468	2998	2435	5500	4526	5539	3437	2984	2099	4109	5035	4553	3448	4869	8092	11163	18756	
"United States of America"	2841	3920	3198	1346	1669	4859	4773	3811	3002	3891	5017	4059	3953	2068	3890	2260	6839	4401	8081	8534	
"Netherlands"	3095	1457	1522	2499	4168	3734	6033	10117	5110	982	1682	1765	1732	3768	2779	7669	8195	7401	7550	6672	
"United Kingdom"	9328	5935	2707	2860	3738	5306	6653	7005	11231	7539	6107	5892	7033	3566	3057	1759	4468	3991	3900	6669	
"Italy"	1830	1025	1020	849	1960	4645	4013	1295	4207	7504	5222	2703	1414	1194	1150	767	2432	2881	3600	5112	
"Bangladesh"	4162	2757	1249	547	691	1404	900	1932	3676	2445	5464	8453	7704	2288	1005	1931	1827	1284	2428	4553	
"Germany"	690	1246	1290	1815	1382	2155	2543	1756	2405	3418	2359	2937	2743	3875	4077	1902	3254	3447	2407	4129	
"Kazakhstan"	1623	1065	577	212	986	1432	1049	1245	1860	4421	1806	3621	964	503	10	113	1008	4123	2695	4107	
"Australia"	4747	3667	2561	2184	3106	2011	1824	3831	2063	3416	2935	1371	3316	2242	2337	2276	2090	1219	1376	2420	
"Spain"	846	792	993	427	2780	1272	1929	1812	769	2834	2489	4977	3133	1981	2231	2614	2079	2717	3639	2275	
"South Africa"	1640	1312	890	1778	1141	1516	749	1285	2141	2461	5443	3652	1317	2396	1398	4344	2684	2146	1809	2244	
"Cuba"	13977	8783	0	48	1022	5453	4140	4933	8746	6751	3247	0	1355	1134	4621	0	0	256	588	2224	
"Saudi Arabia"	846	226	516	104	1157	1245	872	786	361	300	723	295	126	569	318	0	529	718	1026	1746	
"Jordan"	0	542	2067	1101	3184	1090	1020	315	219	185	855	588	375	147	2027	2617	5674	3922	2386	1725	
"Russian Federation"	4403	4006	4928	6656	4101	5045	2936	3127	2889	7902	11864	12702	2653	4085	5919	2582	7096	5203	3279	1658	
"Canada"	730	517	301	243	265	501	720	254	509	1567	845	988	898	460	138	211	486	754	1052	1336	
"Nigeria"	1006	781	1528	1163	2008	2242	2635	3740	3197	3326	3106	1236	2463	1719	1385	1266	971	823	2049	1069	
"Brazil"	568	731	451	392	292	783	201	223	992	843	1364	997	547	271	81	230	209	381	622	1057	
"Portugal"	418	440	242	376	488	931	483	970	625	482	579	1144	954	665	807	259	381	916	760	1055	
"Poland"	884	314	540	1347	1004	1086	261	656	541	2150	2441	1390	576	1607	1773	1256	784	1946	1879	1004	
"Iraq"	388	395	671	1695	2030	1581	1689	993	834	840	855	302	609	92	826	1237	618	1514	1821	860	
"United Arab Emirates"	577	943	917	1125	785	1312	1878	1235	2114	1438	1480	1005	1690	1179	1070	1074	702	1234	1352	769	
"Hong Kong, China"	866	1219	1038	233	276	677	338	412	604	941	608	624	1204	892	401	394	515	543	480	676	
"Yemen"	491	465	707	176	903	125	542	483	889	955	438	98	540	154	262	71	265	1759	445	665	
"Uzbekistan"	42	149	30	0	33	36	238	31	913	37	940	54	0	711	0	0	107	225	618	577	
"Malaysia"	1049	495	915	475	280	454	507	645	869	652	477	417	465	565	364	207	436	255	260	541	
"Turkey"	30	2	31	32	142	135	228	0	73	567	27	268	0	185	203	298	157	596	92	529	
"Libya, State of"	4	17	0	196	283	0	93	0	391	313	211	244	0	60	174	1	268	25	122	515	
"Hungary"	460	132	228	301	476	133	491	681	616	637	1051	663	65	255	578	523	525	210	747	495	
"Kuwait"	116	113	140	401	553	666	344	292	546	374	110	113	923	184	891	450	244	1227	405	467	
"Korea, Republic of"	433	74	78	54	74	149	97	118	152	211	442	189	113	58	30	23	2	137	1078	455	
"Greece"	115	356	97	180	177	280	554	473	791	444	487	880	308	217	366	235	852	400	484	450	
"Venezuela, Bolivarian Republic of"	323	0	0	80	996	724	745	999	1159	1768	1501	1293	389	992	1069	985	883	1461	692	450	
"Angola"	625	599	971	274	528	539	1086	398	1660	1044	1492	1086	1295	3997	2147	1126	1762	1302	848	438	
"Singapore"	844	940	302	410	452	270	315	749	366	437	628	503	389	293	255	166	389	301	343	435	
"Mexico"	219	0	0	79	804	118	0	43	21	42	1037	993	318	61	60	227	753	235	168	410	
"Sweden"	899	120	111	126	61	263	340	374	531	305	386	527	259	145	134	236	169	268	281	401	
"Ethiopia"	61	136	0	34	374	34	116	305	173	117	231	19	199	178	46	220	107	0	61	368	
"Algeria"	112	48	74	494	768	989	127	783	199	409	0	683	733	614	635	280	395	356	1890	348	
"Korea, Democratic People's Republic of"	17	91	14	100	215	538	153	331	221	184	86	58	16	225	18	71	24	21	142	346	
"Iran, Islamic Republic of"	380	302	669	710	1397	2373	1733	635	2298	2334	866	1054	3097	1475	621	170	1280	848	1276	343	
"India"	130	53	239	170	456	442	427	71	352	857	556	156	199	34	257	400	538	395	296	338	
"Denmark"	69	84	86	25	130	325	541	290	369	116	136	147	67	93	80	124	100	251	197	329	
"Kyrgyzstan"	108	72	0	0	63	75	91	161	574	478	133	226	111	51	21	164	85	171	304	310	
"Tunisia"	478	333	219	241	23	577	1604	463	728	573	458	478	279	61	0	0	29	54	347	299	
"Morocco"	913	107	49	374	221	500	1007	419	610	793	607	849	361	362	197	77	204	432	466	298	
"Belgium"	586	121	244	92	194	553	411	112	282	144	250	239	370	208	149	107	82	148	206	280	
"Latvia"	788	224	741	516	965	1200	773	304	193	757	759	1256	506	284	336	491	230	86	277	259	
"Philippines"	122	190	200	198	351	252	426	200	129	212	344	283	344	377	271	206	252	619	284	243	
"Colombia"	0	356	42	61	463	381	143	62	65	92	425	183	350	221	369	397	299	272	252	236	
"Chile"	53	206	249	339	326	523	541	1482	837	470	1448	230	175	169	486	190	356	271	542	232	
"Viet Nam"	235	229	577	358	972	374	206	381	160	116	170	12	184	61	162	65	441	501	286	231	
"Ukraine"	4988	2255	4720	4334	1810	1397	1027	1897	884	3466	4795	3669	258	0	0	0	0	119	61	214	
"Israel"	253	141	31	0	221	61	166	20	383	53	272	308	36	115	18	0	37	291	0	207	
"Czech Republic"	38	231	89	15	65	161	81	93	187	191	382	289	317	229	220	159	384	428	511	204	
"Indonesia"	254	270	195	130	336	223	295	806	364	202	367	228	254	366	170	288	175	455	156	174	
"Haiti"	77	18	37	35	20	0	0	39	0	21	37	38	43	0	283	54	90	50	37	174	
"Panama"	813	451	348	345	680	631	965	1428	1116	1124	613	450	311	312	188	162	472	311	644	169	
"Kenya"	97	48	117	18	107	38	70	88	181	68	96	364	183	78	53	43	85	64	36	167	
"Ghana"	113	62	162	39	76	155	75	144	56	206	94	172	235	71	279	25	55	194	134	150	
"Mozambique"	0	155	0	0	14	13	0	32	139	66	17	0	257	39	31	0	0	0	0	146	
"Thailand"	417	358	311	497	161	350	157	87	210	317	384	375	62	205	173	235	165	274	241	145	
"Myanmar"	44	90	123	163	164	17	111	179	54	63	26	111	106	127	0	119	261	214	196	141	
"Tajikistan"	3	0	0	0	0	0	69	155	15	0	0	48	38	15	0	0	49	47	47	138	
"Mauritius"	120	66	0	81	30	122	119	44	51	130	170	200	46	191	92	133	162	110	171	135	
"Tanzania, United Republic of"	75	59	94	0	49	68	42	87	104	44	71	40	37	57	126	13	9	6	17	134	
"Finland"	1435	777	0	29	35	383	661	1333	1200	1384	2339	2735	388	0	94	36	36	122	196	122	
"Niger"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	118	
"Mongolia"	222	205	254	152	156	247	129	100	210	324	91	554	381	17	13	0	0	0	10	110	
"Namibia"	78	0	148	28	16	0	31	0	0	341	47	12	357	230	508	36	160	49	16	108	
"Uruguay"	403	380	0	41	159	39	201	19	143	152	79	141	116	27	15	32	0	0	129	100	
"Côte d'Ivoire"	0	30	58	0	32	12	26	0	0	54	165	0	18	124	60	38	0	33	111	99	
"Djibouti"	0	0	0	60	111	0	0	0	0	0	245	0	18	0	286	0	79	0	0	90	
"Norway"	175	320	87	127	110	201	158	541	260	354	125	114	167	263	223	68	263	193	324	88	
"Guatemala"	0	65	17	0	159	61	44	39	16	56	54	21	17	0	0	16	55	46	10	86	
"Cyprus"	47	0	20	0	107	31	106	0	153	58	22	56	119	35	109	0	10	15	148	84	
