Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"World"	76555	76235	61081	73246	70734	81627	49263	79018	85231	89453	83119	77071	78286	76128	74822	85245	97631	87015	80016	79368	
"United States of America"	15942	15743	14344	16972	15746	21556	16832	20244	19757	20369	19047	18750	15443	17303	17163	21111	20210	22889	21051	19995	
"Australia"	5856	7133	5591	7638	5850	8508	4827	8144	6653	7634	7070	6152	5895	5355	5601	7499	7581	6462	6513	7060	
"Italy"	4194	4579	2524	3148	5997	4420	3179	3976	7400	4910	4522	1294	4094	3604	2913	3606	4842	5013	3637	5276	
"Indonesia"	3381	6892	3423	4418	2658	4142	1088	2408	3775	4368	1811	4054	2712	2127	5386	4013	7596	2764	2665	4086	
"United Kingdom"	4218	2964	3678	2901	4227	3923	1640	3269	3267	3940	4483	3491	4837	3226	3003	1973	5063	3683	3274	3158	
"France"	1740	2550	1109	940	1794	1807	1164	2373	3264	2070	3036	2885	2708	2102	1536	1587	2075	2505	2649	2792	
"Germany"	2045	1880	948	2512	2288	2562	1197	2619	2656	1585	3136	1833	2499	1595	2689	2530	3533	1613	1472	2629	
"India"	3186	3380	3222	2722	1946	3306	1522	1948	2070	1821	1397	998	2250	3021	3330	2336	3447	3811	3748	2445	
"Japan"	1485	1182	923	1105	828	1333	690	951	926	756	1370	1746	1118	1231	1072	891	1792	1893	1391	2390	
"Viet Nam"	1234	1233	867	1785	1739	478	630	903	1305	1294	1969	1859	1809	1920	1469	3079	3068	2359	1320	1753	
"Netherlands"	2533	2563	1673	1933	2473	2228	904	1558	2361	2552	2482	2757	2571	2975	2313	2770	3929	2047	2852	1569	
"Philippines"	1749	2353	1516	1676	1485	1453	304	2356	1610	1702	2078	1352	1819	1142	1711	2516	1650	2089	1462	1451	
"Canada"	1449	1482	974	1001	1836	1361	607	1221	1542	1313	2025	1863	1944	2298	1754	1774	2120	2255	1223	1405	
"Taipei, Chinese"	544	570	197	614	542	656	184	495	310	565	556	433	418	619	488	401	722	558	296	1402	
"United Arab Emirates"	1042	666	741	770	919	1435	537	1110	1172	1522	2112	1302	1967	1759	874	1628	1693	1753	1657	1393	
"Malaysia"	1601	802	932	1177	1907	769	478	959	988	1019	1272	1226	1283	1026	849	1725	1787	1505	1562	1239	
"Hong Kong, China"	1373	1021	1290	1714	875	883	462	1030	1208	1263	1164	1460	1294	1581	1179	2046	1566	1025	471	1232	
"Spain"	791	473	304	774	378	1121	461	931	1157	1023	869	925	1022	714	619	998	462	929	967	952	
"Denmark"	677	567	654	247	449	878	476	1068	1018	1235	946	1009	1166	566	997	333	627	709	834	907	
"Singapore"	984	735	471	558	734	787	428	804	498	781	524	890	842	519	663	899	1007	564	459	833	
"Thailand"	987	750	743	664	671	784	421	733	999	734	784	482	916	618	460	631	839	1007	438	822	
"Iraq"	705	473	207	708	430	1277	572	1959	1603	1800	994	890	851	362	288	250	386	1115	559	807	
"New Zealand"	1054	1177	920	1002	957	993	805	963	1027	918	731	836	1133	1118	1101	978	1019	1050	1014	786	
"Saudi Arabia"	1343	875	1134	1613	1336	923	1546	2301	2591	3932	1992	2007	1174	2616	2066	1070	1203	1499	1295	592	
"Poland"	430	693	381	371	271	735	254	954	585	704	600	811	351	383	438	837	1174	718	639	574	
