Importers	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	
"World"	173230	190233	145291	144775	141763	140622	110161	156669	159018	189640	181077	182042	180199	172017	163430	159298	150626	172863	126399	169133	
"Japan"	42401	41976	23756	38532	32677	42331	25000	32172	27939	36262	37855	39415	43776	30867	31011	31283	37231	45194	36254	38766	
"United States of America"	18130	24424	15278	12341	20720	13980	11429	20433	32516	36956	35020	27542	24784	34024	26143	18943	18904	19494	16154	24477	
"Germany"	7250	6965	5355	8348	9792	13812	8679	11359	10959	15503	10976	13763	15695	18502	23600	17788	18181	20235	15896	11246	
"United Kingdom"	12200	14356	15549	13952	14077	7997	6428	10348	10959	13744	13248	15548	12820	8230	7677	8184	7228	6569	5185	7955	
"France"	6593	6468	6130	6700	7599	4695	3257	7226	5390	6501	6040	7075	6692	7050	4562	6322	6225	5703	4134	7106	
"Russian Federation"	9705	11425	10279	3661	2622	1708	1252	3212	4626	8442	8819	8779	6646	6816	6419	4740	5077	9139	4628	6899	
"Italy"	3964	2256	2980	2526	2360	6307	4524	4828	3584	2454	2279	1643	2323	2340	886	1472	3206	2617	1665	4543	
"Australia"	3800	3624	5722	5576	5981	2830	4504	4004	2599	2918	3206	1647	3207	3353	4891	7411	3500	4443	2936	4527	
"South Africa"	12332	11507	8909	3461	2904	3322	2669	5850	5753	5780	6986	3229	3748	5312	5249	4259	2086	3180	1953	3846	
"Algeria"	366	538	422	66	248	966	647	1069	1081	2094	942	1570	268	155	1587	2448	776	4140	2088	2783	
"Netherlands"	1504	1781	1722	2206	1355	1891	1787	1358	1167	1713	1049	905	882	1390	1325	1543	1436	1194	1098	2542	
"Saudi Arabia"	899	874	1429	1581	875	1568	1220	2819	2875	2234	2077	3011	1674	1507	1535	675	920	2734	2459	2537	
"Bangladesh"	7392	9359	2015	1255	1423	1119	1017	1573	2358	1977	2599	3311	7011	4636	2601	1603	1188	2232	1431	2433	
"India"	1658	4169	335	252	182	561	1028	2700	1344	1619	1528	1691	1405	768	1433	1106	655	757	1827	2323	
"Spain"	2875	3330	2421	2609	2058	2049	1702	2628	2796	3100	3525	3433	2420	1926	1358	2157	1680	2725	1843	2315	
"Iraq"	2697	1889	1706	1099	1402	2419	3223	2761	2465	3167	3217	3711	2253	1958	522	1710	896	1933	1229	2261	
"Canada"	1532	2081	1210	2105	1439	1358	1814	1852	2504	3330	2497	3072	3126	2930	2834	4089	2626	2368	1544	1930	
"Chile"	3102	2751	3782	906	2408	1801	1012	1830	2044	1644	1210	2392	1699	3755	3006	3473	2781	2769	1637	1873	
"Nigeria"	1722	1456	681	1533	1710	1282	2800	2889	1907	1607	1154	1689	1311	1899	538	1744	910	2085	1367	1780	
"Venezuela, Bolivarian Republic of"	3693	3430	2370	4512	3699	1263	3023	4045	4444	6428	1911	327	494	78	1779	4287	5421	2890	335	1716	
"Poland"	3202	2693	4051	1083	863	1423	987	973	1093	1337	635	1498	998	1415	1989	1044	1581	1753	1575	1687	
"Uzbekistan"	287	399	477	1942	1045	472	814	1370	721	428	297	609	1170	1061	1062	844	1447	275	554	1681	
"Peru"	198	312	636	460	552	694	583	815	465	357	877	1171	449	451	1097	472	349	1193	933	1450	
"Georgia"	88	368	1135	179	141	37	435	856	1117	1826	456	306	544	604	817	459	323	687	443	1438	
"Viet Nam"	335	678	840	1123	1085	287	286	1139	983	535	430	329	258	1340	2022	1201	1864	825	478	1257	
"Korea, Republic of"	36	2796	2077	2676	85	58	11	32	67	90	340	1250	782	748	606	621	262	858	410	1225	
"United Arab Emirates"	1144	1062	578	847	401	858	469	1193	1462	1646	6278	1058	3101	3715	2483	709	1580	1822	744	1207	
"Yemen"	347	544	749	393	310	503	2180	1227	1043	936	565	451	613	1527	456	1723	1369	346	395	1204	
"Hong Kong, China"	2564	1895	1524	1278	1075	1095	580	757	706	1024	886	1122	1480	1127	1513	999	1005	879	590	1139	
"Israel"	722	984	322	406	337	1123	1214	1011	1233	1113	815	1051	568	666	604	1029	195	323	306	1115	
"Egypt"	0	1	0	0	0	0	2	1	0	90	0	0	48	1	262	23	2	117	308	1101	
"Malaysia"	270	821	412	419	892	532	316	609	464	570	524	517	670	697	467	677	740	556	391	1046	
"Angola"	645	1247	1039	953	427	655	553	1319	794	299	219	774	622	1119	1009	1249	1180	1325	899	1013	
"Philippines"	773	476	876	649	635	1115	502	939	545	718	419	827	783	734	1102	1834	877	502	589	926	
"Turkey"	367	1238	814	1102	879	1226	464	959	1036	1044	1330	1123	1648	925	675	809	791	1253	327	903	
"New Zealand"	582	1047	934	344	905	537	591	541	407	559	390	520	851	629	405	1232	666	1194	632	764	
"Indonesia"	1014	1230	736	867	811	605	837	911	1002	1006	957	1142	1002	1237	1067	1115	868	637	194	722	
"Iran, Islamic Republic of"	1843	1239	297	1737	304	1220	122	814	549	498	236	915	860	370	81	462	1835	199	290	664	
"Portugal"	281	896	658	305	498	658	124	360	715	537	570	433	437	438	739	522	692	722	444	645	
"Libya, State of"	138	330	375	218	0	389	507	216	335	509	255	219	723	238	354	255	64	135	461	605	
"Ukraine"	351	170	384	328	229	233	62	420	206	1219	2454	304	1456	635	605	236	274	238	255	604	
"Mongolia"	730	827	564	572	483	363	254	388	404	652	599	547	507	621	516	676	535	409	266	509	
"Armenia"	15	71	63	269	0	56	24	302	115	396	410	77	154	88	246	251	43	58	138	506	
"Kyrgyzstan"	626	279	117	291	87	274	178	823	660	869	635	530	556	186	223	308	215	144	243	499	
"Thailand"	233	204	274	460	280	244	546	358	106	143	294	147	204	364	276	334	201	507	383	492	
"Ghana"	383	367	305	358	442	592	289	780	555	540	826	568	777	480	592	528	296	492	408	468	
"Ethiopia"	0	155	25	0	529	258	121	292	488	344	291	560	949	270	481	389	359	581	264	461	
"Pakistan"	282	316	327	244	190	293	195	222	427	279	336	494	478	458	94	128	161	700	0	458	
"Colombia"	572	356	608	530	739	377	661	1052	793	313	747	827	411	468	499	351	331	602	961	441	
"Afghanistan"	20	0	0	0	0	474	257	400	400	372	181	31	0	16	17	17	155	390	218	423	
"Korea, Democratic People's Republic of"	536	523	224	453	252	307	34	60	110	256	463	763	773	737	416	240	151	384	148	412	
"Belgium"	127	51	95	135	94	574	74	68	19	123	94	150	214	496	293	272	258	256	513	379	
"Singapore"	336	469	378	695	329	451	215	627	800	622	833	278	529	318	460	865	441	427	397	361	
"Greece"	551	689	403	371	338	162	176	201	334	402	445	478	667	298	359	292	176	380	216	348	
"Panama"	531	1065	293	714	448	1043	483	699	295	406	654	597	1077	286	585	382	405	841	234	339	
"Oman"	37	56	71	117	0	170	45	32	74	27	130	137	100	348	114	298	110	70	92	306	
"Kuwait"	110	109	116	31	124	143	118	50	138	25	75	236	25	276	99	104	100	62	0	281	
"Uruguay"	521	418	526	429	193	534	209	215	15	73	435	977	917	387	329	322	767	492	97	259	
"Jordan"	246	654	1004	442	1882	595	639	378	694	578	230	298	612	118	160	85	52	172	106	258	
"Sweden"	380	323	576	491	377	546	268	533	315	399	224	208	419	379	286	401	355	290	252	248	
"Myanmar"	682	210	46	301	460	307	91	226	313	496	268	707	272	74	100	134	416	418	67	240	
"Slovakia"	374	285	397	275	117	194	184	129	165	137	108	160	76	147	206	200	184	238	110	233	
"Mauritius"	141	70	296	297	137	92	39	108	114	230	204	154	239	95	105	338	166	79	44	214	
"Morocco"	519	546	141	74	160	82	75	290	755	465	129	356	343	111	89	124	154	177	119	211	
