Importers	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	
"World"	160784	130916	145970	128798	126459	173392	180267	212307	213386	205978	196242	187071	174329	202012	175358	173270	175086	237169	232929	279943	
"United States of America"	31062	18097	18097	17175	18999	24809	24354	35684	39903	33292	29492	40129	35445	40289	28289	29779	24395	29347	37600	46635	
"Japan"	17278	18760	23545	20103	16992	25545	22014	20954	33665	35600	24241	21424	21753	21040	15556	20518	26540	35208	23154	28575	
"France"	8887	7376	7246	7220	6667	9344	12457	14666	12920	9407	9009	9859	7136	9447	7521	7691	9432	16301	9601	17172	
"United Kingdom"	11724	8194	9131	7424	9675	11692	9773	11324	12515	11273	13443	10695	12567	13908	12372	12786	12007	12493	8924	12955	
"Australia"	7501	6663	5492	4495	5061	5041	5818	8119	5374	6381	8144	8143	10752	11103	8118	8432	6980	7731	9110	11333	
"Germany"	4323	5727	4717	5252	4825	6854	5656	9063	6851	6503	10698	5092	5941	7630	7561	5240	4778	8488	9876	11174	
"Spain"	3422	3118	2725	3044	2853	4383	5182	6875	8001	3572	4006	4657	4358	3331	4556	2395	4102	6639	6355	9840	
"Saudi Arabia"	2403	2925	4388	5065	5454	7632	7784	5998	1459	3373	2743	4410	2809	3299	2447	6908	3827	6637	6799	9305	
"Italy"	3066	2192	2539	2512	4456	5556	6903	8112	8106	4644	5598	4042	2405	3141	4547	3694	5255	8426	5350	8878	
"Iraq"	2534	1071	3094	2867	3829	2924	4151	5502	5272	4158	5318	1490	2475	3029	2609	4808	6098	6671	5011	8630	
"Poland"	3297	2458	3416	2129	2094	4261	3990	4832	5131	2699	3113	4271	3867	4266	4697	4758	4017	4206	7313	8132	
"Bangladesh"	998	2123	1660	2536	1072	1337	3360	5580	5166	7879	3871	1199	935	1856	2353	2875	2092	2219	3598	7281	
"Canada"	4241	3186	3218	2712	1719	2815	2987	4128	4209	3883	3980	3100	3856	3205	3188	2150	3487	3436	5346	6595	
"South Africa"	3777	2903	4657	3355	2828	4188	5054	4338	5012	5160	5147	4032	3881	4741	3900	4027	3924	6807	4614	6496	
"Netherlands"	4793	2980	3581	2503	3020	2838	4070	4070	3331	2191	3336	3104	3157	3404	4039	3672	3579	4991	3137	6276	
"Korea, Republic of"	4696	3230	5139	3629	3900	5494	6239	5772	7887	8274	8250	6758	3735	4323	4561	3398	5304	6093	7809	6079	
