Importers	Exported value in 2007-M11	Exported value in 2007-M12	Exported value in 2008-M01	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	
"World"	6515	7503	5187	4063	4577	5758	4505	6477	8617	8778	6468	6590	5930	4730	5015	3291	6724	8448	8199	10036	
"Japan"	1423	1855	835	766	714	624	747	1956	2066	2826	1515	983	1637	928	607	772	1055	1191	1727	2412	
"United Kingdom"	1393	1497	995	707	465	1536	655	1262	1480	1073	877	1004	439	171	803	399	674	634	985	1167	
"United States of America"	184	53	120	167	77	106	28	410	833	651	101	75	127	15	33	6	527	759	545	1024	
"Netherlands"	285	217	186	381	443	537	583	355	393	271	485	267	215	326	263	26	866	1286	689	762	
"Germany"	247	541	473	155	359	715	337	410	777	397	291	154	261	92	397	200	145	363	576	620	
"France"	239	140	51	176	162	281	451	260	481	166	353	102	217	214	109	195	540	701	532	543	
"Italy"	227	263	608	51	278	627	361	467	343	75	110	248	117	154	144	123	287	432	469	491	
"Spain"	14	69	67	168	54	112	39	17	234	237	140	133	228	183	97	103	110	234	239	394	
"Algeria"	0	1	0	127	9	41	0	42	0	24	0	0	49	0	502	109	43	21	78	366	
"Belgium"	227	119	38	0	36	440	342	376	521	89	247	238	324	228	469	22	387	393	200	359	
"Iraq"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	119	105	30	211	
"Czech Republic"	0	0	0	0	0	0	0	0	0	25	23	77	71	68	148	59	102	33	73	123	
"Poland"	0	47	205	51	0	44	131	0	105	206	229	461	0	0	61	0	187	107	0	117	
"Australia"	751	1272	320	300	739	1	0	57	392	651	121	161	96	349	51	9	47	75	0	108	
"Israel"	20	0	14	34	0	0	0	61	19	27	47	0	0	28	30	0	18	59	78	105	
"Korea, Republic of"	0	57	0	45	66	39	25	45	143	1141	217	727	495	747	381	722	771	486	1030	104	
"Portugal"	0	0	0	0	100	0	29	86	39	29	88	21	68	87	22	0	41	53	42	99	
"Denmark"	58	174	170	197	180	176	146	210	124	64	30	118	0	174	67	128	97	21	98	80	
"Panama"	0	18	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	78	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	76	
"Ghana"	0	0	0	0	14	0	0	0	0	0	33	56	0	0	0	32	0	0	0	67	
"Côte d'Ivoire"	62	0	0	18	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	66	
"Iran, Islamic Republic of"	0	17	16	147	0	0	0	0	0	21	21	0	42	21	124	45	251	158	5	58	
"Switzerland"	23	26	28	0	52	0	27	43	27	0	29	94	42	24	40	83	59	82	74	53	
"Egypt"	0	20	0	22	0	0	0	4	0	0	5	61	0	0	0	0	0	0	0	53	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	
"Kazakhstan"	0	0	0	0	0	0	2	0	0	0	125	35	17	0	0	18	0	141	93	51	
"Bulgaria"	0	46	0	0	0	0	21	0	0	70	0	0	23	0	17	0	0	20	43	46	
"Russian Federation"	23	0	34	0	23	46	5	46	0	23	266	403	71	85	0	23	3	0	42	43	
"United Arab Emirates"	61	128	85	91	149	0	223	0	41	186	104	199	172	1	25	34	68	43	126	40	
"Nigeria"	13	37	198	6	18	0	1	151	151	172	494	442	665	564	48	0	40	131	0	38	
"Lebanon"	33	0	0	164	38	0	28	0	0	0	0	19	53	0	0	43	44	55	0	34	
"Chile"	13	5	45	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	24	
"Canada"	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	24	
"Jordan"	93	120	0	36	0	0	59	21	0	24	43	0	19	41	59	0	43	0	20	23	
"New Zealand"	42	12	19	0	7	0	0	0	22	22	23	5	33	0	67	41	0	90	1	21	
"Cyprus"	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	23	21	0	21	
"Bangladesh"	0	65	0	1	22	0	0	0	0	0	57	105	106	17	20	0	19	0	6	20	
"India"	36	81	5	0	47	0	16	8	0	14	51	27	19	60	40	18	14	41	33	20	
"Malaysia"	0	29	22	0	0	0	46	5	0	0	0	0	0	0	2	0	0	20	0	15	
"Ireland"	0	0	31	0	0	0	33	16	3	37	0	21	23	13	93	1	29	16	7	9	
"Hong Kong, China"	4	9	4	0	0	7	0	1	6	5	12	0	0	29	0	11	12	11	0	8	
"Viet Nam"	0	1	0	0	0	0	0	0	0	2	0	0	0	0	18	0	45	0	0	7	
"Singapore"	8	11	0	3	0	31	1	3	3	0	2	6	0	9	32	0	1	2	5	2	
"Sri Lanka"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	
"China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Colombia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
"Congo"	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	
"Croatia"	0	0	0	22	0	0	0	5	0	0	0	0	22	0	20	0	0	0	0	0	
"Myanmar"	32	34	15	50	33	34	0	0	0	4	0	17	54	0	1	0	0	0	0	0	
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Bosnia and Herzegovina"	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Brunei Darussalam"	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Austria"	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	42	0	
"Angola"	0	0	9	0	38	12	0	0	47	20	0	0	50	12	18	0	0	75	23	0	
"Hungary"	0	51	0	56	0	56	0	0	0	0	0	10	0	24	0	0	0	0	92	0	
"Indonesia"	86	0	42	0	77	0	15	0	1	0	16	22	0	0	3	0	0	120	27	0	
"Gabon"	0	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
"Greece"	23	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	
"Guatemala"	0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	
"Guinea"	0	0	0	0	0	0	0	0	26	20	0	0	0	0	0	0	0	0	0	0	
"Guyana"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	
"Haiti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	15	0	0	
"Equatorial Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
"Ethiopia"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	45	0	0	
"Finland"	51	35	6	0	0	7	0	0	10	6	10	0	18	15	0	0	0	10	0	0	
"Malta"	0	0	0	0	0	0	0	0	12	18	0	0	21	0	0	0	0	0	0	0	
"Mauritius"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mexico"	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	4	0	0	
"Taipei, Chinese"	61	29	86	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mongolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	
"Morocco"	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
"Oman"	0	0	0	0	39	0	0	0	0	0	0	0	0	0	22	0	0	22	0	0	
"Kenya"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Democratic People's Republic of"	0	2	16	0	0	0	0	0	1	32	1	106	0	2	0	0	20	1	4	0	
"Kuwait"	0	0	56	19	37	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	
