Importers	Exported value in 2007-M11	Exported value in 2007-M12	Exported value in 2008-M01	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	
"World"	29690	24340	24735	15978	23596	24975	26697	25858	27130	25728	21116	22288	20421	19214	18757	12491	21671	21710	26200	21475	
"United States of America"	8708	6340	6018	2909	4835	5095	5682	4855	4267	4164	3317	4171	5140	3362	3356	2614	4674	5211	6848	4053	
"Argentina"	59	21	0	0	41	0	24	1	0	79	34	7	3	0	14	35	359	1857	572	1591	
"United Kingdom"	3730	1362	1363	1127	1510	1634	1622	1254	1573	1468	1533	993	1051	404	751	456	609	557	1145	1082	
"Australia"	2226	1214	1285	881	749	1111	1113	1072	1188	2018	1034	2007	1386	1470	766	1102	1414	569	1512	907	
"Indonesia"	1121	1066	779	952	708	893	538	974	2171	1305	1018	761	905	296	362	180	1024	914	1022	892	
"Germany"	545	749	1003	377	959	1352	1627	1540	987	1018	1010	1300	893	676	1088	555	731	1078	1001	756	
"United Arab Emirates"	424	190	458	331	374	570	704	617	802	967	758	469	420	364	423	100	523	494	558	735	
"Japan"	1113	672	535	375	325	451	596	755	1057	1114	977	1167	865	583	550	175	363	306	490	701	
"Hong Kong, China"	514	450	356	209	422	337	396	592	631	912	665	634	502	586	250	314	480	417	519	572	
"India"	605	329	398	458	656	157	575	274	239	494	302	668	253	252	345	196	686	421	1446	482	
"Italy"	990	1992	1693	653	1299	1137	1521	776	1294	1088	1481	1437	833	722	538	232	266	212	166	439	
"France"	509	504	721	860	1062	1214	779	1185	857	870	419	666	554	539	731	475	1144	1058	694	434	
"Singapore"	754	455	341	144	290	529	208	423	442	396	541	385	372	319	75	119	230	278	243	394	
"Iraq"	26	35	152	51	76	383	214	291	107	166	112	202	14	45	111	122	137	257	453	386	
"Viet Nam"	259	452	249	74	386	629	400	750	137	193	147	174	345	154	368	139	315	424	227	380	
"Algeria"	0	31	141	60	92	91	116	96	107	3	31	0	0	0	137	175	420	175	141	369	
"Russian Federation"	264	109	132	96	811	781	535	351	94	142	218	244	295	572	211	318	292	339	557	359	
"Denmark"	115	193	115	155	180	276	210	192	192	262	116	22	123	120	168	78	229	217	514	352	
"Canada"	573	410	776	155	869	656	641	863	662	696	671	482	580	372	281	258	244	201	448	340	
"Spain"	1415	759	918	882	1043	1205	1566	894	960	417	256	402	526	1043	208	232	649	591	200	300	
"Tanzania, United Republic of"	87	0	0	0	208	12	58	166	11	0	0	5	0	9	0	13	14	24	0	282	
"New Zealand"	229	342	265	97	192	159	130	232	219	223	140	315	310	126	123	246	145	126	126	280	
"Netherlands"	308	668	424	295	129	344	637	555	479	331	365	220	159	350	362	500	514	483	370	239	
"Malaysia"	403	138	100	135	270	77	263	206	592	187	140	52	108	167	146	88	145	185	87	228	
"South Africa"	208	179	159	37	0	249	82	169	194	103	328	110	131	52	72	47	125	64	47	228	
"Saudi Arabia"	90	112	353	212	127	147	66	133	220	314	308	149	194	179	303	95	317	183	310	222	
"Cuba"	28	0	0	0	151	0	0	0	0	0	0	0	42	774	0	0	0	0	25	221	
"Taipei, Chinese"	143	169	90	82	79	91	159	189	155	116	470	149	318	92	33	57	118	120	142	207	
"Thailand"	159	304	41	61	134	120	94	96	56	176	197	259	148	191	224	47	181	139	410	201	
"Egypt"	3	4	7	63	27	51	31	43	29	74	0	7	106	58	76	67	34	0	66	184	
"Yemen"	62	6	2	16	0	67	38	0	106	95	15	0	28	36	22	0	39	54	116	184	
"Israel"	101	84	380	173	151	90	143	154	214	181	104	69	4	554	328	62	163	116	313	174	
"Chile"	269	107	114	165	101	157	102	418	319	241	150	370	194	202	276	77	27	80	292	170	
"Zambia"	0	0	0	0	0	0	4	5	0	0	0	0	0	0	8	0	231	0	0	142	
"Jordan"	28	36	197	68	57	63	282	13	53	29	14	9	40	37	25	0	75	385	347	127	
"Mongolia"	22	143	13	53	56	89	92	103	25	31	82	143	11	34	38	37	10	104	73	126	
"Morocco"	0	11	31	9	0	0	0	33	59	61	0	0	0	22	264	22	55	168	0	123	
"Philippines"	598	160	43	754	82	93	109	188	364	317	281	286	297	178	308	115	426	117	735	118	
"Belgium"	144	332	201	73	129	88	94	325	293	73	121	37	100	243	32	39	59	0	62	116	
"Nigeria"	111	222	72	76	845	196	716	140	699	833	642	862	261	169	214	134	304	82	35	107	
"Honduras"	0	0	0	0	0	56	17	17	0	6	0	41	0	0	16	0	0	0	28	106	
"Brazil"	305	101	278	213	0	292	105	103	327	560	192	111	193	152	0	91	40	18	0	97	
"Mozambique"	0	0	0	25	0	0	0	6	9	52	0	0	13	13	13	0	0	0	226	95	
"Angola"	66	29	12	64	19	96	0	20	79	60	196	34	36	159	79	117	34	134	46	90	
"Norway"	93	102	20	29	97	123	70	113	109	178	102	22	166	89	63	161	49	35	21	86	
"Czech Republic"	155	63	236	207	189	286	338	287	568	294	168	17	50	54	178	12	110	117	108	84	
"Hungary"	23	0	189	36	108	30	0	255	25	18	32	55	0	42	276	43	292	255	13	84	
"Lebanon"	40	0	20	16	13	0	14	18	15	62	62	15	0	22	53	4	77	0	24	82	
"Greece"	29	536	290	246	102	339	241	533	211	110	81	130	53	240	442	145	67	146	73	81	
"Ireland"	21	19	30	63	0	0	24	20	21	30	0	0	43	73	18	19	52	0	0	79	
"Macao, China"	31	38	18	0	57	41	42	26	35	67	8	51	23	19	35	4	21	17	93	77	
"Gabon"	0	10	18	0	0	36	0	20	13	16	0	0	0	0	20	0	0	11	0	72	
"Pakistan"	14	83	47	8	98	36	11	69	59	85	264	120	19	64	31	18	11	40	22	68	
"Poland"	79	44	0	21	0	45	3	92	0	113	0	66	28	1	240	123	11	81	250	63	
"Portugal"	9	55	35	56	26	128	73	177	83	0	114	45	21	36	144	120	10	62	32	63	
"Kyrgyzstan"	0	0	0	29	58	208	87	116	31	3	0	47	8	0	7	38	142	87	38	62	
"Turkey"	48	48	0	64	193	81	413	201	654	3	21	13	1	0	342	0	69	170	57	60	
"Korea, Republic of"	418	619	465	332	336	422	454	453	534	438	286	302	225	158	73	79	145	170	238	51	
"Libya, State of"	41	33	0	29	5	79	76	0	55	141	0	13	105	0	14	0	336	0	5	49	
"Qatar"	15	46	84	49	0	0	192	22	73	45	14	106	7	40	21	0	26	104	28	43	
"Brunei Darussalam"	30	40	45	0	0	0	0	0	73	0	17	0	0	0	14	27	30	22	9	42	
"Turkmenistan"	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	65	16	76	42	
"Bangladesh"	54	42	0	3	0	9	5	0	37	78	70	0	77	121	31	0	12	112	269	38	
"Niger"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	119	0	38	
"Kazakhstan"	9	23	39	25	151	110	147	129	394	53	38	120	71	146	149	59	94	57	74	38	
"Dominican Republic"	0	13	0	0	5	0	38	0	43	26	79	7	358	0	24	0	0	0	130	37	
"Cabo Verde"	0	0	0	0	0	0	0	0	39	0	19	0	0	13	0	0	27	0	42	36	
"Sweden"	45	96	122	13	62	59	36	52	71	0	72	2	0	25	133	233	64	70	97	36	
"Sri Lanka"	6	49	0	60	64	6	14	112	57	56	45	67	25	47	145	8	41	20	23	35	
"Romania"	19	0	0	0	0	30	27	15	0	0	21	33	36	15	1156	103	56	68	60	34	
"Myanmar"	30	6	9	0	0	85	0	57	0	12	25	56	5	0	51	14	43	3	0	33	
"Iran, Islamic Republic of"	48	51	73	0	101	9	35	15	46	0	21	10	0	29	55	53	131	14	157	27	
"Korea, Democratic People's Republic of"	0	0	5	10	24	23	29	32	51	19	19	33	12	1	0	12	0	5	22	27	
"Kuwait"	130	21	69	18	2	68	227	121	62	196	64	56	12	63	124	22	39	70	37	26	
"Guatemala"	56	17	6	0	64	8	0	68	2	56	0	19	0	33	45	2	12	0	11	25	
"Austria"	0	0	813	22	238	205	70	362	2	221	0	0	238	906	0	235	12	260	22	23	
"Uruguay"	0	19	37	4	0	0	11	0	14	23	14	24	1	0	0	17	26	0	0	23	
"Papua New Guinea"	0	20	5	0	18	17	18	26	0	0	6	33	11	4	0	1	30	12	25	18	
"Afghanistan"	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	
"Trinidad and Tobago"	0	0	0	8	0	0	0	25	0	32	23	0	9	34	0	17	0	0	56	16	
"Latvia"	26	0	29	109	276	0	180	120	0	228	0	57	35	0	0	0	0	0	0	15	
"Senegal"	14	0	13	13	13	7	0	0	0	0	0	0	0	0	0	13	12	0	58	14	
"Barbados"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
"Tunisia"	0	0	0	4	0	0	0	44	0	0	7	2	0	0	0	0	5	0	4	14	
"Samoa"	16	18	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	12	
"Benin"	0	0	0	0	14	0	29	1	0	0	0	15	1	0	0	0	13	0	0	12	
"Georgia"	15	0	0	30	24	0	45	40	33	38	0	14	0	0	0	0	12	10	14	11	
"New Caledonia"	40	0	0	9	0	18	11	24	0	6	14	31	0	9	0	0	0	0	12	10	
"Côte d'Ivoire"	30	0	0	37	35	51	63	0	19	13	47	0	17	0	11	0	0	0	7	10	
"Bahrain"	0	14	4	12	28	39	5	30	31	42	38	26	27	9	78	0	18	20	11	9	
"Bulgaria"	0	0	92	25	58	105	47	96	0	29	35	26	5	61	95	71	68	107	7	9	
"Panama"	30	0	86	73	0	157	85	96	59	15	139	171	63	76	45	0	5	29	25	8	
"Tajikistan"	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	27	38	6	7	
"Fiji"	0	2	4	0	25	15	4	8	0	9	4	13	0	7	4	0	22	14	23	6	
"Cameroon"	0	0	13	0	4	0	12	12	15	16	0	27	20	0	0	4	0	32	28	6	
"Djibouti"	0	0	0	1	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	3	
"Montenegro"	0	0	0	0	0	0	0	0	28	12	0	5	24	0	0	0	31	0	34	3	
"Mexico"	39	968	741	389	65	569	364	45	201	140	13	26	9	2	344	0	0	15	0	2	
"Ecuador"	4	25	360	128	0	0	127	56	75	17	24	51	5	4	0	0	177	0	0	2	
"Congo"	0	5	11	0	0	0	4	0	17	10	15	19	0	0	0	0	0	0	0	1	
"Maldives"	0	0	1	0	0	12	0	0	0	6	0	0	0	6	0	0	1	0	0	1	
"Slovakia"	0	55	126	15	22	17	0	0	0	0	13	8	0	0	71	35	90	48	0	1	
"Paraguay"	0	11	1	0	0	0	0	0	0	27	0	0	0	0	0	0	118	0	0	0	
"Peru"	14	24	0	0	371	9	0	181	0	165	73	6	2	106	1	555	53	2	360	0	
"Sudan (before 2012)"	144	6	0	19	0	0	246	4	59	0	0	0	14	0	1	32	57	67	97	0	
"Suriname"	0	7	0	0	18	12	0	33	0	0	57	12	32	40	19	0	29	35	0	0	
"Slovenia"	23	19	29	13	0	60	0	15	13	0	26	34	0	44	27	32	1	27	101	0	
"Serbia"	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	5	0	0	0	0	0	22	0	0	0	0	6	0	0	0	0	0	0	0	
"Sierra Leone"	0	33	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
"Rwanda"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
"Saint Lucia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	
"Nicaragua"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
"Vanuatu"	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
"Netherlands Antilles"	0	0	0	24	0	0	3	0	0	0	0	13	0	0	0	0	0	13	12	0	
"Aruba"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
"Mali"	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	
"Malta"	1	0	3	0	17	0	0	7	14	0	0	1	0	3	0	0	0	1	6	0	
"Mauritius"	0	4	0	0	25	30	6	0	19	16	3	113	9	18	22	0	10	0	0	0	
"Lithuania"	0	0	29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
"Luxembourg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Madagascar"	0	13	0	54	4	0	29	0	0	54	0	0	1	71	11	0	0	0	17	0	
"Malawi"	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	
"Oman"	18	6	18	14	14	0	2	14	2	30	29	14	14	0	16	12	0	31	0	0	
"Namibia"	10	35	0	0	12	12	34	0	74	55	8	85	56	6	0	80	29	0	0	0	
"Nepal"	27	0	15	0	0	22	0	36	0	0	23	0	0	0	0	0	0	11	8	0	
"Oceania Nes"	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	
"Jamaica"	0	24	0	2	0	22	7	14	34	0	30	13	14	0	26	11	19	0	19	0	
"Liberia"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lao People's Democratic Republic"	0	0	0	0	0	26	0	0	0	0	0	0	0	14	0	0	0	0	0	0	
"Kenya"	39	25	26	0	3	0	6	0	46	38	55	33	0	31	25	49	4	48	3	0	
"Congo, Democratic Republic of the"	0	0	5	0	2	0	0	30	1	17	0	43	2	1	12	0	0	0	0	0	
"Cook Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
"Costa Rica"	0	1	12	0	22	9	13	0	0	15	0	13	0	0	0	19	0	0	0	0	
"Croatia"	0	29	0	0	0	0	46	39	12	0	0	23	0	31	23	32	10	16	0	0	
"China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Colombia"	91	11	11	9	80	11	77	25	343	190	27	94	179	129	32	0	38	22	2	0	
"Comoros"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mayotte"	0	10	6	0	0	13	0	0	0	14	0	0	14	0	0	0	0	0	14	0	
"Solomon Islands"	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	28	0	
"Chad"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bolivia, Plurinational State of"	0	0	0	0	37	0	0	2	0	0	0	1	10	0	7	0	0	8	5	0	
"Albania"	0	47	0	0	0	45	8	32	0	0	0	0	41	230	14	0	94	13	0	0	
"Armenia"	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	22	0	0	0	0	
"Bahamas"	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Antigua and Barbuda"	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	
"Equatorial Guinea"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	24	0	
"Ethiopia"	9	18	0	0	39	0	0	0	0	0	0	0	92	43	0	19	0	0	0	0	
"Estonia"	0	52	56	0	49	12	29	77	32	30	35	31	85	0	0	0	0	31	0	0	
"Belarus"	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
"Cambodia"	11	0	0	0	0	0	0	27	26	0	0	0	8	0	13	0	0	0	19	0	
"Cyprus"	133	54	0	2	21	48	5	29	0	0	41	11	47	36	45	0	0	17	28	0	
"French Polynesia"	9	30	9	0	0	0	0	15	4	0	14	0	0	1	0	0	0	6	0	0	
"Finland"	7	0	14	0	13	0	10	0	51	29	101	0	1	0	108	0	0	2	29	0	
"Gambia"	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	44	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	
"Grenada"	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	22	0	4	0	
"Ghana"	57	0	22	13	0	16	67	9	44	70	3	26	41	49	25	2	9	37	214	0	
"Guinea"	14	4	0	0	3	0	8	0	0	19	0	17	0	0	0	0	0	0	0	0	
"Guyana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	
"Haiti"	0	0	0	0	0	0	0	0	0	0	0	0	13	19	0	0	28	0	0	0	
"Switzerland"	29	0	8	55	24	0	47	50	40	81	26	80	77	0	45	32	83	59	0	0	
"Syrian Arab Republic"	0	164	0	1	0	0	0	36	68	0	93	0	0	0	0	0	9	0	0	0	
"Togo"	0	0	0	0	0	0	11	0	0	0	5	0	0	3	0	0	0	0	0	0	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	
"Uganda"	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	
"Ukraine"	23	3	54	134	743	93	0	34	26	0	5	42	87	31	0	178	458	599	150	0	
"Macedonia, The Former Yugoslav Republic of"	0	2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	
"Uzbekistan"	1	0	0	0	0	0	31	0	0	8	0	56	0	0	0	0	83	33	0	0	
