Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"World"	20943	19131	16949	19992	20968	21732	16549	27056	23202	26491	30114	24107	25699	26317	23009	26265	24637	26439	23976	29022	
"United States of America"	3749	3402	4235	4344	4301	5050	4379	4938	4142	5570	6591	6582	6298	8613	8115	10300	8181	8585	6749	8796	
"Germany"	909	738	818	898	1080	991	872	1405	1116	1916	1558	815	2015	1132	886	1061	1488	1181	1150	2528	
"Turkey"	440	6	23	34	0	0	1367	2416	243	476	1682	851	1188	0	20	17	26	1351	2159	1956	
"France"	1441	1176	874	1466	1345	1155	1020	1855	1746	2125	2609	2138	1685	1654	1386	1548	1441	1228	1137	1834	
"Australia"	710	1235	1026	1443	1239	1986	1244	2099	1567	1738	1350	1275	1423	2052	2144	2124	2121	1942	1247	1619	
"United Kingdom"	2109	1860	1830	1877	1762	1641	1216	1808	1575	1665	1709	1761	2152	2187	2077	1895	1813	1481	1307	1403	
"Japan"	1246	1054	813	1015	874	1121	570	1117	1035	1361	2055	1356	1062	959	840	1077	709	715	857	1322	
"Canada"	750	604	595	719	415	530	352	547	443	434	528	682	632	800	1132	1166	873	711	707	949	
"Netherlands"	893	1069	540	730	1593	1506	172	1113	1190	1028	1176	697	932	886	534	724	819	1303	963	900	
"Saudi Arabia"	402	593	276	374	339	517	1142	931	1165	971	798	603	275	179	319	141	773	760	840	747	
"Italy"	499	457	207	168	502	301	415	1042	724	683	447	186	424	376	412	123	459	605	597	595	
"Iran, Islamic Republic of"	65	519	0	26	973	88	108	154	516	482	713	187	0	499	343	748	15	391	203	592	
"Taipei, Chinese"	315	383	398	646	298	176	350	668	299	686	447	164	317	98	155	178	467	466	601	492	
"Spain"	370	291	401	233	379	507	158	463	332	426	522	442	358	405	334	182	460	391	472	429	
"Russian Federation"	505	533	440	234	516	179	370	330	1029	1284	1731	1176	1081	261	214	348	149	278	217	393	
"Kuwait"	35	75	7	68	5	28	82	93	69	83	37	28	27	0	17	9	126	163	77	311	
"Belgium"	202	148	267	117	180	55	23	165	227	285	216	305	198	287	152	160	197	228	148	311	
"Côte d'Ivoire"	32	181	104	233	118	73	44	226	91	124	135	350	160	84	72	69	48	110	180	293	
"Korea, Republic of"	309	115	138	202	134	57	161	125	221	200	273	284	280	137	197	248	206	138	78	269	
"New Zealand"	96	234	72	94	159	69	117	114	38	107	103	135	99	104	75	67	200	169	126	163	
"Iraq"	10	29	48	180	6	4	80	171	74	201	207	237	219	230	0	188	27	86	120	152	
"Singapore"	147	133	147	320	266	328	85	227	40	165	109	127	161	108	135	75	128	111	63	138	
"Denmark"	47	136	102	53	53	215	45	264	164	289	114	88	185	170	127	132	105	134	100	137	
"Lebanon"	146	46	68	75	60	222	18	242	161	197	151	68	44	112	117	52	42	84	82	136	
"Senegal"	89	65	0	28	31	34	33	228	372	209	248	197	229	81	87	14	23	7	99	132	
"Israel"	257	108	210	39	210	147	73	100	534	176	189	231	180	67	152	202	191	157	344	131	
