Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"World"	26059	22552	21813	20943	19131	16949	19992	20968	21732	16549	27056	23202	26491	30114	24107	25699	26317	23009	26265	24637	
"United States of America"	4899	3660	4656	3749	3402	4235	4344	4301	5050	4379	4938	4142	5570	6591	6582	6298	8613	8115	10300	8181	
"Australia"	965	866	1022	710	1235	1026	1443	1239	1986	1244	2099	1567	1738	1350	1275	1423	2052	2144	2124	2121	
"United Kingdom"	1726	1931	1699	2109	1860	1830	1877	1762	1641	1216	1808	1575	1665	1709	1761	2152	2187	2077	1895	1813	
"Germany"	1216	678	751	909	738	818	898	1080	991	872	1405	1116	1916	1558	815	2015	1132	886	1061	1488	
"France"	2480	1955	1338	1441	1176	874	1466	1345	1155	1020	1855	1746	2125	2609	2138	1685	1654	1386	1548	1441	
"Canada"	754	648	435	750	604	595	719	415	530	352	547	443	434	528	682	632	800	1132	1166	873	
"Netherlands"	1052	908	1003	893	1069	540	730	1593	1506	172	1113	1190	1028	1176	697	932	886	534	724	819	
"Saudi Arabia"	630	431	195	402	593	276	374	339	517	1142	931	1165	971	798	603	275	179	319	141	773	
"Japan"	1507	1666	1724	1246	1054	813	1015	874	1121	570	1117	1035	1361	2055	1356	1062	959	840	1077	709	
"Taipei, Chinese"	574	299	144	315	383	398	646	298	176	350	668	299	686	447	164	317	98	155	178	467	
"Spain"	509	552	409	370	291	401	233	379	507	158	463	332	426	522	442	358	405	334	182	460	
"Italy"	903	311	414	499	457	207	168	502	301	415	1042	724	683	447	186	424	376	412	123	459	
"Korea, Republic of"	120	179	354	309	115	138	202	134	57	161	125	221	200	273	284	280	137	197	248	206	
"New Zealand"	154	103	183	96	234	72	94	159	69	117	114	38	107	103	135	99	104	75	67	200	
"Belgium"	232	136	119	202	148	267	117	180	55	23	165	227	285	216	305	198	287	152	160	197	
"Israel"	142	197	247	257	108	210	39	210	147	73	100	534	176	189	231	180	67	152	202	191	
"Poland"	82	91	84	84	52	114	66	48	77	51	101	95	160	100	141	112	93	120	136	188	
"Hong Kong, China"	96	310	116	113	89	84	97	83	75	40	126	95	89	65	58	73	135	61	84	181	
"Czech Republic"	148	64	22	27	68	116	5	110	69	0	118	16	14	39	25	93	82	69	14	178	
"India"	142	79	59	34	48	44	92	55	58	73	94	247	71	36	175	38	73	186	242	168	
"Egypt"	670	749	439	752	398	5	330	346	545	149	1	3	84	151	40	121	0	2	1	163	
"Russian Federation"	701	1119	394	505	533	440	234	516	179	370	330	1029	1284	1731	1176	1081	261	214	348	149	
"Sweden"	61	53	16	49	72	35	67	111	200	45	105	241	124	83	119	51	125	128	170	145	
"Ukraine"	99	34	47	0	272	36	47	94	51	71	18	29	41	44	28	82	59	89	156	132	
"Romania"	66	29	40	135	274	58	57	79	89	42	30	0	72	15	37	54	202	104	15	131	
"Philippines"	30	54	240	168	55	123	223	157	219	40	151	112	141	321	191	104	309	123	102	130	
"United Arab Emirates"	186	176	99	265	122	220	92	335	200	203	56	246	227	279	229	315	221	166	300	130	
"Singapore"	117	295	161	147	133	147	320	266	328	85	227	40	165	109	127	161	108	135	75	128	
"Kuwait"	78	25	10	35	75	7	68	5	28	82	93	69	83	37	28	27	0	17	9	126	
"Indonesia"	138	114	193	129	339	209	115	112	99	11	87	77	23	36	79	71	86	61	75	106	
"Denmark"	54	111	118	47	136	102	53	53	215	45	264	164	289	114	88	185	170	127	132	105	
"Malaysia"	142	154	120	79	11	240	574	146	808	19	197	108	142	62	59	45	29	33	163	93	
"Ireland"	59	51	11	53	26	8	51	43	19	16	37	36	38	47	14	17	0	33	42	86	
"Viet Nam"	16	109	18	106	329	269	206	401	91	49	238	64	248	23	120	151	206	18	26	84	
"Argentina"	0	0	8	4	0	34	4	0	111	34	4	127	1	54	0	18	161	313	147	79	
"Congo"	0	0	2	0	0	13	0	20	0	0	0	0	0	0	0	1	93	0	2	72	
"Paraguay"	14	35	0	29	0	0	32	0	0	15	0	16	18	49	33	104	31	0	15	72	
"Switzerland"	194	117	121	273	72	70	86	74	52	148	217	277	211	106	52	229	52	90	131	72	
"Portugal"	62	84	20	39	9	24	35	15	0	38	158	19	219	137	98	138	193	50	161	71	
"Armenia"	136	95	27	34	38	0	59	5	19	0	33	48	33	74	0	17	74	6	0	67	
"Nigeria"	97	29	334	129	78	16	13	60	72	43	95	55	0	132	51	42	767	96	22	65	
"Ghana"	43	120	40	256	14	214	26	243	123	0	67	91	16	161	32	203	21	0	4	64	
"Hungary"	0	0	0	0	28	16	13	13	25	11	29	14	2	13	18	20	17	0	0	60	
"Greece"	22	44	2	33	5	4	44	33	0	5	20	16	28	7	0	60	28	5	49	57	
"Bulgaria"	0	1	31	20	0	0	0	4	52	0	0	14	0	0	0	16	1	4	18	54	
"Venezuela, Bolivarian Republic of"	33	0	0	0	16	0	146	0	43	12	0	0	31	0	0	42	0	0	17	54	
"Mexico"	0	1	3	44	24	9	43	0	12	0	26	30	42	78	23	34	54	49	33	53	
"Myanmar"	25	52	1	8	46	0	118	0	81	2	26	31	31	19	0	14	0	100	27	51	
"Austria"	8	18	399	5	48	0	22	0	16	0	503	513	0	17	17	0	4	0	10	50	
"Peru"	17	68	23	10	18	20	67	35	81	0	14	14	2	19	20	5	24	18	54	49	
"Côte d'Ivoire"	189	13	269	32	181	104	233	118	73	44	226	91	124	135	350	160	84	72	69	48	
"Slovenia"	19	54	54	36	55	37	137	51	18	82	122	89	68	176	31	79	9	46	75	47	
"Lebanon"	172	142	80	146	46	68	75	60	222	18	242	161	197	151	68	44	112	117	52	42	
"Uruguay"	4	1	0	13	32	0	45	16	0	0	14	4	0	20	23	17	0	14	0	38	
"Brazil"	0	0	0	0	0	0	0	0	64	0	0	1	1	6	0	0	8	0	0	33	
"Libya, State of"	0	31	0	0	24	11	0	0	0	0	0	0	0	25	0	0	0	0	0	31	
"Tanzania, United Republic of"	6	0	12	0	0	0	21	20	0	13	3	1	1	3	22	16	8	14	5	29	
"Thailand"	33	10	11	12	30	28	80	53	4	13	106	10	6	13	21	33	59	21	17	29	
"Iraq"	30	59	10	10	29	48	180	6	4	80	171	74	201	207	237	219	230	0	188	27	
"Colombia"	41	88	80	12	113	44	1	43	187	83	62	63	111	111	85	49	70	56	63	26	
"Turkey"	2223	1672	885	440	6	23	34	0	0	1367	2416	243	476	1682	851	1188	0	20	17	26	
"Honduras"	4	50	6	16	31	0	0	30	4	0	29	4	15	18	21	0	7	0	15	25	
"Palestine, State of"	13	0	0	0	0	0	0	0	0	16	0	0	18	18	22	0	0	0	0	23	
"Morocco"	0	18	1	18	26	37	0	2	0	5	17	59	86	18	0	11	3	0	18	23	
"Senegal"	67	110	142	89	65	0	28	31	34	33	228	372	209	248	197	229	81	87	14	23	
"Georgia"	32	25	0	17	0	0	33	47	0	26	15	39	20	0	0	0	16	15	28	22	
"French Polynesia"	0	0	10	0	12	0	0	7	2	0	0	1	0	0	5	7	0	5	3	21	
"Bangladesh"	253	4	46	71	18	2	20	232	43	1	55	9	122	23	20	15	2	2	4	19	
"Pakistan"	108	66	36	122	11	15	30	0	50	13	28	41	2	123	86	59	93	12	11	19	
"Niger"	0	0	0	6	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
"Finland"	57	170	0	30	0	0	18	0	18	2	50	82	24	99	101	13	0	35	10	18	
"Togo"	9	82	0	31	0	0	0	0	0	2	10	11	46	49	80	26	50	0	0	18	
"Papua New Guinea"	1	1	0	6	0	0	0	3	0	0	0	0	3	0	0	0	13	0	0	17	
"Iran, Islamic Republic of"	320	11	342	65	519	0	26	973	88	108	154	516	482	713	187	0	499	343	748	15	
"Chile"	116	90	175	369	268	90	290	175	151	93	58	110	71	179	93	204	95	287	131	14	
"Estonia"	29	0	0	0	0	0	0	0	4	16	13	48	16	23	0	8	0	0	10	13	
"Panama"	37	32	2	30	14	23	16	21	2	43	0	5	39	107	15	198	21	24	0	13	
"Guinea-Bissau"	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	13	
"Moldova, Republic of"	16	0	0	0	0	0	0	0	0	15	0	32	0	0	0	0	0	5	0	12	
"Kenya"	0	7	2	1	0	0	2	19	10	0	12	20	21	24	1	2	19	1	19	11	
"Fiji"	0	0	0	0	11	23	0	0	0	0	0	0	13	0	0	13	0	1	1	11	
"Ecuador"	0	26	5	0	0	11	0	26	0	0	33	58	64	53	5	49	3	7	6	10	
"Serbia"	16	0	0	16	75	0	0	0	8	0	0	0	0	0	0	2	0	0	0	10	
"Norway"	7	2	18	0	8	13	51	0	6	0	0	37	0	37	12	0	4	0	0	9	
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
"Madagascar"	11	10	16	0	0	0	0	0	0	0	20	2	0	45	5	0	0	0	4	8	
"Sri Lanka"	25	22	17	47	50	24	16	60	54	58	46	15	52	66	75	27	93	19	59	7	
"Suriname"	0	0	0	0	0	13	0	0	0	0	0	18	0	0	0	10	0	2	0	6	
"Zambia"	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	23	0	0	0	4	
