Importers	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	
"World"	120128	80022	142383	139146	160937	166144	178887	146066	152636	142827	146034	141210	125155	113520	136996	149798	189343	197776	174445	173230	
"Japan"	33144	22363	44630	33801	30745	38237	47004	31321	40639	35075	24261	31855	30755	31557	38204	35851	41006	43940	41585	42401	
"United States of America"	2894	1421	3522	8078	14205	17161	13462	10265	7245	4488	7574	6719	7546	5643	8369	12133	15983	25890	16420	18130	
"South Africa"	5621	4026	5671	4995	6942	3834	5357	2650	4089	4710	4117	2538	4315	3810	2950	5571	5461	10590	11994	12332	
"United Kingdom"	5961	4020	5855	5534	6855	8636	7769	5226	6190	6966	6447	7746	7427	4169	6163	12703	15469	16733	14717	12200	
"Russian Federation"	8068	4091	1281	2327	3921	9062	7529	6982	10470	10003	11443	10892	6578	7818	2239	5222	17449	9796	8810	9705	
"Bangladesh"	4741	659	2731	3483	5721	4260	6835	6544	8012	4557	2202	3800	3288	1680	1805	2932	3403	6166	8583	7392	
"Germany"	5038	3865	6048	5508	6669	6350	6874	5394	5485	7576	8325	4870	5194	7748	10554	8819	12941	12883	7325	7250	
"France"	6123	3512	9404	10173	8143	8451	8627	9031	7530	5831	6581	8511	8677	5297	7404	7971	8769	8670	9365	6593	
"Italy"	3607	4054	9469	5685	12294	9639	10635	8401	7057	6330	8302	5046	2036	2072	2856	3993	3458	3060	2888	3964	
"Australia"	1156	2138	2850	1720	3292	1889	1643	4428	3484	2222	4499	3376	2699	2827	4196	4272	4424	2534	1848	3800	
