Importers	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	
"World"	21475	24471	23673	25032	23203	24052	26729	24767	19484	29981	27314	31088	34149	36499	33816	32950	29776	27187	35119	36145	
"United States of America"	4053	4646	4101	4325	4484	4514	4029	2837	3127	5126	4993	4779	4420	5761	5850	4436	3571	3723	5196	4713	
"Italy"	439	157	478	554	1813	592	822	615	526	938	1164	1064	1853	1378	1081	1329	1389	1267	3817	2866	
"Australia"	907	1026	1139	1728	1652	1399	2288	2326	1064	1593	1238	1070	1397	2699	1357	2508	2171	1609	1394	2457	
"France"	434	637	636	1026	616	552	1479	1488	791	1434	1166	1598	903	936	1202	1555	1147	486	521	2161	
"Indonesia"	892	1564	1147	934	1400	1219	1196	586	917	1018	1371	2002	1889	1645	2777	1579	1035	1231	1844	1633	
"United Kingdom"	1082	1392	1632	1287	1296	827	1335	1508	1477	1862	1952	2093	2139	2133	2130	1978	1618	1125	1578	1337	
"Spain"	300	205	272	376	328	551	358	987	511	852	614	609	566	322	250	334	77	302	536	1144	
"Germany"	756	742	623	641	975	965	700	378	540	880	873	1626	1920	933	1083	814	445	454	2025	1107	
"Thailand"	201	131	360	625	592	502	379	732	425	559	215	756	425	485	614	527	566	305	409	844	
"India"	482	240	1622	245	288	2625	162	287	277	534	197	621	2638	3142	254	1055	3961	1836	1129	826	
"South Africa"	228	323	173	411	284	326	275	232	64	317	351	695	349	344	674	848	943	334	415	818	
"Argentina"	1591	1615	808	417	26	0	31	0	3	62	557	31	816	528	151	683	52	26	0	817	
"Viet Nam"	380	381	254	527	374	281	528	793	47	747	660	777	887	878	850	1275	1220	875	501	815	
"Chile"	170	284	496	740	487	440	400	236	216	277	270	818	388	1574	407	719	471	931	673	777	
"New Zealand"	280	275	92	133	56	337	285	151	614	48	81	121	147	186	340	451	479	701	487	663	
"Philippines"	118	507	622	1394	1436	487	2135	625	878	2797	1382	486	594	395	679	797	411	3201	2537	650	
"Cameroon"	6	0	14	12	0	13	0	5	43	0	34	4	30	42	6	9	53	658	0	583	
"Hong Kong, China"	572	490	731	538	574	668	1006	595	276	530	728	624	655	690	742	1069	654	597	831	582	
"Netherlands"	239	230	385	230	85	320	347	297	334	287	352	556	809	300	519	413	382	214	397	509	
"Mexico"	2	0	200	15	164	540	345	497	58	14	17	54	44	21	79	158	24	31	96	497	
"United Arab Emirates"	735	888	377	1009	696	735	516	695	393	771	573	867	822	1083	589	500	485	385	870	486	
"Canada"	340	272	422	505	635	500	691	616	361	315	268	394	498	486	618	446	757	202	408	481	
"Japan"	701	1045	691	807	796	387	367	332	417	726	396	416	1347	716	615	852	707	616	469	434	
"Singapore"	394	421	424	655	374	503	372	326	398	327	527	526	477	619	760	358	539	524	553	428	
"Romania"	34	31	0	16	16	0	505	265	486	301	16	44	52	46	0	0	0	23	185	425	
"Malaysia"	228	261	350	295	258	274	743	370	164	384	322	433	449	748	608	738	1183	566	588	423	
"Algeria"	369	80	0	86	17	23	0	195	7	0	467	0	319	26	37	30	23	0	331	387	
"Nigeria"	107	187	166	72	10	24	373	247	113	106	119	130	175	189	381	240	57	164	318	327	
"Jordan"	127	73	0	14	0	17	6	150	105	58	12	28	235	22	84	25	0	16	89	291	
"Saudi Arabia"	222	305	527	394	153	126	124	347	186	80	341	428	677	483	512	153	82	76	113	286	
"Russian Federation"	359	42	93	31	63	27	59	0	11	460	177	311	247	472	443	707	309	450	252	248	
"Taipei, Chinese"	207	251	263	290	86	69	126	347	66	59	99	132	182	208	261	105	15	68	90	237	
"Korea, Republic of"	51	237	113	204	188	86	124	148	218	275	207	379	401	348	135	249	228	274	234	236	
"Denmark"	352	296	374	309	88	180	219	286	227	249	381	458	642	346	243	34	68	128	432	221	
"Kenya"	0	241	184	40	64	31	38	341	5	29	13	26	26	38	91	330	152	12	2	219	
"Bangladesh"	38	11	138	30	147	0	39	47	10	0	50	83	51	205	133	46	201	33	85	206	
"Bulgaria"	9	26	22	0	14	0	37	159	83	0	50	93	17	6	18	53	0	47	13	187	
"Iran, Islamic Republic of"	27	22	59	34	8	76	74	27	73	223	78	161	478	52	227	50	36	17	45	187	
"Ukraine"	0	0	21	20	4	0	101	121	56	292	454	666	47	0	38	35	0	6	56	187	
"Kuwait"	26	331	67	0	42	3	10	12	75	26	248	62	79	185	176	0	40	54	26	186	
"Brazil"	97	55	50	48	31	26	64	27	201	196	180	129	64	91	77	240	14	54	234	181	
