Importers	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	
"World"	120405	124293	119758	123896	104478	108334	114292	97771	87900	129906	117311	140144	137012	152898	133034	147163	118802	127146	132664	120128	
"Japan"	23749	33281	28084	28529	20247	27296	26320	26354	22135	32008	23770	32682	32795	45854	33316	31965	27533	37963	46528	33144	
"Russian Federation"	1658	2877	7249	12022	11500	4417	5523	3199	4098	5076	5070	7168	7937	8237	11236	12845	12060	11743	12974	8068	
"Netherlands"	6672	4742	2944	8326	7797	11087	9298	6393	3290	6038	5373	5812	3060	4403	2955	3802	2246	2493	4366	6141	
"France"	18756	12412	7655	7230	4942	7201	5898	4541	4200	7203	8405	8535	7983	7006	5391	8347	4577	6063	6862	6123	
"United Kingdom"	6669	7989	5423	5094	4843	6179	5671	6630	3596	5305	4570	6012	7574	8714	7438	12109	11300	13699	9113	5961	
"Spain"	2275	2403	3354	4654	3184	3335	3595	2514	4613	5352	9527	7414	5917	4768	5099	5740	5205	4393	3819	5867	
"South Africa"	2244	2182	3841	2771	4399	5667	2814	3118	1851	5189	5313	5709	4002	3222	2720	3307	6787	4836	2668	5621	
"Germany"	4129	5633	6934	4849	4221	4225	4799	5128	3297	4057	3369	3898	3617	6386	5715	6859	4212	4732	6231	5038	
"Bangladesh"	4553	3606	7620	7749	6676	3619	2877	3565	3096	2862	2936	3920	5340	6621	7622	7772	9584	3298	3041	4741	
"Iran, Islamic Republic of"	343	1142	869	1268	794	738	650	1063	2312	582	1867	1548	2426	1598	2454	1325	576	644	2146	3960	
"Italy"	5112	5753	11357	6587	2820	1981	6366	8843	6696	14603	13275	20342	13858	14078	13943	8738	3844	3218	2773	3607	
"Venezuela, Bolivarian Republic of"	450	553	739	771	458	1866	1886	1235	475	2428	378	1833	5573	3222	1594	4242	1289	49	157	3070	
"United States of America"	8534	8779	5482	5173	4556	5711	7203	3003	2434	4485	3833	7305	9856	7019	5011	8228	4983	5365	3249	2894	
"Poland"	1004	727	1328	1846	2222	1274	1283	952	1342	1409	688	670	545	1284	1575	2591	2110	2299	1865	1811	
