Importers	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	
"World"	41083	46574	39252	42009	48463	45934	33160	39422	46008	51165	50025	54398	55596	50869	44562	50517	48298	57830	31718	48968	
"United States of America"	5942	8198	7744	6060	6924	6368	4235	5955	5690	7300	7006	8339	8663	7836	7336	8028	6678	9885	4120	6955	
"Italy"	1118	1348	1711	1573	2691	1590	1950	1943	2371	2722	2687	2223	3764	1998	3270	2856	3425	3820	2865	3241	
"Australia"	3437	4124	3646	4716	3747	5829	3600	2914	3485	4590	3976	4050	4445	5587	5379	6812	4976	5683	1537	3228	
"Indonesia"	1339	3611	2496	3469	2348	2555	877	2040	3100	3421	3110	2319	3043	3163	1936	3945	3248	2426	1459	2975	
"United Kingdom"	1698	2066	2131	1206	2057	1728	1496	1469	1084	2156	2220	3282	2923	3146	2634	2099	2629	2392	1599	2958	
"Germany"	860	729	989	1782	1127	1564	1127	1904	1567	2151	1352	2300	1746	1348	1068	2259	2190	2131	1262	2046	
"France"	756	636	439	933	685	1058	1042	1313	575	884	862	1358	1769	1875	646	803	931	1409	956	1843	
"Viet Nam"	1175	651	1007	899	1724	1339	715	2162	1546	714	1353	842	1294	1463	841	1089	887	1049	485	1770	
"India"	273	504	376	738	692	827	887	1711	929	1547	971	713	1089	1649	1331	777	1583	2721	721	1257	
"Malaysia"	873	945	413	654	848	663	451	413	1286	867	1136	1010	1059	651	929	1455	1301	668	728	1184	
"Netherlands"	221	277	436	495	637	475	272	589	887	570	624	1064	768	742	510	523	788	1064	722	1114	
