Importers	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	
"World"	169133	192807	203747	204543	224063	192139	167587	173749	150433	154977	159983	153465	146996	170067	189183	183064	200956	188206	186030	160784	
"United States of America"	24477	39876	37733	32953	38924	29683	33144	33361	21772	17740	17338	12503	21319	33810	35132	36892	31835	24401	38288	31062	
"Japan"	38766	29457	30057	38244	44284	34213	17386	28613	26071	32096	27276	28971	22669	17655	20642	30547	41650	36080	22241	17278	
"United Kingdom"	7955	16958	11482	20962	14071	16613	16420	11025	9787	10012	11755	9766	10431	9058	11683	8536	8920	14194	10988	11724	
"France"	7106	9745	9799	12743	11363	9064	7072	7857	7489	6715	7358	5845	7212	9295	10148	9107	9100	11189	8949	8887	
"Australia"	4527	5661	4719	3031	4454	3786	4926	8394	7619	4947	5277	6080	6005	5729	6280	2610	3921	5319	9740	7501	
"Netherlands"	2542	2855	3620	4455	4613	2800	1496	3489	2939	2877	3285	2743	3075	2945	4222	3544	2830	4106	2049	4793	
"Korea, Republic of"	1225	155	547	1273	549	2181	900	1103	1276	787	563	1691	1098	4197	3866	4048	11511	6514	5705	4696	
"Germany"	11246	7366	13446	6623	11086	5405	5508	10194	9403	15446	12451	14441	9464	10500	9470	6891	8263	7291	3697	4323	
"Canada"	1930	2166	2080	2674	1910	3076	2295	2868	2319	2715	3585	2012	1711	2365	4676	3225	4697	3540	3908	4241	
"South Africa"	3846	3112	3935	3347	4334	4610	4845	4793	3600	1950	3173	3971	2596	4855	4125	4716	4546	4909	5486	3777	
"Spain"	2315	2370	2439	2230	2178	2332	2057	1654	1418	2205	2740	2537	2512	4555	5755	5835	4686	3184	3864	3422	
"Chile"	1873	2634	1102	1448	2011	3201	3718	3178	3368	2343	2593	827	1155	1778	3558	2231	2826	2909	3010	3404	
"Poland"	1687	2831	2083	2362	3188	4907	3311	4395	2268	2697	2972	2606	2510	2857	2321	3046	3384	2617	4618	3297	
"Italy"	4543	3378	6898	2956	9509	3599	2186	3980	1869	2405	3442	4171	2941	3729	4992	4195	2456	7207	4349	3066	
