Importers	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	
"World"	10036	10277	8378	9343	7136	8091	9121	10014	8490	9718	10728	13679	11047	11970	9482	9891	7875	7715	8085	8371	
"United States of America"	1024	357	112	94	113	156	420	1652	1196	1224	1675	1885	1352	895	1160	790	932	1161	827	1141	
"United Kingdom"	1167	1191	1100	1289	1072	645	1053	908	478	610	608	1063	742	1397	1173	777	704	379	921	1140	
"Germany"	620	191	658	377	433	492	754	1813	877	1201	1385	2198	1532	1203	1081	633	607	538	1334	930	
"Japan"	2412	2370	1326	1887	992	1574	1491	1104	907	925	1153	1305	2379	1445	977	2793	1097	1626	1474	828	
"Australia"	108	225	391	447	395	648	72	121	67	91	155	74	143	1065	286	568	515	474	474	564	
"Netherlands"	762	1065	800	481	740	863	789	790	1133	795	621	2026	835	414	549	476	494	294	451	447	
"Italy"	491	305	338	75	231	358	194	431	376	456	692	655	337	429	1093	615	604	522	448	315	
"France"	543	812	592	633	289	384	622	602	444	549	1055	719	676	950	613	533	481	312	343	298	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	
"Poland"	117	111	141	108	131	280	0	216	15	238	3	70	16	105	38	87	98	264	0	282	
"Belgium"	359	189	397	95	276	235	205	215	137	165	535	647	196	392	208	438	399	317	242	196	
"Chile"	24	161	0	13	0	0	0	27	0	0	0	0	0	1	0	0	42	89	40	190	
"Spain"	394	273	283	367	100	230	210	99	458	416	329	390	234	311	662	268	265	126	184	157	
"Denmark"	80	97	122	556	134	147	273	138	56	288	216	159	285	256	102	45	138	198	100	110	
"South Africa"	0	5	0	0	0	0	0	0	0	0	0	0	7	21	15	0	0	40	0	109	
"Russian Federation"	43	159	26	22	22	69	76	38	37	203	65	4	166	231	129	119	118	0	125	106	
"India"	20	23	14	18	47	45	23	55	40	7	45	44	35	88	40	63	39	40	81	103	
"Czech Republic"	123	27	0	67	158	143	112	198	181	45	38	97	58	128	74	87	129	46	164	97	
"Sweden"	0	0	0	0	0	0	0	3	7	44	44	112	67	123	0	23	0	119	18	91	
"Malaysia"	15	0	236	0	35	0	37	23	4	4	0	26	10	29	43	109	13	88	42	79	
"Israel"	105	241	83	159	42	118	126	123	165	89	152	227	0	39	19	28	21	47	5	77	
"Syrian Arab Republic"	0	0	0	17	0	0	0	0	0	18	0	0	91	0	0	0	0	0	0	72	
"Romania"	0	0	0	0	0	0	0	0	1	0	0	33	0	0	14	0	13	0	0	52	
"Ireland"	9	54	0	15	68	48	99	10	54	10	23	68	41	62	54	74	32	44	26	49	
"Slovenia"	0	0	0	86	0	47	69	7	0	0	24	121	39	22	22	28	46	0	22	47	
"Philippines"	0	0	1	31	1	0	0	29	0	0	133	0	1	99	0	32	2	0	0	45	
"Ghana"	67	0	0	0	1	0	0	13	0	0	0	0	18	28	0	21	0	0	0	43	
"Morocco"	0	19	19	38	61	19	19	0	56	120	0	0	28	0	44	27	95	0	29	42	
"New Zealand"	21	41	77	0	54	267	62	37	11	95	88	53	153	38	236	198	75	91	88	36	
"Sudan (before 2012)"	0	0	0	15	0	1	0	13	0	0	0	0	0	0	0	0	0	24	0	36	
"Singapore"	2	1	0	5	10	1	5	3	6	6	34	9	29	28	0	40	33	17	18	33	
"Cyprus"	21	20	0	0	0	0	0	0	0	0	18	22	10	0	0	9	0	9	16	33	
"Lebanon"	34	25	56	110	43	64	68	65	0	15	88	51	119	127	18	47	19	17	62	32	
"Pakistan"	0	0	0	0	0	0	6	0	0	43	0	47	0	3	0	33	0	4	0	30	
"Switzerland"	53	75	60	116	116	47	154	86	44	43	57	134	40	63	54	0	36	46	0	25	
"United Arab Emirates"	40	26	148	160	134	187	94	42	71	85	38	34	108	101	24	85	22	72	38	23	
"Iran, Islamic Republic of"	58	312	114	271	496	25	911	145	278	268	796	808	417	417	0	131	59	0	139	23	
"Greece"	0	0	26	0	0	22	0	23	0	36	48	50	0	138	167	64	29	0	5	22	
"Senegal"	0	0	0	0	0	0	0	11	0	0	0	40	18	19	66	20	14	43	21	21	
"Nigeria"	38	402	564	490	176	276	366	384	253	433	17	18	77	423	85	88	0	38	56	21	
"Portugal"	99	126	24	36	80	101	131	38	37	66	24	118	109	137	31	25	219	183	123	20	
"Kuwait"	0	0	0	0	0	14	0	0	40	0	3	0	0	18	21	0	0	0	0	19	
"Myanmar"	0	0	0	9	0	18	0	2	0	0	0	0	0	35	1	0	62	0	0	18	
"Norway"	0	0	9	0	0	0	0	0	0	2	7	23	0	0	0	7	8	17	0	18	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	165	0	0	0	0	0	66	122	216	0	0	0	0	11	11	
"Bangladesh"	20	0	15	19	20	0	4	0	0	0	0	0	0	20	0	17	16	0	0	11	
"Ecuador"	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10	
"Algeria"	366	299	0	679	0	0	0	20	315	179	169	0	18	0	0	0	0	0	2	7	
"Korea, Democratic People's Republic of"	0	7	0	0	0	0	17	0	4	2	3	19	12	5	26	9	12	4	12	7	
"Austria"	0	9	5	9	0	16	7	14	0	0	0	22	0	6	10	6	7	12	25	6	
"Hong Kong, China"	8	0	3	16	0	6	26	7	2	23	10	24	20	20	53	21	86	3	13	5	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	11	0	36	47	31	31	0	33	3	3	
"Mongolia"	0	16	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
"Viet Nam"	7	0	0	0	11	0	0	0	0	0	0	3	21	0	0	0	0	1	1	2	
"Somalia"	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Serbia"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sierra Leone"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Rwanda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	
"Saudi Arabia"	0	0	43	0	0	0	0	16	81	0	39	0	0	0	34	0	0	0	0	0	
"Tunisia"	0	0	0	0	46	0	0	0	0	69	0	0	0	5	0	91	0	0	0	0	
"Turkey"	0	141	125	0	0	22	0	0	0	19	0	0	36	36	36	120	89	69	7	0	
"Ukraine"	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	
"Macedonia, The Former Yugoslav Republic of"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Egypt"	53	0	0	0	10	58	0	0	0	7	8	0	0	9	0	0	4	0	13	0	
"Oman"	0	0	0	0	0	0	0	0	22	0	0	0	22	22	0	0	0	0	2	0	
"Nepal"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Nicaragua"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Qatar"	0	26	0	9	0	0	0	0	0	0	33	0	0	7	0	0	0	0	8	0	
"Panama"	78	0	0	0	73	0	0	0	0	0	0	22	43	0	0	0	0	0	4	0	
"Paraguay"	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	21	0	0	0	0	
"Peru"	0	0	0	6	0	0	18	0	0	5	0	0	8	0	2	0	0	29	0	0	
