Importers	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	
"World"	57570	59736	73728	70526	51182	66369	70014	83999	70053	73801	76555	76235	61081	73246	70734	81627	49263	79018	85231	89453	
"United States of America"	11175	12931	15873	16636	8514	12486	14807	19337	14994	16272	15942	15743	14344	16972	15746	21556	16832	20244	19757	20369	
"Australia"	7279	9212	5653	8136	4934	6132	6103	6455	5970	8194	5856	7133	5591	7638	5850	8508	4827	8144	6653	7634	
"Italy"	3632	2092	4870	3503	2784	4965	2692	5540	3212	3072	4194	4579	2524	3148	5997	4420	3179	3976	7400	4910	
"Indonesia"	2512	2647	3358	2209	1633	1449	2907	3837	3083	1888	3381	6892	3423	4418	2658	4142	1088	2408	3775	4368	
"United Kingdom"	2624	1885	3437	2858	3150	3308	3032	4003	3036	3273	4218	2964	3678	2901	4227	3923	1640	3269	3267	3940	
"Saudi Arabia"	1076	1142	1144	2459	1669	5117	1614	2982	1244	1600	1343	875	1134	1613	1336	923	1546	2301	2591	3932	
"Netherlands"	1116	1104	1651	1903	1873	2173	1319	2362	2531	3436	2533	2563	1673	1933	2473	2228	904	1558	2361	2552	
"France"	1465	1029	2109	1676	1992	2392	2159	1727	1818	1686	1740	2550	1109	940	1794	1807	1164	2373	3264	2070	
"India"	1993	1965	3731	3121	1604	2125	2209	2589	564	1680	3186	3380	3222	2722	1946	3306	1522	1948	2070	1821	
"Iraq"	247	111	238	400	498	338	637	850	1079	1132	705	473	207	708	430	1277	572	1959	1603	1800	
"Philippines"	717	1316	871	1476	1620	754	1828	997	1350	1336	1749	2353	1516	1676	1485	1453	304	2356	1610	1702	
"Germany"	1396	1207	2683	2464	2090	2487	3737	3450	1886	2758	2045	1880	948	2512	2288	2562	1197	2619	2656	1585	
"United Arab Emirates"	556	1006	1108	1104	478	1213	883	1665	1770	1181	1042	666	741	770	919	1435	537	1110	1172	1522	
"Chile"	710	1378	991	896	659	611	1061	1510	1087	1309	1549	1283	1108	1891	1094	899	622	692	1065	1383	
"Canada"	1094	712	825	527	913	926	835	1285	1149	1284	1449	1482	974	1001	1836	1361	607	1221	1542	1313	
"Viet Nam"	663	1457	1999	2600	1109	1103	675	802	1350	1166	1234	1233	867	1785	1739	478	630	903	1305	1294	
"Hong Kong, China"	913	1159	1071	692	543	1133	709	1206	1056	894	1373	1021	1290	1714	875	883	462	1030	1208	1263	
"Denmark"	291	132	1041	797	476	780	867	744	705	1144	677	567	654	247	449	878	476	1068	1018	1235	
"Algeria"	820	516	972	380	46	363	633	1303	716	346	79	148	111	280	402	504	137	1051	754	1124	
"Spain"	277	619	515	728	1111	762	1305	1190	608	677	791	473	304	774	378	1121	461	931	1157	1023	
"Malaysia"	933	1023	1722	848	460	1471	1236	1601	1088	1075	1601	802	932	1177	1907	769	478	959	988	1019	
"New Zealand"	951	715	1290	1093	539	862	798	1152	976	937	1054	1177	920	1002	957	993	805	963	1027	918	
"Angola"	195	218	95	135	505	15	2	0	0	6	3	460	45	168	98	31	6	70	69	897	
"Mongolia"	91	142	178	45	27	99	734	681	413	280	144	146	92	153	66	31	34	125	424	841	
"Singapore"	709	829	748	386	584	787	685	647	910	922	984	735	471	558	734	787	428	804	498	781	
"Japan"	1094	854	709	1033	650	817	848	988	1023	1321	1485	1182	923	1105	828	1333	690	951	926	756	
"Thailand"	656	571	1072	502	648	556	446	425	677	672	987	750	743	664	671	784	421	733	999	734	
"Poland"	555	342	410	246	369	210	524	455	653	383	430	693	381	371	271	735	254	954	585	704	
"Bangladesh"	162	196	285	175	265	210	109	356	54	193	95	123	116	252	415	573	133	143	332	644	
"Paraguay"	245	224	120	14	142	157	98	19	430	251	742	215	222	415	163	219	135	344	61	600	
"Taipei, Chinese"	252	298	403	383	508	438	833	729	541	469	544	570	197	614	542	656	184	495	310	565	
"Sweden"	41	216	132	490	112	229	596	493	507	212	165	198	181	818	234	484	279	426	555	510	
"Colombia"	1032	522	533	248	293	299	724	620	569	1179	815	937	680	882	394	440	189	471	377	454	
"Korea, Republic of"	851	604	407	299	218	367	450	777	677	354	393	282	401	311	346	229	54	344	542	445	
"Mexico"	328	81	188	298	147	269	182	632	1765	727	1247	344	258	362	97	84	74	294	316	436	
"Israel"	351	186	407	419	192	265	306	382	367	561	491	303	588	243	236	615	149	309	393	427	
"Myanmar"	180	156	461	280	111	413	546	447	78	86	321	244	118	322	181	179	247	196	285	401	
"Russian Federation"	51	279	142	157	119	100	135	177	191	123	218	316	58	86	171	275	98	243	170	399	
"Panama"	224	223	236	297	78	42	256	221	432	395	280	509	302	264	444	488	83	231	378	393	
"Iran, Islamic Republic of"	0	43	15	57	41	38	113	102	1	206	61	23	0	73	171	44	58	350	429	382	
"Greece"	60	111	103	115	68	40	215	110	137	152	96	146	15	117	104	26	132	211	155	377	
"South Africa"	945	496	592	547	138	399	324	288	322	323	432	220	454	423	579	269	232	413	316	373	
"Belgium"	123	318	543	250	192	174	330	488	200	247	654	499	368	168	261	320	166	308	328	350	
"Romania"	93	180	146	111	174	159	211	192	67	30	260	79	146	103	123	152	2	101	163	345	
"Oman"	163	65	53	54	0	102	51	400	158	125	89	99	86	136	134	117	18	184	191	305	
"Brazil"	156	174	178	110	780	229	21	96	126	321	135	159	368	130	260	268	62	111	328	304	
"Yemen"	0	29	0	0	2	31	128	81	56	40	34	74	35	12	8	65	30	54	134	297	
"Ireland"	240	159	66	478	345	538	66	181	214	474	308	270	184	188	139	159	222	277	355	273	
"Papua New Guinea"	83	368	62	42	4	33	4	46	87	43	129	497	153	70	54	146	43	71	56	266	
"Kazakhstan"	1	71	12	0	580	160	1806	182	771	77	208	77	39	7	26	406	308	501	94	260	
"Korea, Democratic People's Republic of"	688	53	47	53	25	26	23	41	102	102	63	62	51	20	47	48	5	90	29	251	
"Ghana"	130	162	157	43	64	99	145	97	144	220	245	234	106	136	54	439	80	93	126	251	
"Pakistan"	111	175	464	92	38	97	219	52	189	151	37	46	23	77	60	111	105	124	198	226	
"Peru"	301	229	260	143	142	128	140	178	182	426	270	238	269	284	215	166	270	182	286	224	
"Lao People's Democratic Republic"	122	130	65	82	71	73	281	136	92	59	256	199	274	53	435	225	72	113	271	214	
"Uzbekistan"	19	33	1	58	51	226	432	442	21	3	5	14	6	13	19	178	0	145	165	214	
"Hungary"	51	41	31	179	0	45	113	104	1	2	0	21	0	33	40	20	21	65	45	210	
"Lebanon"	38	100	74	254	84	158	270	207	217	152	244	98	192	197	209	221	146	109	184	206	
"Sri Lanka"	135	198	88	120	248	49	117	219	365	185	162	330	529	620	220	401	390	318	390	193	
"Czech Republic"	174	151	257	452	349	239	165	340	137	216	190	56	226	130	35	153	76	87	134	188	
"Dominican Republic"	168	187	46	63	91	259	104	160	25	284	164	61	122	246	203	162	54	175	116	174	
"Guatemala"	120	167	178	110	251	105	135	168	142	235	261	110	52	316	143	320	197	128	172	173	
"Uruguay"	76	124	220	168	0	267	324	44	312	97	184	110	28	193	219	79	46	52	164	172	
"Qatar"	1	26	40	301	136	114	23	44	180	186	198	331	356	28	69	166	45	31	25	163	
"Portugal"	36	13	148	131	1	85	44	32	113	74	0	65	0	139	7	70	9	49	61	161	
"Azerbaijan"	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	256	173	0	152	
"Djibouti"	6	1	491	3	9	205	3	8	18	49	7	12	205	14	2	8	0	46	1	151	
"Slovenia"	110	85	140	91	123	174	333	169	86	222	175	56	49	161	164	50	145	112	193	137	
"Kenya"	231	281	480	138	105	599	106	181	297	208	244	87	116	387	242	340	54	112	280	133	
"Kyrgyzstan"	2	56	0	15	3	23	42	40	47	108	102	56	28	29	25	13	19	95	282	131	
"Brunei Darussalam"	125	27	35	70	60	79	64	101	66	28	274	63	58	184	125	85	0	183	61	122	
"Finland"	60	175	219	229	112	119	136	134	132	124	131	0	16	193	127	186	86	142	213	114	
"Cameroon"	25	73	11	27	14	39	42	20	33	19	79	0	25	24	121	8	27	12	34	112	
