Importers	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	
"World"	15960	15527	20387	15537	14142	19393	24112	26059	22552	21813	20943	19131	16949	19992	20968	21732	16549	27056	23202	26491	
"United States of America"	3275	3232	3304	3517	3352	2614	3357	4899	3660	4656	3749	3402	4235	4344	4301	5050	4379	4938	4142	5570	
"France"	1063	933	1700	868	687	1258	2503	2480	1955	1338	1441	1176	874	1466	1345	1155	1020	1855	1746	2125	
"Germany"	642	615	1440	1039	1065	1668	2150	1216	678	751	909	738	818	898	1080	991	872	1405	1116	1916	
"Australia"	1090	1070	1031	960	659	1154	1292	965	866	1022	710	1235	1026	1443	1239	1986	1244	2099	1567	1738	
"United Kingdom"	1977	1675	1519	1234	1330	1494	1373	1726	1931	1699	2109	1860	1830	1877	1762	1641	1216	1808	1575	1665	
"Japan"	744	874	1025	575	723	820	1047	1507	1666	1724	1246	1054	813	1015	874	1121	570	1117	1035	1361	
"Russian Federation"	339	219	2306	399	180	149	273	701	1119	394	505	533	440	234	516	179	370	330	1029	1284	
"Netherlands"	739	546	638	882	660	955	1153	1052	908	1003	893	1069	540	730	1593	1506	172	1113	1190	1028	
"Saudi Arabia"	147	274	94	622	387	984	409	630	431	195	402	593	276	374	339	517	1142	931	1165	971	
"Taipei, Chinese"	248	134	533	326	99	120	466	574	299	144	315	383	398	646	298	176	350	668	299	686	
"Italy"	414	97	404	75	287	411	316	903	311	414	499	457	207	168	502	301	415	1042	724	683	
"Iran, Islamic Republic of"	64	83	172	818	18	17	0	320	11	342	65	519	0	26	973	88	108	154	516	482	
"Turkey"	320	700	1039	348	849	3077	2516	2223	1672	885	440	6	23	34	0	0	1367	2416	243	476	
"Canada"	339	566	543	384	364	302	533	754	648	435	750	604	595	719	415	530	352	547	443	434	
"Spain"	120	308	283	309	230	245	327	509	552	409	370	291	401	233	379	507	158	463	332	426	
"Denmark"	79	0	129	41	41	77	177	54	111	118	47	136	102	53	53	215	45	264	164	289	
"Belgium"	109	108	207	64	148	74	147	232	136	119	202	148	267	117	180	55	23	165	227	285	
"Viet Nam"	264	222	5	32	1	106	57	16	109	18	106	329	269	206	401	91	49	238	64	248	
"United Arab Emirates"	176	68	317	112	150	83	276	186	176	99	265	122	220	92	335	200	203	56	246	227	
"Portugal"	78	99	117	38	0	125	112	62	84	20	39	9	24	35	15	0	38	158	19	219	
"Switzerland"	218	69	117	40	136	76	366	194	117	121	273	72	70	86	74	52	148	217	277	211	
"Senegal"	23	0	16	23	72	33	49	67	110	142	89	65	0	28	31	34	33	228	372	209	
"Iraq"	64	21	12	0	106	30	2	30	59	10	10	29	48	180	6	4	80	171	74	201	
"Korea, Republic of"	122	170	87	97	124	101	90	120	179	354	309	115	138	202	134	57	161	125	221	200	
"Lebanon"	58	164	55	172	54	192	132	172	142	80	146	46	68	75	60	222	18	242	161	197	
"Israel"	28	39	106	110	2	58	83	142	197	247	257	108	210	39	210	147	73	100	534	176	
"Singapore"	88	227	102	92	61	126	181	117	295	161	147	133	147	320	266	328	85	227	40	165	
"Poland"	56	40	39	57	55	65	95	82	91	84	84	52	114	66	48	77	51	101	95	160	
"Malaysia"	42	51	86	57	31	107	154	142	154	120	79	11	240	574	146	808	19	197	108	142	
"Philippines"	125	70	59	12	32	92	284	30	54	240	168	55	123	223	157	219	40	151	112	141	
"Jordan"	18	137	129	112	438	405	175	112	196	273	265	55	4	2	49	80	37	130	36	128	
"Côte d'Ivoire"	49	73	142	6	53	25	10	189	13	269	32	181	104	233	118	73	44	226	91	124	
"Sweden"	0	15	54	35	34	97	131	61	53	16	49	72	35	67	111	200	45	105	241	124	
"Bangladesh"	0	1	45	81	0	220	5	253	4	46	71	18	2	20	232	43	1	55	9	122	
"Colombia"	16	50	45	51	38	26	58	41	88	80	12	113	44	1	43	187	83	62	63	111	
"New Zealand"	210	104	113	134	77	135	65	154	103	183	96	234	72	94	159	69	117	114	38	107	
"Hong Kong, China"	90	94	171	79	50	86	69	96	310	116	113	89	84	97	83	75	40	126	95	89	
"Morocco"	0	1	18	0	39	0	21	0	18	1	18	26	37	0	2	0	5	17	59	86	
"Egypt"	854	670	269	2	10	0	292	670	749	439	752	398	5	330	346	545	149	1	3	84	
"Kuwait"	34	19	60	11	89	35	57	78	25	10	35	75	7	68	5	28	82	93	69	83	
"Romania"	339	22	91	62	123	29	58	66	29	40	135	274	58	57	79	89	42	30	0	72	
"Chile"	212	122	121	14	154	46	66	116	90	175	369	268	90	290	175	151	93	58	110	71	
"Algeria"	0	25	94	168	15	586	825	266	401	839	709	74	44	137	0	363	23	284	209	71	
"India"	70	45	150	142	225	121	119	142	79	59	34	48	44	92	55	58	73	94	247	71	
"Slovenia"	20	58	56	78	31	54	66	19	54	54	36	55	37	137	51	18	82	122	89	68	
"Ecuador"	0	9	32	5	0	0	2	0	26	5	0	0	11	0	26	0	0	33	58	64	
"South Africa"	26	85	41	45	20	39	20	38	33	48	69	22	131	34	75	55	8	15	17	53	
"Sri Lanka"	4	2	2	39	6	0	19	25	22	17	47	50	24	16	60	54	58	46	15	52	
"Guinea"	0	0	0	52	0	0	0	0	27	34	15	0	0	49	13	0	16	30	27	47	
"Togo"	0	0	0	0	0	0	20	9	82	0	31	0	0	0	0	0	2	10	11	46	
"Mexico"	3	4	39	15	10	10	8	0	1	3	44	24	9	43	0	12	0	26	30	42	
"Ukraine"	107	95	82	58	36	109	90	99	34	47	0	272	36	47	94	51	71	18	29	41	
"Panama"	4	229	15	0	0	1	23	37	32	2	30	14	23	16	21	2	43	0	5	39	
"Ireland"	25	27	19	46	65	17	37	59	51	11	53	26	8	51	43	19	16	37	36	38	
"Uzbekistan"	0	0	0	1	0	0	5	47	0	16	1	0	0	2	0	0	93	48	15	36	
"El Salvador"	0	17	0	17	0	17	4	33	0	0	5	19	0	6	15	6	0	14	0	34	
"Armenia"	0	86	0	0	20	38	0	136	95	27	34	38	0	59	5	19	0	33	48	33	
"Myanmar"	24	0	167	75	5	0	65	25	52	1	8	46	0	118	0	81	2	26	31	31	
"Venezuela, Bolivarian Republic of"	0	0	0	29	0	0	0	33	0	0	0	16	0	146	0	43	12	0	0	31	
"Ethiopia"	41	0	0	0	0	0	0	0	0	0	0	2	4	18	0	0	27	16	3	30	
"Greece"	13	17	42	24	25	82	25	22	44	2	33	5	4	44	33	0	5	20	16	28	
"Mali"	0	0	0	18	0	0	0	21	16	0	0	0	33	0	12	0	0	82	13	26	
"Finland"	0	0	0	21	31	0	24	57	170	0	30	0	0	18	0	18	2	50	82	24	
"Indonesia"	119	21	43	39	63	57	104	138	114	193	129	339	209	115	112	99	11	87	77	23	
"Trinidad and Tobago"	15	0	0	0	0	0	34	22	0	75	12	14	57	0	11	21	4	18	0	23	
"Kenya"	0	85	0	24	0	1	18	0	7	2	1	0	0	2	19	10	0	12	20	21	
"Georgia"	18	35	6	71	0	0	32	32	25	0	17	0	0	33	47	0	26	15	39	20	
"Oman"	20	0	18	0	0	0	0	2	0	8	1	7	0	0	1	8	0	0	1	19	
"Paraguay"	16	0	0	0	19	0	0	14	35	0	29	0	0	32	0	0	15	0	16	18	
"Sierra Leone"	0	1	0	0	20	12	1	0	9	0	0	0	0	0	1	8	0	0	2	18	
"Palestine, State of"	7	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	0	0	18	
"Benin"	40	0	0	1	18	0	24	0	24	49	0	5	0	0	0	0	0	24	11	17	
"Barbados"	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	17	
"Estonia"	0	0	31	0	0	44	8	29	0	0	0	0	0	0	0	4	16	13	48	16	
"Ghana"	1	10	4	4	34	10	0	43	120	40	256	14	214	26	243	123	0	67	91	16	
"Turkmenistan"	0	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	16	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	16	
"Honduras"	7	0	1	0	0	14	7	4	50	6	16	31	0	0	30	4	0	29	4	15	
"Lithuania"	0	9	18	0	17	8	0	0	68	0	0	0	0	32	21	0	0	0	108	15	
"Malta"	0	0	0	0	0	27	11	12	0	11	0	0	91	25	1	0	9	0	7	14	
"Czech Republic"	0	82	76	58	118	101	282	148	64	22	27	68	116	5	110	69	0	118	16	14	
"Bahrain"	0	6	18	14	9	30	0	21	18	0	0	31	88	19	0	0	28	14	0	14	
"Fiji"	0	15	0	0	0	1	0	0	0	0	0	11	23	0	0	0	0	0	0	13	
"Jamaica"	0	17	0	16	6	0	0	1	11	0	11	11	32	27	0	0	0	33	14	13	
"New Caledonia"	0	0	0	0	3	0	0	2	0	0	0	4	0	0	0	0	15	3	0	13	
"Brunei Darussalam"	0	35	0	0	0	10	0	0	19	0	8	37	2	46	2	6	0	0	0	10	
"Dominican Republic"	0	0	13	0	0	0	0	0	1	2	5	0	4	13	0	0	0	0	7	9	
"Mauritius"	0	0	0	0	0	11	0	0	7	0	0	0	2	0	1	0	0	0	0	9	
"Kazakhstan"	0	32	102	30	51	0	0	0	22	0	0	0	52	1	133	17	18	5	0	9	
"Cyprus"	8	0	11	47	0	2	14	6	0	0	16	0	0	0	16	12	0	7	31	8	
"Costa Rica"	0	0	0	19	4	3	1	12	17	17	7	34	0	79	8	6	18	4	0	8	
"Croatia"	0	0	0	0	0	0	11	11	13	0	29	36	0	20	6	0	0	2	0	6	
"Thailand"	6	87	21	13	34	12	14	33	10	11	12	30	28	80	53	4	13	106	10	6	
"Papua New Guinea"	0	0	0	0	0	0	5	1	1	0	6	0	0	0	3	0	0	0	0	3	
"Qatar"	12	0	25	24	39	62	0	0	8	35	0	50	14	8	21	0	18	26	17	3	
"Peru"	84	46	37	35	9	17	1	17	68	23	10	18	20	67	35	81	0	14	14	2	
"Pakistan"	21	35	8	68	17	4	43	108	66	36	122	11	15	30	0	50	13	28	41	2	
"Korea, Democratic People's Republic of"	0	0	1	0	0	0	0	2	8	40	20	3	9	0	1	24	0	2	5	2	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
"Angola"	0	0	0	0	4	3	0	0	0	0	0	0	0	25	0	34	0	0	0	2	
"Equatorial Guinea"	0	4	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	
"Hungary"	16	49	28	31	13	13	28	0	0	0	0	28	16	13	13	25	11	29	14	2	
"Uganda"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	5	0	0	2	
"Tunisia"	4	3	4	0	0	7	0	13	20	4	0	0	0	0	9	24	47	0	0	2	
"Tanzania, United Republic of"	8	0	84	0	0	0	3	6	0	12	0	0	0	21	20	0	13	3	1	1	
"Djibouti"	7	0	18	0	1	0	13	0	0	0	0	0	24	0	2	15	1	0	0	1	
"Afghanistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	
"Argentina"	1	0	0	0	1	0	276	0	0	8	4	0	34	4	0	111	34	4	127	1	
"Botswana"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	
"Brazil"	1	0	44	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	1	1	
"Bhutan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Mozambique"	9	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	5	0	3	1	
"Namibia"	0	0	0	0	0	0	2	0	0	13	0	0	0	1	15	0	0	0	0	0	
"Nepal"	0	9	0	4	0	4	0	0	0	0	0	0	0	0	0	3	0	0	1	0	
"Oceania Nes"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mauritania"	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	
"Maldives"	1	0	3	0	0	0	0	1	0	1	0	0	0	0	4	2	0	0	0	0	
"Mongolia"	0	23	5	25	5	0	0	1	0	0	7	0	0	60	4	8	0	0	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	15	0	32	0	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	
"Kyrgyzstan"	0	0	0	0	0	0	17	0	0	0	0	9	2	46	0	0	0	2	28	0	
"Lao People's Democratic Republic"	5	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	
"Macao, China"	5	5	6	47	0	26	23	12	14	23	14	1	0	3	0	3	4	45	20	0	
"Madagascar"	0	0	16	0	1	0	0	11	10	16	0	0	0	0	0	0	0	20	2	0	
"Malawi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
"Latvia"	0	0	0	26	0	0	54	0	0	0	18	0	0	0	12	0	0	0	0	0	
"Liberia"	0	16	3	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Libya, State of"	25	0	0	0	0	0	5	0	31	0	0	24	11	0	0	0	0	0	0	0	
"Vanuatu"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Nicaragua"	16	16	91	0	0	0	17	0	0	0	15	80	43	47	15	21	6	0	13	0	
"Niger"	0	0	0	0	0	0	0	0	0	0	6	0	25	0	0	0	0	0	0	0	
"Nigeria"	108	7	49	78	53	30	16	97	29	334	129	78	16	13	60	72	43	95	55	0	
