Importers	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	
"World"	17758	16894	13876	14028	13415	19234	12959	18981	22816	27199	20170	20416	17314	16038	15756	18956	16497	16093	12345	19751	
"United States of America"	3633	3045	3537	2615	2846	4701	2172	3944	3490	4046	3079	2498	2544	2458	3359	3127	2360	2391	1783	3123	
"Germany"	902	1948	1457	853	931	1446	1505	1961	2149	2839	1090	2166	1330	653	669	675	1133	486	1726	2086	
"Netherlands"	1729	1707	649	2227	1251	1842	791	1462	1470	1431	1781	1230	1180	907	798	775	886	1075	1078	1965	
"Australia"	1205	2078	1439	1265	889	1528	1445	1475	1774	1241	1018	1537	1332	1645	2063	2502	1157	1493	1406	1870	
"Egypt"	0	181	47	26	0	0	0	829	381	748	755	335	273	402	0	267	467	658	284	1458	
"France"	778	637	203	355	456	942	1103	1622	1387	2098	1716	1769	1734	1363	946	1412	1264	1497	860	1223	
"Japan"	2188	1167	917	1601	863	1749	492	714	2178	4214	1527	1752	1306	1364	1240	1295	1045	1248	379	1165	
"United Kingdom"	1469	1525	1486	1245	1880	1473	1355	862	1499	1875	1474	1418	1358	1521	1603	2182	1446	1097	873	1000	
"Russian Federation"	397	245	167	174	242	58	218	614	1174	678	1262	544	757	474	460	338	526	414	499	866	
"Italy"	620	541	496	232	505	414	248	579	934	819	527	425	244	363	114	245	432	611	544	712	
"Algeria"	0	0	7	0	0	463	20	0	0	0	0	193	17	29	21	0	137	704	0	361	
"Israel"	111	58	0	116	102	105	84	236	242	213	160	88	109	7	152	37	96	148	73	286	
"Spain"	185	254	156	230	86	236	121	225	185	458	496	298	317	181	177	190	71	163	138	263	
"Canada"	1079	475	639	479	310	401	317	589	541	831	370	418	426	449	502	525	452	297	370	206	
"Hong Kong, China"	103	129	31	37	29	38	15	18	46	80	76	128	240	96	37	79	123	144	21	167	
"Lebanon"	115	80	0	0	22	513	224	294	129	196	75	152	70	10	42	55	10	146	40	164	
"Saudi Arabia"	48	39	67	0	72	68	50	279	466	585	412	373	6	139	198	6	73	501	0	153	
"Switzerland"	42	0	63	20	0	5	25	131	149	171	126	149	181	163	147	80	90	64	55	132	
"Turkey"	265	92	61	14	23	42	46	150	169	306	691	1461	105	66	20	9	54	0	39	129	
"Nigeria"	197	193	214	249	14	217	256	98	371	256	287	385	557	665	380	1030	56	310	315	120	
"Uruguay"	32	24	0	0	25	38	40	2	5	50	2	0	100	101	0	0	4	39	0	119	
"United Arab Emirates"	94	41	244	50	269	234	48	90	195	229	353	159	278	240	307	149	167	279	70	114	
"Sweden"	113	45	102	56	157	143	179	196	229	205	57	215	69	75	74	73	121	169	190	108	
"New Zealand"	62	54	134	60	38	46	77	38	65	60	133	33	205	83	127	229	35	75	149	104	
"Indonesia"	4	79	146	36	2	103	75	174	217	85	115	20	15	29	35	312	372	302	239	101	
"Portugal"	22	39	22	22	37	96	61	54	141	89	106	0	59	37	95	94	11	83	86	76	
"Armenia"	0	0	0	0	0	0	20	19	107	57	87	0	0	0	35	35	2	0	0	72	
"Malaysia"	32	49	60	78	77	51	46	63	8	47	48	56	53	194	26	256	281	72	0	71	
"Yemen"	0	0	0	0	0	0	0	48	0	12	0	0	0	0	0	14	0	0	0	71	
"Estonia"	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	23	68	
"Finland"	0	14	23	37	0	38	22	105	85	126	0	6	0	0	0	19	26	29	45	67	
"Belgium"	192	160	141	184	181	123	107	125	260	247	206	87	133	161	305	150	138	44	60	66	
"Romania"	0	43	9	23	5	56	101	15	5	88	45	53	5	148	56	56	33	17	8	65	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	21	0	0	63	
"Oman"	0	0	0	0	0	0	0	0	0	0	1	0	0	13	4	19	0	0	0	52	
"Greece"	25	7	3	0	35	19	8	31	5	46	2	29	0	3	16	0	70	10	9	51	
"Croatia"	0	0	0	0	0	0	0	0	0	23	3	0	0	40	4	17	0	0	0	47	
"Slovenia"	0	14	0	0	18	19	22	0	7	22	41	17	0	58	0	17	0	42	56	44	
"India"	89	162	122	197	117	120	111	118	146	234	135	67	49	81	39	64	52	33	49	43	
"Denmark"	154	120	221	370	326	221	257	184	158	321	149	96	43	122	24	0	14	95	78	37	
"Myanmar"	0	45	0	4	63	172	1	43	32	3	82	18	0	0	1	54	107	23	0	37	
"Korea, Republic of"	32	0	2	24	24	21	52	75	68	149	47	110	108	157	59	92	36	68	70	37	
"Colombia"	0	62	5	12	2	0	0	58	73	2	21	68	18	26	29	59	81	13	0	35	
"Georgia"	0	0	1	14	0	0	36	46	18	0	0	36	1	0	3	0	0	5	36	33	
"Mexico"	54	4	12	4	1	4	0	6	35	0	9	8	25	0	6	11	41	0	8	33	
"Thailand"	1	33	9	0	6	16	0	0	24	21	0	16	35	0	0	37	22	17	4	31	
"Singapore"	53	53	31	24	128	1	6	28	34	8	19	132	35	30	155	96	44	64	28	30	
"Ireland"	139	77	37	38	11	47	47	21	39	17	16	36	29	35	29	16	29	15	58	30	
"Ecuador"	0	8	2	10	10	8	0	0	0	8	4	7	18	0	29	0	0	14	0	29	
"Kuwait"	8	0	0	4	26	36	83	6	0	28	42	64	0	23	23	33	25	60	20	27	
"Taipei, Chinese"	14	6	6	1	4	0	40	28	5	27	0	37	5	2	33	2	29	2	0	27	
"Hungary"	17	44	0	0	75	51	109	59	131	119	95	94	22	144	60	140	56	10	6	25	
"Djibouti"	0	0	0	0	0	0	0	0	5	0	0	3	0	49	8	0	0	0	0	23	
"Moldova, Republic of"	0	0	0	0	1	0	0	6	0	0	0	0	0	0	22	0	0	0	0	23	
"Mauritius"	4	0	1	0	0	6	0	1	6	0	0	0	5	0	17	0	1	12	0	23	
"Qatar"	8	0	0	7	0	0	6	0	0	8	4	3	8	0	0	8	0	26	9	23	
"Ukraine"	15	12	0	0	47	23	23	40	66	0	185	49	26	70	25	91	33	47	0	23	
"Chile"	164	202	23	263	294	112	37	4	1	159	236	116	182	80	26	465	154	282	37	22	
"Angola"	28	0	26	31	0	0	114	153	101	65	16	31	0	22	1	2	11	0	141	22	
"Jordan"	0	56	0	0	4	71	19	23	85	65	78	32	83	57	22	95	0	10	70	21	
"Mongolia"	4	9	0	0	0	0	0	0	3	0	0	0	0	1	0	0	6	2	0	20	
"Pakistan"	4	13	4	13	0	23	0	3	2	0	14	20	96	26	0	0	1428	1	10	20	
"Paraguay"	83	61	0	0	0	0	0	0	20	0	0	17	21	0	0	68	17	0	0	20	
"Mali"	0	0	0	14	0	0	0	0	0	0	0	38	0	0	0	0	0	0	20	19	
"Brazil"	0	0	0	0	43	0	0	7	0	0	5	7	0	0	0	0	2	6	0	19	
"Sri Lanka"	2	7	0	0	6	1	7	24	9	30	2	9	0	1	0	9	6	6	1	19	
"Honduras"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	
"Guatemala"	0	11	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	18	18	
"Malta"	0	0	0	0	34	0	0	0	14	0	6	1	30	0	0	0	0	5	0	18	
