Importers	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	
"World"	16987	16030	18184	17179	14799	12650	13836	14368	14849	9782	10795	12969	12900	17049	14913	15325	15280	16339	17267	18882	
"United Kingdom"	3908	3763	4273	4552	3820	3390	3932	4097	3503	3482	2445	2312	3031	3843	3112	3547	3931	4415	4775	4047	
"France"	2902	3351	2536	2656	2483	2037	2140	2623	2526	1690	2057	2788	2316	2445	2819	2206	1985	1950	1454	2510	
"Germany"	797	1173	2411	566	780	382	312	979	816	469	1022	240	750	880	1061	617	717	1927	1866	1608	
"Spain"	607	595	553	710	811	984	625	487	530	278	471	579	714	824	637	432	319	358	842	1223	
"Sweden"	404	961	533	475	815	567	926	783	432	211	212	618	561	751	507	852	779	539	1036	1163	
"United States of America"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	893	141	1714	1049	
"Denmark"	356	215	446	231	296	129	129	188	199	273	247	263	289	229	219	185	287	267	354	1020	
"Egypt"	5	6	12	98	47	95	120	117	527	319	51	52	21	184	252	410	616	1657	341	759	
"Italy"	1102	992	747	824	381	381	450	425	426	286	598	745	826	1054	667	574	316	414	374	601	
"Ukraine"	437	446	360	550	324	283	112	228	229	9	34	213	131	625	522	358	432	424	466	544	
"Israel"	464	462	1119	494	561	571	269	626	832	143	322	670	504	940	942	361	648	422	203	410	
"Poland"	282	225	118	321	316	269	359	125	199	162	340	168	162	118	145	298	289	194	302	368	
"Belgium"	233	307	687	326	142	163	280	282	327	211	264	321	325	499	468	264	345	165	212	361	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	12	211	43	239	
"Ireland"	58	51	70	63	78	96	129	112	62	121	47	68	11	89	43	55	34	89	85	196	
"Romania"	45	48	272	156	84	137	121	167	155	40	21	162	9	89	93	146	83	179	144	190	
"Czech Republic"	75	7	27	196	153	56	102	107	83	93	204	178	54	67	42	49	68	69	47	178	
"Portugal"	261	76	170	426	181	75	31	102	188	45	238	126	166	237	140	71	75	131	108	168	
"Slovenia"	0	27	10	17	155	203	23	72	12	17	17	9	8	36	63	87	45	158	56	167	
"Russian Federation"	38	297	129	143	109	95	362	175	125	13	103	132	78	190	320	472	128	244	160	144	
"Hungary"	109	72	114	103	120	49	132	97	116	32	51	95	93	94	18	46	78	35	29	136	
"Iraq"	701	383	369	464	514	248	359	274	496	162	149	86	169	390	117	183	157	116	100	134	
"Switzerland"	175	24	80	137	61	159	95	173	13	95	220	18	36	166	27	14	62	83	49	121	
"Austria"	457	98	114	298	208	75	106	124	108	117	65	212	293	262	145	1483	291	103	132	114	
"Bulgaria"	87	84	146	73	74	86	58	94	104	40	24	118	155	137	179	106	119	55	89	107	
"Serbia"	15	13	25	139	75	57	99	85	35	84	44	92	204	110	44	18	44	54	43	91	
"Lithuania"	65	76	36	127	47	21	64	43	114	60	13	78	21	4	5	22	75	38	120	90	
"Lebanon"	19	34	3	135	9	14	57	15	43	13	0	59	178	250	22	72	102	68	7	78	
"Netherlands"	112	21	135	74	128	49	93	46	130	97	107	86	118	168	135	123	115	5	13	78	
"Bosnia and Herzegovina"	274	22	24	19	45	45	25	57	17	5	0	0	10	4	14	42	16	10	40	70	
"Slovakia"	39	14	12	33	13	32	31	22	52	10	27	25	26	20	13	12	42	62	63	68	
"Croatia"	0	38	2	39	49	154	239	64	94	32	56	57	24	9	21	30	52	52	137	58	
"Cyprus"	67	27	87	34	17	10	15	81	40	15	11	26	38	81	51	7	19	45	28	58	
"Senegal"	38	3	45	43	33	20	109	13	13	24	43	71	36	0	112	89	205	62	139	52	
"Algeria"	142	160	56	4	0	0	0	118	0	37	50	20	0	17	0	0	0	76	156	46	
"Kazakhstan"	17	39	4	19	0	2	5	69	6	48	16	14	34	31	16	22	17	67	14	45	
"Saudi Arabia"	44	0	134	89	39	0	15	0	47	0	40	78	3	58	35	46	0	0	43	45	
"Jordan"	172	99	392	422	168	29	9	122	182	77	104	67	242	284	370	117	76	21	0	42	
"Macedonia, The Former Yugoslav Republic of"	31	22	50	28	40	42	54	32	39	14	35	1	59	10	24	25	32	61	27	41	
"Libya, State of"	0	0	0	3	0	0	0	1	195	3	20	87	174	170	313	173	164	243	30	39	
"Finland"	85	117	195	166	107	65	121	9	43	48	252	179	29	185	196	112	84	61	77	36	
"Australia"	16	16	8	44	34	18	1	10	19	16	24	143	1	55	82	27	6	127	67	33	
"Greece"	86	39	13	43	47	18	25	3	5	3	17	43	8	52	45	26	34	29	27	29	
"Norway"	25	46	94	166	117	38	172	159	65	0	124	39	80	42	84	27	55	135	222	28	
"Morocco"	0	24	128	0	61	33	3	19	6	0	19	87	56	18	0	29	76	0	1	24	
"Iran, Islamic Republic of"	1492	665	603	964	632	883	648	450	817	360	139	965	145	706	284	579	362	273	447	24	
"Azerbaijan"	178	170	92	97	83	132	90	32	91	73	16	72	236	68	79	47	74	21	134	24	
"Moldova, Republic of"	0	68	39	0	6	5	0	0	11	0	1	0	0	0	5	7	1	23	11	23	
"Estonia"	2	0	0	8	14	32	0	0	2	8	0	13	14	1	7	0	0	0	4	22	
"Belarus"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	21	
"Malta"	13	22	16	1	7	39	4	22	5	19	10	15	0	0	19	22	20	0	22	21	
"Kuwait"	73	187	63	32	16	0	136	28	21	38	108	143	40	39	59	170	19	0	47	21	
"Argentina"	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	19	
"Benin"	20	0	0	0	0	0	0	21	51	22	0	16	0	0	1	0	0	15	0	19	
"United Arab Emirates"	26	147	166	213	118	174	256	201	361	131	80	17	52	61	57	88	432	146	25	16	
"Turkmenistan"	100	48	89	67	29	29	41	15	28	8	7	32	71	83	46	84	35	37	6	16	
"Burkina Faso"	5	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	6	0	0	8	
"Cameroon"	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	
"Georgia"	239	135	201	88	40	12	38	5	162	161	14	32	102	75	26	47	23	42	65	6	
"Tunisia"	0	0	11	7	93	0	167	10	23	0	0	52	0	67	21	0	50	0	21	6	
"Uzbekistan"	0	0	0	0	0	1	0	24	0	0	7	0	3	43	6	3	11	6	2	5	
"Albania"	0	0	6	0	0	2	4	5	0	0	0	0	0	28	29	0	28	0	0	4	
"Kyrgyzstan"	16	0	0	0	0	4	3	0	2	3	0	53	0	0	0	0	4	0	1	2	
"Singapore"	0	0	0	0	3	4	0	6	0	0	0	0	2	0	0	0	4	0	0	2	
"New Caledonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	11	13	2	4	0	0	0	0	2	
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	
"Rwanda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
"Tajikistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	6	1	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Uruguay"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	
"Tanzania, United Republic of"	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	0	
"Free Zones"	3	7	0	1	9	0	0	0	0	3	0	0	0	1	1	1	2	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	
"Togo"	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	
"Syrian Arab Republic"	0	0	0	18	0	0	7	18	0	0	0	0	0	0	0	0	0	0	0	0	
"Sudan (before 2012)"	0	0	30	0	0	0	0	0	0	0	0	0	21	0	10	1	0	0	20	0	
"Sierra Leone"	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
"India"	0	0	25	29	22	0	0	0	0	0	33	0	0	24	0	0	12	24	0	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"South Africa"	0	33	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	4	2	0	
"Paraguay"	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Qatar"	0	0	15	0	1	18	29	7	0	35	0	0	18	0	18	44	37	21	2	0	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	2	3	0	0	
"Niger"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Nigeria"	3	15	27	0	0	53	0	4	20	0	0	5	0	26	6	0	17	64	16	0	
"Mozambique"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Oman"	17	0	0	0	28	0	0	0	0	0	0	36	25	0	0	6	0	29	6	0	
"Netherlands Antilles"	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	
"Côte d'Ivoire"	0	0	0	0	31	0	0	0	27	0	0	4	0	37	30	0	0	1	32	0	
"Japan"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Latvia"	0	0	9	12	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mauritania"	0	0	0	0	0	11	0	0	0	0	0	4	0	6	0	0	1	0	0	0	
"Mauritius"	0	0	0	0	0	6	0	0	0	0	0	0	21	0	0	0	46	0	0	0	
"Montenegro"	1	0	2	0	8	4	8	2	2	0	0	4	1	4	2	1	7	6	4	0	
"Luxembourg"	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	
"Maldives"	0	4	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
"Mali"	17	0	0	34	0	8	0	5	40	0	22	0	16	0	1	15	34	0	0	0	
"Kenya"	0	0	0	0	0	19	0	0	0	14	5	0	0	0	16	0	13	0	0	0	
"Korea, Republic of"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Guinea"	0	0	22	0	0	0	0	0	26	0	0	5	0	0	0	0	0	7	0	0	
"Guyana"	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	
"Ghana"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	18	5	4	0	
"Angola"	0	0	0	25	46	22	0	0	0	0	2	0	1	0	0	0	0	18	11	0	
"Afghanistan"	2	0	2	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	
"Brazil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	
"Bahrain"	0	0	12	0	25	0	0	0	0	0	56	0	18	0	50	0	27	19	21	0	
"Bangladesh"	0	0	0	37	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	52	6	0	0	0	37	0	0	0	0	0	0	0	
"Palestine, State of"	18	0	0	0	0	0	18	0	0	0	17	0	0	0	0	9	0	0	0	0	
"Gabon"	0	10	0	0	0	12	0	24	0	7	17	0	0	4	2	14	0	0	0	0	
"Faroe Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Equatorial Guinea"	0	0	0	0	0	0	0	0	1	0	44	0	0	0	1	0	0	0	0	0	
"Ethiopia"	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	2	0	0	
"Sri Lanka"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
"Chad"	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	0	
"Chile"	0	0	0	0	10	0	0	0	0	0	0	0	0	9	0	0	33	0	0	0	
"China"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	4	6	0	
"Congo"	13	0	0	0	17	0	0	0	0	0	0	0	0	0	0	5	0	2	9	0	
