Importers	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	
"World"	13322	17732	15711	21133	28645	34136	35287	26319	21616	17267	16564	13654	18193	19016	22794	26828	42267	37305	34790	31824	
"United Kingdom"	1667	1733	1393	1321	1831	2879	1878	3995	4421	4670	2760	1898	3315	1962	2900	2897	3529	3269	2932	3084	
"Russian Federation"	184	202	8	491	522	2580	1911	153	319	553	348	865	792	934	1481	1010	642	1091	2682	2379	
"Azerbaijan"	796	1375	937	664	1025	980	1931	2286	1090	802	565	344	289	310	694	527	1532	876	617	1799	
"France"	417	722	745	1132	901	943	1102	382	572	365	535	246	800	966	430	1059	1641	682	488	1367	
"Ecuador"	0	0	526	0	1090	401	360	192	0	213	0	0	0	791	0	0	547	1523	290	1343	
"Serbia"	74	53	68	631	449	661	985	163	369	47	15	164	3	261	645	207	2034	977	311	1336	
"Poland"	134	86	576	1533	866	1971	3241	1010	242	128	35	34	28	863	94	380	1860	2026	1902	1171	
"Romania"	331	857	226	776	2147	2935	2414	1435	436	96	14	360	252	67	91	1299	2458	2407	638	1164	
"Germany"	707	782	1024	775	1016	996	908	1028	914	843	945	625	1027	937	1138	964	1239	1452	1428	1011	
"Iraq"	840	816	655	716	1883	1323	926	1036	1043	751	879	740	1055	1262	1503	1195	2353	880	2205	920	
"Italy"	233	133	76	265	504	336	730	564	267	26	119	105	95	80	219	177	488	421	659	864	
"Georgia"	201	275	249	491	1437	1496	1489	1157	641	617	122	54	144	484	265	353	2315	1746	1222	839	
"Saudi Arabia"	256	9	747	890	424	542	831	433	222	504	109	613	271	89	280	1248	872	1275	1511	824	
"Israel"	288	255	222	394	526	268	410	395	447	284	328	136	763	450	488	330	735	395	473	822	
"Netherlands"	642	661	888	502	952	1267	959	341	589	981	1626	899	1136	578	934	568	719	1153	1320	814	
"Bulgaria"	773	591	568	1174	1044	275	306	352	514	261	272	476	252	308	155	340	1459	3241	914	754	
"Cyprus"	19	63	99	82	231	111	547	232	139	97	92	43	113	91	32	66	315	624	384	686	
"Hungary"	86	10	65	107	96	472	395	458	106	301	287	113	250	69	37	191	455	342	181	628	
"Czech Republic"	41	18	30	308	186	408	228	383	86	227	235	215	440	26	28	30	458	377	583	613	
"Turkmenistan"	66	164	601	10	378	724	436	766	837	0	515	131	1220	78	691	673	128	632	691	610	
"Uzbekistan"	131	350	752	145	13	139	153	201	182	107	82	469	129	472	488	109	422	64	100	568	
"Denmark"	146	703	259	343	502	645	242	325	417	409	399	237	397	577	436	553	486	447	305	554	
"Belgium"	274	126	113	160	481	355	263	438	152	218	411	392	117	223	152	450	333	793	589	492	
"Morocco"	94	1019	139	1605	348	628	695	27	123	213	133	0	33	960	1396	253	216	428	1751	484	
