Importers	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	
"World"	15696	17698	25314	23671	22217	21293	20322	20324	19169	13894	13064	10277	8590	16245	12015	15604	18899	19800	15926	19245	
"United Kingdom"	3498	2666	2974	3612	3973	5747	5511	5468	4048	3860	3381	1945	1240	4215	4060	3808	5951	6497	4371	6024	
"Iraq"	1958	2850	7313	5040	4644	2944	3323	2702	3810	1019	3157	2596	3253	3535	2025	4216	3848	2455	2438	1856	
"Morocco"	165	210	172	635	143	146	221	854	921	242	0	0	61	78	215	140	386	453	686	1496	
"France"	1136	2495	2686	2338	1568	2394	1477	1686	1581	1345	973	684	851	1181	1433	1531	1712	1944	1308	1312	
"Libya, State of"	615	804	2464	2315	2686	351	2960	753	470	667	434	1363	0	2554	0	772	1430	2047	963	1294	
"Spain"	1490	1865	1455	1674	1022	795	279	1274	955	858	1086	661	423	963	801	1004	661	783	681	704	
"United Arab Emirates"	89	66	280	154	50	54	164	360	67	162	106	0	164	140	0	0	88	384	768	696	
"Greece"	281	613	477	463	591	665	501	410	599	379	301	391	127	119	355	133	443	279	390	683	
"Romania"	416	172	338	763	693	886	894	724	973	1183	49	185	36	255	41	86	126	119	488	662	
"Iran, Islamic Republic of"	1537	704	693	1078	404	516	4	18	362	57	515	0	0	259	104	0	349	178	0	475	
"Portugal"	454	372	379	206	400	708	713	632	343	214	410	302	358	260	259	436	590	648	438	466	
"China"	56	0	23	20	0	23	210	99	0	48	22	24	40	18	0	168	0	157	86	371	
"Germany"	128	226	234	182	120	77	120	572	144	334	310	140	109	211	270	181	87	206	24	299	
"Israel"	189	941	477	198	337	605	293	723	994	337	539	257	273	114	0	258	311	378	318	269	
"Ireland"	365	184	233	185	263	281	259	437	393	123	195	252	257	84	172	138	295	250	251	254	
"Azerbaijan"	299	217	277	344	547	412	314	600	629	502	306	291	389	638	288	173	321	75	135	219	
"Denmark"	57	487	238	161	140	190	101	174	54	104	173	99	22	218	188	240	41	140	26	213	
"United States of America"	0	62	169	88	195	70	251	61	82	60	107	133	55	145	134	28	66	316	121	186	
"Cyprus"	114	76	163	71	136	122	53	104	249	246	47	43	61	100	357	287	255	126	203	165	
"Belgium"	202	237	255	284	327	193	180	139	169	133	194	69	205	91	132	171	169	236	344	160	
"Kyrgyzstan"	309	290	451	245	18	291	0	93	0	0	0	0	11	110	0	0	0	0	129	155	
"Georgia"	170	397	620	826	748	779	448	362	217	112	123	128	19	158	103	40	304	365	380	140	
"Lithuania"	136	74	193	317	91	45	59	58	295	139	184	137	46	9	23	0	70	24	71	112	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	90	
"Kazakhstan"	2	0	0	1	33	33	12	4	33	2	0	19	6	0	0	47	64	31	0	88	
"Italy"	67	77	129	97	121	135	118	86	117	104	0	26	64	21	55	46	40	128	32	87	
"Yemen"	0	100	20	210	54	65	291	143	23	44	0	0	40	0	182	55	0	354	68	70	
"Macedonia, The Former Yugoslav Republic of"	28	49	33	12	50	33	63	45	65	55	7	79	19	3	23	16	20	6	27	53	
"Bosnia and Herzegovina"	58	37	79	77	39	96	116	178	99	20	0	8	17	21	20	38	63	35	53	51	
"Turkmenistan"	329	16	372	310	538	577	110	2	0	10	6	42	8	49	0	24	42	10	11	49	
"Czech Republic"	24	2	54	21	17	54	0	21	24	3	0	26	0	28	15	20	63	44	20	45	
"Serbia"	17	3	10	8	4	4	30	0	30	0	0	0	6	2	15	4	3	6	0	44	
"Poland"	13	26	67	9	74	13	102	131	62	63	81	37	0	13	36	0	37	0	0	37	
"Hungary"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	35	89	36	36	
"Bulgaria"	136	100	131	245	400	263	256	87	187	283	8	8	13	32	68	125	225	205	183	35	
"Côte d'Ivoire"	0	0	0	44	0	0	15	19	0	13	0	0	0	56	0	0	0	0	41	35	
"Benin"	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	94	34	
"Slovenia"	0	5	0	12	9	17	0	5	47	58	0	15	0	37	20	6	110	27	51	34	
"Slovakia"	0	0	40	15	22	46	31	0	30	0	7	3	0	6	3	12	22	19	37	32	
"Ethiopia"	0	0	28	0	0	0	0	0	0	0	29	0	0	0	43	0	0	26	0	27	
"Austria"	22	57	86	60	206	71	23	56	66	51	0	27	57	91	40	115	15	17	18	25	
"Canada"	0	42	0	0	15	56	61	141	37	86	0	0	0	0	0	0	29	265	28	20	
"Afghanistan"	0	0	0	0	24	0	6	22	0	0	0	0	2	0	1	12	0	0	7	20	
"Albania"	0	0	53	13	0	20	6	3	29	21	3	3	0	0	0	36	47	57	115	19	
"Nigeria"	0	67	188	0	0	18	0	0	0	0	55	0	0	2	0	0	2	82	0	19	
"Estonia"	20	50	113	66	56	72	24	27	69	56	22	25	19	20	0	85	95	39	39	16	
"Uzbekistan"	51	72	45	39	22	62	40	0	46	45	0	1	2	74	4	17	25	35	15	14	
"Finland"	0	0	11	0	0	0	0	0	0	0	0	1	0	22	22	0	26	0	0	13	
"Lebanon"	0	34	0	163	198	330	157	323	117	107	54	11	70	19	142	188	114	23	206	13	
"Russian Federation"	520	408	470	287	485	182	279	514	308	119	12	37	0	96	5	139	0	0	22	11	
"Nepal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
"Qatar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	5	
"Ukraine"	479	0	22	39	130	36	77	84	305	0	0	0	0	0	42	0	0	0	3	3	
"Senegal"	0	0	21	17	30	0	26	0	28	0	39	0	32	0	23	12	0	0	20	2	
"India"	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	
"Tunisia"	2	0	0	6	106	0	0	0	0	116	0	87	0	49	0	0	0	0	0	1	
"South Africa"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sudan (before 2012)"	0	0	167	0	0	0	0	0	0	86	49	0	0	0	0	0	0	0	0	0	
"Sweden"	0	0	50	0	26	0	0	0	0	0	14	11	12	0	0	0	0	0	0	0	
"Switzerland"	1	0	0	0	0	8	23	18	11	0	0	12	0	0	0	1	4	0	0	0	
"Syrian Arab Republic"	0	33	85	56	115	117	0	0	13	0	0	0	0	0	4	73	115	0	0	0	
"Tajikistan"	0	0	28	0	0	10	10	0	0	0	0	0	2	0	6	0	1	0	0	0	
"Singapore"	9	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	8	0	5	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	0	65	37	0	0	0	0	0	
"Egypt"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	288	0	0	0	0	
"Free Zones"	5	0	46	8	0	0	0	6	2	0	0	42	0	0	0	6	10	13	2	0	
"Area Nes"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	1	0	0	5	0	0	0	0	1	1	0	0	6	19	2	0	0	24	12	0	
"New Zealand"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Liberia"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Saint Kitts and Nevis"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	34	0	0	0	0	27	0	0	0	0	1	2	32	0	0	0	
"Norway"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	
"Pakistan"	0	57	0	52	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	
"Peru"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Jordan"	0	148	37	173	170	96	26	0	0	0	0	0	0	0	148	38	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kuwait"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Malaysia"	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mali"	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	
"Malta"	24	0	6	10	8	10	11	21	10	16	11	5	4	0	0	18	0	0	35	0	
"Mauritania"	0	0	0	0	0	0	0	0	0	0	0	0	5	0	28	0	0	0	0	0	
"Mexico"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mongolia"	26	0	44	64	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
"Moldova, Republic of"	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	
"Montenegro"	0	20	0	8	0	23	0	5	18	0	0	4	0	0	4	16	0	7	20	0	
"Gabon"	0	0	0	10	0	0	0	0	0	0	27	0	0	0	52	0	0	0	0	0	
"Faroe Islands"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
"Ghana"	0	0	33	0	97	14	0	0	0	0	0	35	69	0	0	0	0	81	0	0	
"Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	0	
"Algeria"	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	1	40	0	0	0	
"Angola"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	0	
"Bermuda"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Argentina"	145	173	151	167	0	334	0	0	0	335	0	0	0	0	0	255	0	0	0	0	
"Australia"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Chad"	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	
"Belarus"	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
"Congo"	11	0	0	13	0	0	0	9	0	4	0	0	8	0	9	0	11	0	0	0	
"Croatia"	32	89	124	122	38	153	66	63	23	22	14	14	60	26	1	58	74	35	44	0	
