Importers	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	
"World"	13935	20803	24922	26209	28687	26961	19661	19363	14150	15523	16805	14726	14843	18097	28968	26260	28818	26272	23661	22649	
"United Kingdom"	1310	894	2320	545	2481	2800	1951	3215	2816	3662	2088	1508	988	1744	1449	2005	3223	3547	3165	3990	
"Iraq"	495	1396	559	1325	1383	2027	1316	1915	854	1117	691	1363	1782	1250	1963	2395	3212	2226	2143	1595	
"Germany"	490	1025	1579	1872	1841	1576	1147	1273	1108	1273	961	823	1014	1263	1824	1618	1631	1485	1058	1569	
"Netherlands"	681	814	773	678	921	935	732	1019	1365	1117	840	398	614	366	829	509	1214	949	586	1337	
"Azerbaijan"	82	196	200	194	342	257	117	370	193	95	660	173	39	564	594	773	510	802	643	892	
"Israel"	734	626	655	804	997	940	690	582	298	642	449	484	778	751	807	630	851	1115	679	874	
"Bangladesh"	768	0	99	0	20	151	43	15	326	307	355	703	88	0	0	27	0	0	127	852	
"Kazakhstan"	63	112	616	671	249	33	46	173	15	339	155	4	2	8	119	202	110	849	1278	818	
"France"	848	1650	1781	1203	769	614	235	485	347	339	361	340	428	805	901	604	360	415	603	682	
"Georgia"	63	713	467	1429	1173	1160	985	642	147	190	377	298	49	551	611	807	916	633	1006	619	
"Lebanon"	207	516	169	165	170	67	133	5	137	142	80	342	227	640	243	235	182	351	216	558	
"Saudi Arabia"	547	2111	508	1468	1149	1227	1086	1004	622	493	408	707	2157	1258	1800	1541	1167	870	791	529	
"Qatar"	92	25	176	80	345	81	160	24	27	31	351	115	58	28	139	164	115	144	130	478	
"United States of America"	297	355	416	496	602	564	441	233	486	678	462	369	154	422	1040	614	959	647	491	443	
"United Arab Emirates"	559	348	245	155	218	170	284	375	153	133	313	295	180	219	445	188	501	190	258	393	
"Bulgaria"	72	618	637	841	994	951	645	472	436	405	609	709	374	298	1433	436	553	494	270	388	
"Denmark"	119	163	251	651	477	434	128	172	111	267	621	250	29	127	192	372	485	199	457	382	
"Uzbekistan"	189	285	520	312	438	414	468	374	306	128	53	35	344	216	267	479	249	264	504	380	
"Romania"	78	684	1807	976	662	798	760	448	112	194	290	349	279	168	1028	1061	1702	1129	260	363	
"Czech Republic"	185	304	207	319	649	259	284	567	240	106	77	149	78	172	190	405	196	461	322	291	
"Belgium"	236	106	447	285	738	543	234	525	298	215	114	402	57	121	81	100	235	223	359	289	
"Tajikistan"	0	4	1	45	1	94	6	0	0	3	2	2	0	106	31	181	31	93	31	267	
"Poland"	387	77	1879	1975	1438	535	666	147	19	8	50	211	352	310	1090	880	1256	940	882	261	
"Ukraine"	5	241	123	519	1056	1014	430	289	132	103	158	61	134	292	2691	233	560	192	132	259	
"Kuwait"	129	103	107	64	7	74	35	215	25	42	39	114	59	31	46	34	77	78	120	211	
"Italy"	503	950	897	1593	1316	1219	761	203	458	237	332	386	438	480	1136	1303	1602	1444	1257	210	
"Iran, Islamic Republic of"	134	271	87	92	257	103	147	202	149	205	132	443	254	404	90	187	118	109	153	203	
"Hungary"	130	346	94	376	318	103	540	695	40	141	258	80	156	190	591	841	509	132	305	201	
"Spain"	195	81	267	99	185	639	330	406	215	46	251	205	166	189	47	213	195	459	410	201	
"Serbia"	314	510	612	512	556	470	235	77	81	19	127	126	2	441	779	720	796	488	392	195	
"Paraguay"	184	113	16	0	0	112	129	0	49	5	0	0	0	221	0	0	0	173	12	189	
"Turkmenistan"	216	492	11	177	944	550	413	360	193	119	40	135	75	525	87	66	291	130	239	183	
"Australia"	0	57	35	126	83	97	110	52	43	29	71	49	138	43	8	66	0	97	94	151	
"Greece"	17	98	429	119	232	102	151	97	64	70	63	45	37	579	447	315	253	190	165	134	
"Morocco"	748	96	535	655	333	381	288	275	0	111	100	237	653	104	1088	336	452	817	903	125	
"Korea, Republic of"	83	0	39	0	1	115	142	0	55	0	0	90	127	107	18	45	2	52	73	118	
"Peru"	0	0	0	1	0	0	0	6	0	0	0	0	28	0	9	0	0	0	23	117	
"Tunisia"	148	35	89	19	9	129	33	28	16	127	108	91	239	26	336	156	247	90	26	110	
"Cyprus"	74	226	141	162	225	231	19	35	19	86	97	38	32	23	75	93	162	208	34	108	
"Bosnia and Herzegovina"	0	44	219	267	194	167	12	41	57	27	18	24	80	0	215	492	297	272	217	106	
"Ethiopia"	0	429	204	478	166	407	46	0	0	25	0	0	28	9	0	1	0	52	116	96	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	23	0	158	89	
"Egypt"	2	41	18	44	136	213	63	74	70	424	925	325	50	128	188	141	17	24	52	88	
"Mauritius"	2	0	3	0	17	24	0	18	2	0	40	12	26	0	0	0	0	14	17	86	
"India"	57	0	190	0	59	56	9	28	127	182	465	264	139	131	34	202	41	0	66	77	
"Switzerland"	33	15	108	107	202	132	8	176	74	68	126	48	16	35	241	69	57	226	96	71	
"Kyrgyzstan"	26	228	7	35	55	0	5	0	0	0	112	251	112	199	151	2	0	168	219	66	
"Canada"	4	6	53	0	13	3	20	23	0	37	55	48	14	5	238	18	59	12	33	65	
"Austria"	22	76	85	41	50	26	0	28	29	3	25	33	34	8	42	45	23	17	4	64	
"Mali"	0	0	8	0	0	0	0	0	1	0	0	3	2	27	0	23	0	3	8	62	
"Albania"	70	0	139	183	122	194	205	56	8	48	57	19	20	197	221	221	141	266	41	59	
"Ghana"	8	510	89	38	8	7	8	0	19	26	61	5	4	0	0	0	0	0	26	57	
"Norway"	388	233	479	249	301	174	239	24	74	80	188	47	11	0	35	84	46	3	15	46	
"Niger"	0	1	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	40	
"Sweden"	193	158	391	226	270	88	188	41	144	71	540	188	49	108	163	161	59	19	90	40	
"Chile"	45	72	0	0	84	0	0	0	30	8	0	21	63	32	23	35	0	0	43	40	
"Croatia"	1	187	242	264	320	135	12	18	11	1	1	4	34	200	179	300	451	294	521	36	
"Gabon"	0	0	0	0	24	0	0	0	17	0	13	57	0	0	0	0	32	0	0	36	
"Ireland"	0	30	0	2	44	29	87	36	53	21	117	44	114	0	86	55	26	52	121	36	
"Japan"	34	22	39	45	27	36	3	35	30	43	42	16	30	59	26	21	25	32	16	35	
"Sri Lanka"	17	123	8	17	0	0	22	0	0	30	70	27	14	0	4	0	27	0	33	35	
"Macedonia, The Former Yugoslav Republic of"	9	14	68	55	273	151	42	0	5	18	28	38	21	34	255	163	136	208	62	35	
