Importers	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	
"World"	19831	17755	17489	19780	17954	15346	16501	12900	13969	15423	15917	13879	19674	14244	15106	15704	17703	14212	15337	9857	
"United Kingdom"	3377	3367	4466	5156	4158	4079	3654	2930	2659	2413	2688	2021	3748	1684	2603	3962	3267	2710	2743	2027	
"Sweden"	682	818	1130	979	1479	1364	784	479	518	401	920	709	692	970	891	605	1059	749	1547	864	
"France"	2082	2023	1712	1764	2022	2029	2017	1287	1341	1548	1891	1966	2833	2047	2293	1912	2725	2119	1155	718	
"Germany"	1542	2172	1828	1897	1788	1225	1460	1079	1836	1268	1295	1260	1250	1633	1411	1404	1629	1351	1209	717	
"United States of America"	1978	1665	1343	2517	1101	748	1468	815	1803	2389	1671	1143	1905	1537	1104	1287	1844	1247	1927	649	
"Spain"	602	661	413	733	601	642	626	791	305	637	705	534	504	335	366	579	332	449	436	475	
"Iran, Islamic Republic of"	475	159	236	307	131	315	43	376	106	393	152	53	171	89	153	23	54	405	291	365	
"Italy"	972	644	306	746	590	409	562	442	494	542	484	372	566	337	304	480	671	411	404	320	
"Egypt"	1914	1172	1467	1246	987	270	846	817	1131	1058	1270	1121	2224	1074	1085	910	470	311	879	318	
"United Arab Emirates"	325	401	406	362	391	116	315	155	151	149	210	129	279	183	211	107	304	358	213	275	
"Israel"	1090	523	367	419	490	780	809	432	638	646	623	802	863	540	954	980	621	834	968	211	
"Denmark"	199	194	161	113	135	197	239	106	117	204	96	231	163	221	109	153	142	172	213	197	
"Iraq"	188	188	246	216	286	184	284	203	274	135	140	343	391	306	278	345	590	129	275	174	
"Kuwait"	182	258	31	3	144	18	88	326	145	46	137	60	189	100	56	8	31	61	78	159	
"Netherlands"	67	55	50	76	55	39	60	112	147	58	58	65	70	55	67	54	37	82	63	141	
"Portugal"	173	170	170	179	132	140	141	122	64	123	143	134	151	106	109	108	151	70	107	139	
"Free Zones"	1	28	4	137	39	112	1	0	25	0	9	7	33	53	53	136	176	74	249	128	
"Belgium"	405	300	172	211	86	144	475	85	207	372	213	182	243	178	124	125	151	103	400	117	
"Switzerland"	64	29	27	32	14	11	2	84	50	92	19	41	60	100	54	25	76	42	30	113	
"Slovenia"	39	119	169	102	284	125	63	83	66	94	50	39	73	85	143	143	212	192	62	112	
"Poland"	90	244	207	199	112	194	156	259	185	69	216	115	240	185	172	133	386	221	165	112	
"Romania"	161	126	118	196	187	221	156	81	46	61	20	107	83	148	122	136	167	126	194	111	
"Austria"	281	190	356	258	225	81	235	239	181	242	255	290	231	113	251	121	273	108	101	86	
"New Zealand"	0	10	0	10	19	8	2	9	2	8	3	38	0	0	0	0	49	5	8	84	
"Czech Republic"	39	49	83	103	124	281	72	66	51	96	109	86	20	6	34	30	156	66	54	80	
"Algeria"	158	125	26	0	81	2	0	55	67	136	82	146	16	45	43	6	106	17	18	72	
"Jordan"	143	214	111	145	37	50	74	358	16	76	767	119	567	344	106	137	26	92	0	70	
"Qatar"	29	31	13	0	102	0	13	0	21	37	13	64	0	24	10	0	1	3	0	70	
"Paraguay"	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	29	0	69	
"Croatia"	112	77	91	87	117	57	41	41	22	46	0	20	15	82	25	102	84	59	63	63	
"Morocco"	63	38	24	28	31	64	19	0	26	9	174	192	36	99	59	20	32	71	37	62	
"Bulgaria"	155	150	54	117	92	76	76	44	77	27	21	45	55	157	68	69	52	123	54	59	
"Ireland"	71	88	63	136	148	62	44	30	77	82	20	32	175	25	83	74	70	53	120	59	
"Mali"	34	44	0	0	0	46	42	20	0	75	16	17	36	0	21	0	17	20	0	54	
"Australia"	8	4	19	28	46	22	81	34	0	43	105	90	42	13	33	14	119	56	81	54	
"Kazakhstan"	24	5	36	7	8	56	5	72	4	13	86	20	27	5	4	101	58	12	13	50	
