Importers	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	
"World"	6445	7781	7239	10308	9145	10558	7312	9718	9112	7018	6207	4421	4643	7696	8768	9520	9627	15909	13050	12623	
"United Kingdom"	1544	1954	1606	3101	1935	3081	2251	2568	3741	3293	2712	1289	1162	3208	2577	2887	2862	4320	3860	5030	
"France"	628	1044	1180	1430	1879	1291	1236	1036	584	605	608	441	729	1100	2063	1810	2178	3753	1707	2117	
"Spain"	347	459	284	386	335	336	89	428	502	396	189	220	284	409	342	614	346	821	592	628	
"Italy"	367	132	215	535	266	295	262	346	242	204	221	297	162	451	786	694	613	719	176	467	
"Sweden"	71	105	171	19	283	160	87	130	107	111	86	155	357	65	251	259	97	101	228	457	
"Iran, Islamic Republic of"	8	153	146	442	32	183	26	638	1051	96	616	0	101	535	55	91	249	1446	449	388	
"Slovenia"	31	11	14	7	3	88	9	139	38	58	13	48	4	12	9	0	57	56	131	346	
"Egypt"	3	0	0	41	0	9	0	0	1	20	0	0	0	0	0	547	0	0	0	336	
"Denmark"	66	208	375	402	498	226	140	199	201	222	215	382	195	168	367	209	67	112	260	283	
"Israel"	461	832	385	175	202	470	539	472	481	290	352	139	170	300	353	301	372	674	466	280	
"Austria"	35	188	155	229	247	103	181	225	49	110	6	146	115	207	141	135	216	122	236	184	
"Libya, State of"	0	26	0	63	13	0	35	147	0	0	23	0	1	0	32	66	10	34	2	169	
"Portugal"	75	222	105	35	83	74	65	183	80	60	60	102	117	99	32	85	130	99	144	167	
"United Arab Emirates"	14	0	146	89	64	16	104	289	69	63	46	89	95	2	31	19	99	267	286	159	
"Germany"	278	286	230	1303	1113	1846	655	162	128	54	66	139	64	234	241	192	38	1406	2541	158	
"Belgium"	259	222	274	211	262	257	151	216	50	173	116	122	72	67	214	66	129	114	245	154	
"Poland"	124	45	55	66	7	80	58	22	66	39	12	21	45	18	33	29	66	84	98	137	
"Jordan"	0	3	11	116	33	189	151	197	0	14	19	7	82	0	189	61	160	204	138	115	
"Ukraine"	1022	284	78	50	1	7	30	155	114	0	2	0	9	2	1	3	0	85	70	96	
"Argentina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	182	93	
"Turkmenistan"	12	0	3	27	32	2	41	13	19	7	0	6	59	12	26	34	75	4	64	69	
"Ireland"	7	41	58	9	11	61	30	56	133	0	84	33	48	38	5	121	75	81	102	62	
"Hungary"	92	107	127	38	74	119	109	132	134	15	0	125	67	51	50	81	33	95	56	57	
"Lithuania"	0	31	140	125	41	1	44	20	72	127	3	28	15	12	0	0	145	79	9	54	
"Romania"	69	37	58	16	92	18	91	96	90	41	8	11	20	1	2	11	34	33	50	50	
"Macedonia, The Former Yugoslav Republic of"	5	2	2	25	26	42	17	33	23	43	0	27	1	13	38	80	1	12	50	49	
"Iraq"	217	123	142	144	98	13	35	665	285	13	16	84	261	250	402	178	125	86	66	48	
"Cyprus"	53	53	64	51	112	37	26	125	17	8	23	8	4	40	5	8	14	36	14	44	
"Croatia"	8	41	34	27	64	57	43	90	66	190	75	61	0	0	54	36	0	35	22	42	
"Greece"	7	19	96	93	28	104	11	49	15	60	63	75	27	69	58	73	87	39	92	35	
"Benin"	27	0	0	0	0	0	0	12	0	0	0	0	0	0	0	25	0	0	0	34	
"Netherlands"	75	109	56	44	163	103	15	40	34	19	80	79	34	30	38	7	0	30	38	34	
"Lebanon"	0	25	0	56	17	44	74	52	68	20	37	29	14	2	49	27	69	23	37	26	
"Australia"	0	1	17	11	16	20	0	48	20	5	0	13	0	0	10	10	20	19	23	24	
"Tunisia"	0	27	0	1	0	28	73	0	0	66	0	0	0	0	0	0	0	24	0	24	
"Azerbaijan"	11	4	63	131	113	78	23	121	93	121	45	41	16	21	48	104	230	91	13	23	
"Côte d'Ivoire"	0	8	0	24	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14	23	
"Malta"	5	10	17	0	6	0	11	0	0	0	7	0	0	5	0	13	0	0	27	21	
"Georgia"	66	73	24	57	50	41	37	29	33	22	45	5	33	1	26	16	13	95	38	18	
"South Africa"	0	0	0	18	0	18	17	0	0	0	0	0	0	15	0	0	0	16	0	17	
"Finland"	29	70	13	19	31	8	0	0	28	0	0	0	0	0	0	42	15	7	0	16	
"Estonia"	0	40	0	7	14	0	0	33	10	23	0	0	0	0	0	20	0	8	2	16	
"Syrian Arab Republic"	0	0	15	1	0	24	0	0	0	0	0	0	29	14	38	0	93	27	0	15	
"Bosnia and Herzegovina"	61	30	42	43	14	43	16	32	25	0	16	39	4	19	0	11	8	11	15	13	
"Bulgaria"	109	132	125	226	327	231	77	50	62	30	1	18	40	1	76	243	340	159	133	12	
"Oman"	16	0	0	0	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	7	
"Serbia"	0	33	22	37	4	83	9	13	26	24	0	7	2	2	0	3	19	11	28	7	
"Free Zones"	4	19	0	63	26	3	0	1	5	2	2	2	1	2	22	143	153	55	22	5	
"Latvia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	
"Czech Republic"	33	10	20	70	5	43	30	19	45	60	11	28	25	8	0	0	7	4	2	4	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	
"Morocco"	19	4	0	5	0	9	0	20	12	0	0	0	0	5	5	0	3	6	7	2	
"Mali"	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10	0	1	
"Uzbekistan"	0	0	0	7	5	0	3	0	8	0	0	0	30	1	0	0	3	7	13	1	
"United States of America"	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Uganda"	0	0	0	0	7	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	6	0	21	0	9	0	0	0	5	0	0	4	0	0	0	0	0	0	
"Seychelles"	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	
"Singapore"	2	0	0	0	0	2	0	0	0	2	0	0	4	0	1	0	0	0	3	0	
"Slovakia"	8	6	2	1	26	3	16	0	12	18	10	2	0	4	0	0	0	1	0	0	
"Sudan (before 2012)"	0	0	23	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	
"Tajikistan"	0	53	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	
"Thailand"	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	7	0	0	0	
"Togo"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
"Switzerland"	39	55	27	65	36	99	6	83	95	0	47	69	0	33	0	70	137	137	94	0	
"Mozambique"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mauritania"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
"Mongolia"	5	0	4	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
"Moldova, Republic of"	14	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	
"Montenegro"	0	8	0	0	0	10	1	5	0	0	0	0	0	0	0	3	31	2	2	0	
"Nigeria"	0	0	58	0	0	0	0	0	0	0	41	0	0	0	2	0	0	35	0	0	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	
"Qatar"	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	
"Russian Federation"	54	361	352	119	180	301	199	238	102	87	20	18	29	105	0	0	89	119	53	0	
"Saudi Arabia"	0	0	0	0	34	0	5	5	0	0	16	0	0	0	0	0	0	0	59	0	
"Senegal"	0	0	44	0	61	0	3	0	24	23	99	0	49	11	35	25	0	0	1	0	
"Kazakhstan"	7	4	37	4	7	9	12	12	32	17	2	0	24	11	9	11	13	23	4	0	
"Luxembourg"	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Madagascar"	40	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Maldives"	3	0	4	2	58	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	24	0	11	0	0	
