Importers	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	
"World"	9857	14469	17017	15910	17081	19925	13105	20842	16398	19154	17686	15721	11513	13721	18059	17042	19688	17430	17029	21390	
"United Kingdom"	2027	2656	2053	2115	2665	2554	1619	3523	2441	3286	2453	2155	2027	2036	1702	2134	1942	1948	2030	3826	
"Germany"	717	1039	1785	1602	1712	1852	1801	2233	2176	1868	2115	1755	1382	1759	1918	1455	2240	1545	1945	2187	
"United States of America"	649	1950	2248	2609	1323	1797	480	2470	1227	2102	2414	1832	1507	1711	1932	1867	2345	2277	778	1827	
"Italy"	320	532	481	820	719	765	583	653	611	940	667	674	669	1019	1358	935	1505	779	1578	1773	
"France"	718	1513	2267	1441	2373	2626	1576	2482	1666	1590	1489	1243	969	1193	1404	1628	1827	1858	1780	1527	
"Israel"	211	963	744	486	1157	1170	569	1535	1210	868	497	989	192	526	1476	679	1473	898	641	1345	
"Sweden"	864	844	1056	854	1307	1293	824	1176	1276	1551	1363	1553	631	536	856	867	1153	858	683	1074	
"Spain"	475	537	687	619	736	468	300	811	405	682	329	235	457	530	586	705	432	367	601	803	
"Georgia"	1	2	149	46	109	189	35	16	22	52	14	17	13	5	86	76	39	424	646	627	
"United Arab Emirates"	275	272	364	522	256	344	128	286	649	557	557	237	51	184	468	225	461	297	237	593	
"Egypt"	318	298	40	124	50	821	41	46	52	440	812	500	376	136	521	180	0	36	0	500	
"Denmark"	197	126	126	320	276	322	302	286	285	439	541	352	128	262	172	253	255	283	331	497	
"Netherlands"	141	67	159	257	101	208	153	475	94	289	208	233	245	158	187	103	34	133	202	368	
"Iraq"	174	516	580	704	583	524	546	278	728	227	359	370	337	674	918	1023	565	726	584	326	
"Switzerland"	113	28	68	26	14	23	272	201	91	202	203	188	156	174	214	137	395	93	168	297	
"Iran, Islamic Republic of"	365	205	165	106	501	272	497	387	202	402	241	182	744	360	238	210	110	351	364	296	
"Belgium"	117	291	321	276	129	411	92	350	298	196	280	304	189	205	165	287	271	281	381	271	
"Portugal"	139	103	87	166	78	239	139	220	154	158	106	141	42	165	140	165	108	143	134	234	
"Ukraine"	25	37	89	118	260	659	371	127	167	260	116	134	41	89	74	244	496	480	359	205	
"Slovenia"	112	57	27	30	40	103	124	179	132	142	112	149	65	58	116	44	86	26	101	184	
"Senegal"	23	33	58	97	17	395	180	92	178	0	15	34	0	36	101	94	236	119	51	173	
"Austria"	86	157	243	223	263	158	247	429	178	389	184	210	94	180	313	261	544	254	304	149	
"Morocco"	62	20	29	69	54	92	87	81	64	2	37	16	50	54	103	174	95	111	119	139	
"Algeria"	72	2	92	17	19	0	0	17	3	36	73	0	45	15	38	2	9	2	32	133	
"Canada"	0	409	316	68	199	21	0	289	156	203	158	391	27	202	507	97	0	0	748	115	
"Poland"	112	182	249	52	78	170	254	295	401	318	211	167	95	251	76	120	242	173	121	109	
"Argentina"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	52	0	0	105	
"Bulgaria"	59	25	44	66	75	92	46	53	63	102	67	49	30	7	12	59	22	71	12	98	
"Ireland"	59	151	66	60	153	128	124	63	64	76	99	103	41	10	123	163	141	81	117	98	
"Slovakia"	36	47	66	23	56	16	19	173	92	72	155	87	115	29	49	30	25	42	103	92	
"Jordan"	70	256	604	804	368	643	615	177	89	20	41	40	17	233	542	930	766	209	36	81	
"Pakistan"	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	88	80	
