Importers	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	
"World"	19245	16490	21395	17621	10650	13327	18526	16754	15000	20464	17712	20123	22976	42254	32516	43759	28733	34397	38088	48981	
"Germany"	299	127	86	190	324	262	116	208	219	183	100	95	386	9155	3646	7805	7241	6104	8519	9419	
"United Kingdom"	6024	4764	5872	5365	4151	4619	2964	3755	2788	3647	4301	6466	3939	6680	6980	8866	3666	4200	4676	6860	
"France"	1312	1899	1840	1910	1218	1219	1458	2035	1150	1718	1289	1379	1765	2425	3077	4012	2571	2659	2767	4080	
"United States of America"	186	70	142	57	34	238	119	172	150	276	73	473	69	2214	1725	2624	2877	3900	1707	3957	
"Sweden"	0	0	0	0	0	0	0	0	0	123	445	334	243	1762	1902	1279	876	836	1968	2734	
"Italy"	87	105	29	36	77	135	322	311	303	534	306	206	369	1654	1209	1774	439	1460	1839	2014	
"Iraq"	1856	865	4185	2050	1166	1897	5350	2295	2514	1490	2642	2174	3085	3111	1874	3240	1448	2481	2922	1637	
"Algeria"	0	0	0	0	10	0	0	0	0	0	0	20	0	0	0	637	37	4	45	1607	
"Netherlands"	0	0	0	0	45	13	0	4	4	89	50	13	123	840	558	822	557	495	680	1415	
"Poland"	37	60	10	73	55	40	78	39	51	73	92	177	191	1265	320	628	455	1108	973	1333	
"Canada"	20	0	0	112	0	36	81	0	0	0	0	29	74	533	218	392	344	688	202	1162	
"Israel"	269	497	565	479	135	460	483	667	506	747	205	592	383	531	1293	1312	848	1302	1245	1084	
"Iran, Islamic Republic of"	475	2	315	292	617	693	894	229	1033	801	1373	967	1838	427	755	1814	1131	2015	1189	1025	
"Spain"	704	443	614	941	602	344	742	629	370	218	99	267	390	1185	781	1209	914	885	906	1024	
"Denmark"	213	62	189	427	97	183	112	107	192	283	234	207	270	678	666	609	77	131	647	959	
"Azerbaijan"	219	251	253	350	51	70	382	424	295	317	496	433	341	508	1068	272	501	507	830	806	
"Georgia"	140	269	219	368	277	175	312	280	370	711	663	436	233	233	281	394	384	294	236	657	
"Argentina"	0	529	714	178	0	0	0	0	0	1	453	448	473	278	0	99	101	0	552	560	
"Jordan"	0	0	0	0	64	118	117	107	111	276	315	96	68	118	119	32	117	160	198	501	
"Hong Kong, China"	0	3	0	0	0	0	38	0	0	0	0	0	0	16	90	68	2	0	5	495	
"Albania"	19	20	29	14	11	12	1	80	66	130	206	15	154	17	45	0	94	0	83	464	
"Kyrgyzstan"	155	106	102	0	0	0	211	181	0	122	206	84	150	201	79	106	207	179	167	455	
"Hungary"	36	18	37	55	34	0	17	0	45	90	0	0	0	112	118	108	200	90	158	405	
"Greece"	683	450	341	217	186	213	140	159	251	267	194	313	260	768	811	352	562	330	275	399	
"Portugal"	466	256	494	375	269	314	655	495	143	636	468	445	326	414	188	460	358	282	392	356	
"Australia"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	250	481	220	39	335	
"Turkmenistan"	49	68	65	17	43	203	415	78	149	42	119	348	238	115	139	506	237	183	271	325	
"Lebanon"	13	144	0	187	0	461	514	348	88	6	507	32	350	146	39	43	15	204	237	250	
"Austria"	25	93	222	117	46	61	40	263	130	31	74	74	133	129	64	80	77	22	88	241	
"Finland"	13	17	0	8	0	0	15	1	23	106	360	108	349	326	270	403	231	740	179	226	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	302	40	201	
"United Arab Emirates"	696	240	1718	359	0	187	5	167	199	57	36	0	356	142	886	254	9	274	479	174	
"Ireland"	254	341	331	226	155	115	111	79	57	265	151	234	277	214	282	208	63	107	76	172	
"China"	371	119	185	171	97	112	0	161	103	95	195	170	93	643	95	391	7	440	475	159	
"Morocco"	1496	378	338	22	236	0	56	106	191	271	191	22	1554	1766	61	156	181	21	337	149	
"Romania"	662	264	66	20	0	159	135	172	251	402	149	854	370	711	433	160	45	19	230	117	
"Malta"	0	0	9	0	0	0	5	10	0	5	0	36	31	18	71	27	0	11	0	111	
"Switzerland"	0	0	46	0	0	0	0	0	46	19	64	24	24	51	56	57	101	29	56	91	
"Croatia"	0	18	51	11	95	7	64	47	50	100	27	22	78	71	62	106	54	73	80	73	
"Bosnia and Herzegovina"	51	36	30	35	26	30	39	41	45	32	61	29	83	32	74	43	57	12	43	71	
"Bulgaria"	35	63	125	144	0	22	86	137	168	163	73	129	159	154	88	115	106	54	58	66	
"Cyprus"	165	598	199	338	141	146	169	123	179	199	69	66	285	727	242	251	109	87	119	65	
"Belgium"	160	329	299	263	33	10	82	87	148	306	144	137	274	222	207	393	96	80	34	64	
"Kazakhstan"	88	19	37	14	25	6	35	5	1	70	10	21	0	263	213	181	180	198	87	64	
"Lithuania"	112	89	132	78	3	34	22	63	94	187	88	114	80	83	179	38	15	19	19	59	
"Czech Republic"	45	24	55	12	12	33	15	40	94	65	62	77	105	130	108	113	183	163	170	55	
"Angola"	0	9	0	77	0	18	0	17	100	65	9	0	0	32	0	35	32	49	45	48	
"Slovenia"	34	76	14	2	0	54	4	19	0	19	72	54	43	51	83	54	69	23	86	48	
"Macedonia, The Former Yugoslav Republic of"	53	48	34	46	36	17	18	14	12	31	43	34	46	58	70	34	33	0	30	38	
"Uzbekistan"	14	7	0	16	22	20	17	2	25	34	0	69	112	149	118	157	70	59	95	36	
"Benin"	34	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	16	29	
"Qatar"	5	0	0	0	0	0	1	18	3	0	1	30	0	35	0	0	0	70	11	28	
"Estonia"	16	0	38	0	0	8	0	32	11	18	15	13	12	17	14	0	0	9	6	27	
"Afghanistan"	20	0	15	19	0	0	0	5	6	0	7	1	0	0	0	0	10	2	27	26	
"Slovakia"	32	0	30	6	9	25	7	42	16	41	81	15	98	20	38	10	9	20	24	25	
"India"	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	24	
"Thailand"	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	24	0	0	15	23	
"Egypt"	0	0	235	342	0	361	0	153	57	224	418	2	10	231	25	45	0	0	0	19	
"Singapore"	0	0	2	166	3	0	12	9	12	17	0	0	12	19	3	9	14	2	64	18	
"Russian Federation"	11	0	4	0	54	21	38	25	0	0	8	11	139	0	55	0	41	86	37	13	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
"Kenya"	0	0	0	0	0	0	4	13	0	7	8	0	0	0	17	0	0	0	0	13	
"Guyana"	0	0	0	0	17	0	0	0	0	0	0	0	0	16	0	0	17	0	0	13	
"Equatorial Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
"Serbia"	44	46	8	4	3	20	8	3	39	73	26	19	42	16	16	18	26	11	8	11	
"Free Zones"	0	0	5	0	0	9	14	9	0	0	0	3	0	6	0	0	2	1	18	9	
"Senegal"	2	49	26	0	98	0	54	70	39	0	62	118	14	0	61	28	0	8	13	9	
"Malaysia"	0	0	5	1	0	0	5	0	0	8	0	0	0	0	0	0	48	0	0	8	
"Moldova, Republic of"	0	0	0	0	0	0	0	2	0	166	0	6	0	20	0	7	0	0	0	6	
"Mongolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	
"Congo"	0	8	0	0	0	9	0	0	0	0	0	12	0	0	7	0	16	0	0	3	
"Sudan (before 2012)"	0	73	0	92	0	0	47	11	0	0	31	27	0	0	55	52	0	0	1	2	
"South Africa"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	4	0	
"Syrian Arab Republic"	0	33	10	34	0	27	440	687	9	163	160	104	128	0	0	3	6	57	0	0	
"Tajikistan"	0	1	0	0	6	0	0	0	0	0	0	0	0	0	8	6	0	10	14	0	
"Saudi Arabia"	0	0	58	2	0	0	0	0	0	0	17	0	0	0	0	0	18	0	18	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	
"Uruguay"	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	70	134	283	0	0	65	326	0	285	100	13	454	68	44	120	110	0	50	180	0	
"Tunisia"	1	0	0	0	0	0	0	0	0	52	0	0	0	0	266	190	0	0	737	0	
"Ukraine"	3	1	16	6	1	6	6	0	21	11	78	86	101	218	5	28	0	0	53	0	
"Ethiopia"	27	31	18	41	30	0	0	0	92	0	0	0	63	0	0	0	0	73	0	0	
"Djibouti"	90	0	0	46	8	0	16	0	0	57	0	0	0	0	0	0	0	37	0	0	
