Importers	Exported value in 2006-M07	Exported value in 2006-M08	Exported value in 2006-M09	Exported value in 2006-M10	Exported value in 2006-M11	Exported value in 2006-M12	Exported value in 2007-M01	Exported value in 2007-M02	Exported value in 2007-M03	Exported value in 2007-M04	Exported value in 2007-M05	Exported value in 2007-M06	Exported value in 2007-M07	Exported value in 2007-M08	Exported value in 2007-M09	Exported value in 2007-M10	Exported value in 2007-M11	Exported value in 2007-M12	Exported value in 2008-M01	Exported value in 2008-M02	
"World"	8070	9675	6265	6291	9290	8730	7400	8068	10850	8692	10713	12050	10505	7257	5882	8741	9273	7479	6080	6445	
"United Kingdom"	2105	3650	2328	2418	3558	2565	4116	3839	2754	2692	2529	2032	1733	1426	1568	3427	3195	1743	1422	1544	
"Ukraine"	130	122	56	34	84	145	71	73	301	352	226	150	346	455	315	331	508	300	340	1022	
"France"	1323	1240	1063	815	799	1318	509	393	1532	1200	1579	2845	1059	797	543	708	754	918	661	628	
"Israel"	361	465	135	160	415	153	535	312	584	209	300	196	813	467	430	302	595	500	616	461	
"Italy"	319	310	183	249	340	288	97	428	417	519	635	547	286	334	124	229	174	366	211	367	
"Spain"	609	522	176	164	374	528	246	261	737	424	857	794	516	471	221	168	642	333	531	347	
"Germany"	297	99	276	346	276	452	178	218	636	208	435	1552	2338	168	90	209	122	210	155	278	
"Belgium"	433	488	216	504	255	287	181	153	242	218	290	315	212	136	201	125	174	216	123	259	
"Iraq"	58	140	150	178	330	234	31	226	638	456	90	140	6	15	175	31	174	277	238	217	
"Poland"	90	86	0	85	76	165	9	29	32	79	24	103	78	97	5	8	55	72	62	124	
"Bulgaria"	193	441	98	139	227	220	93	96	135	163	74	87	178	202	257	206	301	110	137	109	
"Hungary"	164	188	69	97	116	3	0	34	82	104	54	83	61	122	35	39	70	25	60	92	
"Portugal"	145	190	121	41	159	63	206	158	99	63	106	179	124	53	48	120	40	82	111	75	
"Netherlands"	182	178	43	70	93	125	152	172	87	89	267	178	141	81	99	45	22	105	134	75	
"Sweden"	169	46	13	27	54	99	59	67	28	223	97	65	38	94	195	226	18	30	27	71	
"Romania"	44	64	86	176	78	175	12	172	287	106	259	421	157	94	304	138	244	457	82	69	
"Georgia"	62	6	13	41	55	25	10	17	46	135	73	163	5	22	108	26	20	23	38	66	
"Denmark"	83	246	218	78	486	365	292	396	430	499	335	307	211	470	291	247	590	323	178	66	
"Bosnia and Herzegovina"	0	0	12	0	2	13	0	13	8	5	5	0	20	6	21	27	38	11	7	61	
"Russian Federation"	24	12	54	21	179	150	25	32	192	48	134	139	172	132	12	222	31	18	0	54	
"Cyprus"	27	35	38	16	10	57	58	27	24	29	57	37	67	27	21	11	24	29	28	53	
"Madagascar"	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	40	
"Switzerland"	68	49	24	28	14	28	20	26	43	26	56	81	104	65	11	100	35	97	17	39	
"Austria"	184	204	55	81	140	60	137	117	66	275	262	213	104	86	106	132	100	157	73	35	
"Czech Republic"	36	22	29	18	72	77	30	6	121	25	73	22	120	44	27	48	31	16	35	33	
"Slovenia"	9	6	24	29	45	9	51	0	49	0	1	8	22	84	6	57	63	16	50	31	
"Finland"	144	46	12	0	2	45	0	69	136	104	135	75	54	0	16	0	0	0	0	29	
"Benin"	0	0	0	0	27	0	0	0	0	0	25	0	0	0	0	26	0	0	0	27	
"Morocco"	0	0	0	0	0	13	15	7	2	0	0	0	0	0	0	0	15	0	0	19	
"Oman"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	16	
"Moldova, Republic of"	28	4	32	8	1	7	0	0	0	0	7	3	0	3	0	0	0	0	0	14	
"United Arab Emirates"	17	10	34	0	0	52	0	19	203	53	27	14	194	130	113	274	31	47	107	14	
"Turkmenistan"	1	4	6	2	1	13	14	10	19	0	1	1	0	6	2	30	4	5	1	12	
"Azerbaijan"	121	75	11	10	3	4	8	6	11	0	37	13	5	20	40	28	30	27	27	11	
"Albania"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	
"Croatia"	43	22	44	117	45	96	2	23	0	7	70	59	11	96	56	121	22	101	0	8	
"Iran, Islamic Republic of"	109	65	25	0	124	109	0	0	328	0	379	587	658	480	30	146	458	426	39	8	
"Slovakia"	5	0	20	5	29	12	17	12	0	0	6	9	4	5	14	0	0	0	20	8	
