Importers	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	
"World"	8528	9943	8676	10636	10629	12635	21029	21327	19194	19942	18948	15150	12614	15920	14182	15985	16521	24461	32547	34631	
"United Kingdom"	938	1506	1370	1308	650	732	1123	1264	1389	2017	2352	3098	3283	5750	3998	3280	1623	1063	2261	4331	
"Ukraine"	562	272	446	175	1125	1063	1341	1486	646	136	1567	381	115	205	341	871	480	2526	3026	2550	
"Russian Federation"	1026	453	258	1419	1880	507	74	208	240	686	423	344	428	42	245	508	328	1801	783	2370	
"France"	190	486	154	191	354	394	544	536	639	847	1142	560	446	235	455	433	885	971	943	1808	
"Poland"	563	260	135	25	502	370	124	489	985	862	912	321	203	287	523	314	249	809	1444	1658	
"Netherlands"	807	1116	515	1005	702	648	1282	413	553	771	508	581	1289	1714	1071	1199	1551	1157	1463	1562	
"Italy"	18	144	252	72	99	72	405	213	387	488	1254	886	155	114	34	36	710	1102	991	1337	
"Iraq"	385	696	408	712	879	1362	1377	1532	1061	1273	702	1392	906	1054	814	603	2109	936	1165	1272	
"Slovakia"	75	153	6	6	0	0	114	190	64	201	263	347	456	656	1207	127	147	186	252	1132	
"Bulgaria"	27	131	618	299	34	111	427	694	316	359	72	68	44	143	135	20	182	264	837	1078	
"Azerbaijan"	204	58	8	232	49	227	444	464	548	420	650	109	149	57	100	393	894	619	835	1029	
"Croatia"	35	215	30	206	43	106	510	489	1002	173	90	86	6	0	0	401	28	329	562	736	
"Czech Republic"	0	12	0	2	0	0	297	156	12	28	291	172	156	68	182	6	167	38	272	720	
"Algeria"	0	62	0	39	34	213	6	0	0	176	0	47	311	0	4	40	10	13	74	708	
"Germany"	804	533	625	444	483	720	875	1058	873	706	824	799	563	477	742	748	990	457	1180	699	
"Denmark"	200	262	131	191	466	271	395	183	625	375	184	168	98	220	168	810	227	542	542	689	
"Iran, Islamic Republic of"	50	280	112	411	82	352	1062	317	348	630	732	771	622	648	406	561	234	497	1602	646	
"Georgia"	153	101	145	124	68	127	518	822	469	580	559	375	115	197	89	121	271	443	809	602	
"Serbia"	22	77	0	51	2	48	1564	1576	246	589	181	41	0	10	0	218	32	591	989	565	
"Norway"	287	308	221	5	283	438	420	480	334	490	573	368	430	313	442	414	535	387	691	556	
"Uzbekistan"	4	0	1	35	154	150	50	520	98	159	261	29	10	1	64	13	56	1	46	503	
"Romania"	267	85	378	926	505	100	1433	2501	1552	1129	667	265	318	1245	672	694	120	1260	2244	479	
"Israel"	267	305	222	213	193	316	257	295	308	316	340	335	265	274	194	536	374	456	279	428	
"Kazakhstan"	153	443	199	401	441	1886	1978	770	806	397	66	61	112	120	366	324	33	2524	472	402	
"United States of America"	111	77	105	1	25	25	28	13	68	159	8	9	107	0	14	70	305	56	812	388	
"Hungary"	21	43	208	21	150	98	51	37	486	126	109	315	168	231	122	256	60	21	246	387	
"Sweden"	3	26	39	213	93	183	309	34	423	386	258	57	183	20	152	300	27	308	237	384	
"Macedonia, The Former Yugoslav Republic of"	36	12	0	14	0	0	204	184	149	45	10	0	0	14	17	0	6	0	91	372	
"Morocco"	9	3	0	20	16	55	54	0	0	6	135	83	1	5	0	0	191	570	992	342	
"Bosnia and Herzegovina"	0	51	0	16	2	2	159	530	542	174	72	0	28	1	56	0	5	34	475	340	
"Belgium"	169	257	136	196	87	277	201	704	387	159	167	174	300	202	61	110	112	321	240	334	
"United Arab Emirates"	43	59	155	20	13	56	120	43	61	196	444	184	141	227	121	85	151	323	352	294	
"Slovenia"	0	15	0	30	7	0	1	26	331	141	0	0	0	8	0	18	4	10	133	283	
"Ecuador"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	
"Turkmenistan"	35	42	72	88	75	98	90	160	132	129	80	23	0	150	66	62	167	129	30	262	
"Portugal"	47	12	35	11	76	48	57	54	33	73	94	59	54	15	40	53	20	22	168	242	
"South Africa"	0	0	43	0	0	1	3	0	0	0	37	3	28	49	0	0	46	1	150	230	
"Tunisia"	0	0	0	0	0	20	18	0	0	0	17	0	0	0	0	5	19	0	216	213	
"Lebanon"	14	0	1	0	34	205	334	26	50	3	30	54	31	18	0	35	691	208	769	201	
"Syrian Arab Republic"	73	32	13	0	0	0	95	286	127	9	178	67	0	62	22	16	81	0	75	194	
"Albania"	0	34	0	7	0	0	103	363	278	210	25	23	0	0	0	35	27	29	337	178	
"Kuwait"	0	12	0	0	0	2	0	1	26	0	0	0	24	1	46	13	0	0	32	167	
"Cyprus"	58	63	63	138	63	188	144	124	293	192	176	181	202	45	139	186	71	216	279	163	
"Egypt"	97	31	67	12	217	45	198	236	114	108	244	147	277	0	95	98	126	59	676	161	
"Switzerland"	105	82	57	31	50	60	133	82	50	143	93	286	27	48	128	78	52	109	196	156	
"Greece"	183	252	231	163	281	80	306	288	653	974	301	66	13	91	118	185	222	560	503	152	
"Spain"	101	105	151	76	26	186	101	69	174	297	110	58	82	107	134	53	172	171	203	124	
"Kenya"	52	0	39	66	64	0	34	39	0	19	21	0	0	0	52	0	0	47	89	122	
"Montenegro"	0	8	0	0	0	0	69	29	0	53	8	0	0	0	0	0	0	64	35	116	
"Saudi Arabia"	0	117	137	10	0	59	42	235	44	177	474	40	8	46	109	538	540	1421	192	111	
"Australia"	60	82	55	155	34	25	0	61	128	179	32	88	43	47	0	27	0	54	37	91	
"Canada"	0	0	0	0	0	84	0	9	10	0	0	0	3	0	0	0	4	0	19	76	
"Finland"	0	0	1	0	0	40	77	0	108	76	15	0	3	0	0	0	16	46	0	71	
"Ireland"	35	112	58	41	0	0	105	62	0	38	37	62	61	9	27	40	0	61	86	49	
"Kyrgyzstan"	28	14	103	83	0	34	21	0	299	57	92	0	0	0	0	0	210	240	107	39	
"Malta"	0	0	0	0	0	0	68	115	9	41	0	0	0	7	0	0	0	0	2	38	
"Moldova, Republic of"	0	0	55	33	0	10	329	437	22	88	137	51	9	0	0	3	2	159	649	38	
"Uganda"	0	34	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	14	37	
"Free Zones"	37	14	28	8	71	17	30	27	15	148	71	76	5	31	0	13	5	37	0	34	
"Jordan"	21	3	0	32	0	116	155	35	211	21	5	132	0	5	11	130	257	0	61	26	
"Tajikistan"	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	7	25	
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0	28	0	0	43	1	0	1	0	0	5	1	18	
"Afghanistan"	39	46	0	2	0	2	21	43	33	14	43	47	0	0	1	0	0	0	0	13	
"Viet Nam"	0	2	0	19	2	0	12	0	2	0	0	0	0	0	0	0	0	0	2	9	
"India"	0	0	9	0	7	6	18	0	5	13	15	13	12	0	9	13	0	12	23	8	
"Austria"	59	143	234	88	133	139	209	79	32	55	205	69	44	69	73	13	50	69	26	5	
"Sri Lanka"	0	0	0	355	0	0	0	0	0	272	0	344	2	320	0	330	0	0	4	2	
"Luxembourg"	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	26	0	2	
"New Zealand"	0	30	0	22	0	0	27	0	11	0	0	8	5	45	65	25	0	0	9	2	
"Hong Kong, China"	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	
"Guinea"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	77	16	0	0	0	0	3	0	
"Gambia"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	
"Ghana"	0	0	133	12	0	0	271	0	41	156	0	0	0	0	0	13	9	0	0	0	
"French Polynesia"	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	
"Gabon"	0	0	0	0	5	0	0	0	0	0	0	0	19	0	0	0	20	0	0	0	
"Côte d'Ivoire"	0	0	0	0	0	17	2	0	24	0	0	21	0	0	0	0	0	0	0	0	
"Japan"	9	0	1	10	0	27	14	9	0	5	6	4	5	0	9	7	11	4	15	0	
"Korea, Republic of"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mauritania"	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0	0	1	0	
"Mauritius"	0	0	1	0	0	0	0	0	0	0	9	2	0	4	0	0	1	0	0	0	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	0	0	
"Latvia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Libya, State of"	8	100	46	26	26	124	198	0	4	857	469	101	67	123	88	272	154	30	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Chile"	0	0	0	0	0	25	0	0	0	0	23	24	0	26	0	159	60	0	0	0	
"China"	0	0	0	8	0	0	0	128	0	0	0	5	0	0	0	0	0	0	1	0	
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	
"Congo"	0	0	6	105	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
"Cabo Verde"	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	15	0	0	
"Benin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ethiopia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	
"Estonia"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Bahrain"	0	0	8	0	0	0	0	6	0	0	5	19	13	0	0	3	166	8	0	0	
"Bangladesh"	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Angola"	0	43	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	
"Bolivia, Plurinational State of"	0	0	0	2	0	0	0	0	0	0	0	21	0	0	0	0	0	40	0	0	
"Brazil"	0	0	0	0	0	0	0	95	138	28	7	0	0	0	0	25	0	0	0	0	
"Belarus"	0	0	0	0	0	0	0	0	0	156	0	0	0	0	125	0	0	0	0	0	
"Cambodia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
"Cameroon"	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	0	0	0	0	
"Nigeria"	0	0	0	0	2	0	1	0	91	0	0	248	0	0	2	0	18	0	0	0	
"Panama"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
"Philippines"	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
"Qatar"	0	0	8	3	0	13	0	0	0	0	0	64	12	17	8	20	182	2	2	0	
"Maldives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	
"Mali"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	
"Oman"	0	1	0	0	0	0	0	1	1	0	0	181	29	6	0	0	0	0	36	0	
"New Caledonia"	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	
"Singapore"	1	0	0	6	0	17	0	0	0	0	35	18	17	0	0	0	0	0	0	0	
"Senegal"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
"Sudan (before 2012)"	1	0	26	0	23	16	0	0	49	1	0	0	0	5	4	0	0	0	86	0	
"Thailand"	0	0	0	0	0	0	0	0	0	33	0	0	0	0	1	0	5	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	71	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	32	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
"Zambia"	19	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	
