Importers	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	
"World"	12623	13046	11977	12905	9344	11830	11616	12092	11917	17159	16510	14315	9004	14289	12155	14477	9215	11875	14943	16987	
"United Kingdom"	5030	5084	4977	4665	3621	3295	1919	1897	1969	3060	2690	3940	2014	5135	4794	3788	2650	2823	3774	3908	
"France"	2117	2225	1777	1569	1512	2329	2063	2724	2098	2482	2696	1778	785	1986	1726	1956	1521	2486	2623	2902	
"Iran, Islamic Republic of"	388	539	299	1684	542	656	593	368	327	529	693	828	287	154	73	987	304	654	1223	1492	
"Italy"	467	589	185	344	438	452	739	669	1077	1146	929	486	412	364	499	534	462	433	801	1102	
"Germany"	158	136	169	76	184	572	292	380	624	2310	2754	1450	1040	611	273	491	1164	1218	447	797	
"Iraq"	48	52	75	150	62	145	372	155	403	41	132	16	93	186	0	172	130	265	681	701	
"Spain"	628	511	392	869	390	606	570	682	452	509	414	720	263	712	357	1122	300	390	839	607	
"Israel"	280	377	347	674	137	487	440	660	516	585	450	490	459	322	538	815	190	679	666	464	
"Austria"	184	133	67	92	138	152	221	129	77	136	160	191	144	101	53	73	81	64	146	457	
"Ukraine"	96	46	62	3	0	17	104	150	10	86	365	442	150	175	18	183	0	108	368	437	
"Sweden"	457	712	448	381	148	146	357	241	298	552	388	392	383	931	310	474	371	233	434	404	
"Denmark"	283	293	179	287	168	60	124	53	331	441	108	87	89	290	262	324	118	104	302	356	
"Poland"	137	44	86	100	78	124	124	87	153	126	243	320	129	261	132	259	171	487	205	282	
"Bosnia and Herzegovina"	13	29	15	6	7	18	8	13	23	17	28	23	57	25	18	17	9	4	9	274	
"Portugal"	167	74	151	160	108	173	201	168	100	129	157	142	246	246	115	225	183	157	268	261	
"Georgia"	18	41	41	15	36	72	10	40	43	77	68	10	29	20	19	47	4	26	136	239	
"Belgium"	154	130	148	201	69	218	246	211	338	254	136	353	169	211	137	576	204	137	122	233	
"Azerbaijan"	23	39	32	121	40	28	16	44	23	68	47	63	49	51	35	79	62	154	46	178	
"Switzerland"	0	36	32	5	38	22	88	183	136	240	203	237	6	120	27	0	212	109	91	175	
"Jordan"	115	28	28	118	21	71	98	98	226	150	180	95	28	30	18	98	90	74	60	172	
"Algeria"	0	0	0	0	0	0	0	3	10	0	20	0	4	28	507	0	120	89	79	142	
"Netherlands"	34	31	19	35	148	117	61	146	91	34	272	275	94	288	250	167	49	231	177	112	
"Hungary"	57	81	91	68	72	157	85	101	89	66	269	223	162	206	483	150	45	18	32	109	
"Turkmenistan"	69	22	10	22	51	33	10	52	29	38	5	27	10	1	24	16	16	30	45	100	
"Bulgaria"	12	144	66	140	40	116	97	149	241	166	155	134	110	186	82	140	48	75	90	87	
"Greece"	35	28	80	20	107	30	65	24	33	123	31	7	4	99	72	29	2	24	34	86	
