Importers	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	Exported value in 2018-M04	Exported value in 2018-M05	Exported value in 2018-M06	
"World"	61826	66666	40662	58224	75240	69499	88272	87453	84924	101723	72268	84833	74945	78976	55082	74927	87661	82951	91212	81531	
"United Kingdom"	10677	8971	6554	7754	6264	6228	8058	10745	8186	14531	10606	13107	7683	7865	6044	7280	6215	7421	11349	9479	
"France"	3562	3875	2723	3097	4583	5392	5890	7012	6235	5684	4351	4611	4026	4861	3598	3424	5302	5953	7358	7578	
"United States of America"	5627	4611	2726	3852	5424	4455	4612	6670	3273	3577	4746	4733	9126	8774	5138	5210	6934	7281	5196	7573	
"Italy"	4017	3510	4559	5668	5400	5189	6806	7568	8954	11142	7295	7519	4961	5405	5922	7626	6810	5212	6786	6832	
"Spain"	2033	2418	976	3008	4391	6231	4781	6232	5653	5359	4291	4030	3643	3405	1853	2765	4915	4144	5153	6026	
"Germany"	6050	6439	7658	9207	9220	8826	12734	8665	9178	13066	12954	15676	11999	11721	10888	17992	13576	9605	8838	5830	
"Morocco"	676	1359	799	913	3504	2578	5863	3866	3712	4699	1301	1356	1185	2155	1017	2793	5363	5600	5569	5172	
"Sweden"	2174	2411	707	1688	2366	1673	2233	1583	1949	2678	1815	2455	2391	2356	1357	1444	2220	2179	1851	2372	
"Algeria"	2761	3916	0	1118	2217	2745	2021	3557	4383	3047	270	387	673	2646	12	1175	4464	6128	5506	2308	
"Egypt"	811	2709	1120	918	1399	539	267	599	497	1858	856	471	1192	1903	232	2560	1848	2899	2093	2210	
"Romania"	1178	815	367	586	1206	708	1407	1711	2445	2015	1578	2211	1448	1022	444	801	1004	769	1252	2182	
"Iraq"	1246	1033	833	1822	1832	2327	3154	2168	2915	2508	678	16	379	714	674	1417	2309	2771	1977	2069	
"Poland"	2481	2773	793	1755	2143	1562	2606	2586	2277	1715	1525	2964	3100	3222	2017	2240	2922	4249	3064	1978	
"Greece"	859	896	516	1382	1997	1078	1716	1580	2261	2901	1840	1594	1620	1005	1871	1560	2901	1165	2982	1723	
"Israel"	2909	4275	639	2637	4582	2582	4974	2071	3167	5486	2382	3516	2760	4778	604	2510	3014	2682	2736	1687	
