Importers	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	
"World"	34631	28063	32805	23133	21958	14445	14540	13194	18693	18605	22586	28436	29002	29118	21909	18444	13492	11995	14681	13322	
"United Kingdom"	4331	3369	3283	1113	2417	2212	1930	1198	1429	4196	1187	2728	2708	2579	3936	3529	2468	1213	2215	1667	
"Iraq"	1272	471	1038	883	702	811	451	1163	563	676	1959	1966	1377	1231	439	777	275	705	307	840	
"Azerbaijan"	1029	1507	1799	530	305	523	159	606	336	191	1070	491	1469	1573	577	372	418	254	620	796	
"Bulgaria"	1078	624	509	303	333	600	473	134	93	804	1307	1276	1430	809	353	524	456	471	530	773	
"Norway"	556	483	583	522	405	349	493	447	678	459	517	405	529	566	428	440	537	401	535	738	
"Germany"	699	1509	1267	1117	751	428	315	282	443	523	579	850	934	794	920	1017	430	794	425	707	
"Netherlands"	1562	1098	1044	1051	1274	716	1117	321	607	1528	1233	891	899	760	1655	907	916	787	348	642	
"Kazakhstan"	402	128	346	1171	412	231	503	143	659	154	1109	1888	530	921	630	1235	385	30	146	529	
"Ukraine"	2550	969	1163	1393	683	446	306	798	273	546	1942	1247	1689	853	488	247	295	523	745	482	
"France"	1808	756	1198	663	465	749	680	409	658	1161	971	1808	1231	965	198	1319	438	718	823	417	
"Kyrgyzstan"	39	0	88	4	58	15	0	0	27	347	0	257	394	414	0	49	2	24	123	339	
"United States of America"	388	501	113	154	216	4	75	0	60	104	464	134	483	417	254	203	209	0	68	333	
"Romania"	479	1289	1245	751	559	268	241	1101	1488	549	369	1622	2365	934	536	477	174	128	70	331	
"United Arab Emirates"	294	229	93	172	233	114	113	133	216	178	280	139	207	397	380	191	63	117	129	308	
"Israel"	428	207	248	534	425	251	193	105	554	428	353	524	360	685	427	309	330	225	302	288	
"Belgium"	334	150	346	362	142	94	131	75	80	140	64	161	295	120	299	129	112	95	83	274	
"Australia"	91	163	26	214	218	252	56	156	181	106	128	203	44	5	148	50	45	147	78	272	
"Saudi Arabia"	111	45	574	990	243	31	32	20	1242	900	332	200	43	297	80	264	520	90	286	256	
"Italy"	1337	868	642	1452	170	74	74	50	445	288	696	1175	494	1417	498	228	233	223	319	233	
"Libya, State of"	0	0	8	0	373	48	110	69	150	111	114	96	64	217	310	478	311	654	355	204	
"Georgia"	602	821	1000	680	1492	1879	597	396	446	168	1142	1554	1970	2378	1159	575	438	508	218	201	
"Russian Federation"	2370	1785	3490	656	1193	244	893	332	239	191	226	560	267	222	55	424	182	131	139	184	
