Importers	Exported value in 2006-M07	Exported value in 2006-M08	Exported value in 2006-M09	Exported value in 2006-M10	Exported value in 2006-M11	Exported value in 2006-M12	Exported value in 2007-M01	Exported value in 2007-M02	Exported value in 2007-M03	Exported value in 2007-M04	Exported value in 2007-M05	Exported value in 2007-M06	Exported value in 2007-M07	Exported value in 2007-M08	Exported value in 2007-M09	Exported value in 2007-M10	Exported value in 2007-M11	Exported value in 2007-M12	Exported value in 2008-M01	Exported value in 2008-M02	
"World"	8244	7032	5350	3558	5837	6426	9188	17940	22362	12342	15477	12729	11359	9186	7030	5125	4982	7830	13653	14834	
"United Kingdom"	949	853	1280	384	762	892	826	1920	3496	1712	2820	3252	3235	2254	2102	1700	1686	617	2924	2917	
"Russian Federation"	469	671	813	761	720	169	248	5409	3881	161	803	386	1153	894	533	554	204	165	1873	2592	
"Ukraine"	424	74	392	224	635	548	199	209	1980	1470	932	883	649	447	184	499	277	360	1261	2165	
"Romania"	201	111	37	97	221	1017	1417	3269	2119	1070	1576	1430	512	657	631	104	134	96	1512	1904	
"Kazakhstan"	214	84	11	84	79	995	1864	1013	941	37	47	194	92	451	218	56	284	3966	1059	770	
"Serbia"	58	0	2	4	23	9	881	688	1749	1273	2387	554	89	323	67	0	0	0	615	738	
"Austria"	325	440	102	25	7	41	848	860	602	301	453	349	448	107	234	88	70	218	659	660	
"Germany"	793	422	182	220	313	201	750	590	1194	653	667	1105	757	541	519	600	119	317	595	539	
"Italy"	409	122	388	87	115	178	117	76	279	329	172	404	315	75	125	33	138	2	187	298	
"United States of America"	858	676	161	108	331	505	400	351	172	616	133	324	251	214	94	112	186	103	390	214	
"Iraq"	68	61	2	146	77	45	54	35	208	341	342	177	139	127	151	76	20	23	112	176	
"Hungary"	231	64	8	0	35	49	17	217	414	376	118	239	43	56	5	41	72	47	35	175	
"Moldova, Republic of"	38	33	0	16	0	14	0	22	284	0	175	5	13	54	62	112	91	0	594	172	
"Bulgaria"	418	302	140	32	182	151	24	330	477	716	579	830	552	442	315	44	90	17	18	168	
"Israel"	107	73	78	90	160	95	90	362	142	68	193	241	191	361	124	74	265	180	121	118	
"Greece"	461	395	109	277	557	39	219	59	292	217	167	288	166	165	47	63	157	207	79	98	
"Albania"	10	0	1	0	9	6	0	0	11	14	1	1	28	57	11	0	0	0	0	97	
"France"	680	417	113	26	169	92	77	180	272	322	166	360	471	243	71	194	77	117	32	95	
"Netherlands"	81	102	32	44	136	23	4	279	209	117	148	52	155	130	61	84	41	102	84	91	
"Ireland"	0	0	159	76	73	240	85	293	69	82	337	0	44	77	46	72	94	100	49	85	
"Switzerland"	23	24	48	24	5	15	0	7	80	60	198	43	11	0	20	0	1	31	1	85	
"Australia"	85	180	229	84	107	180	83	149	0	11	31	50	107	49	53	49	59	66	22	80	
"Georgia"	141	61	64	73	80	135	11	150	203	144	194	185	232	175	151	48	34	76	21	76	
"Belgium"	108	176	79	152	83	251	42	192	288	82	304	125	88	163	215	112	82	58	49	67	
"Madagascar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	
"New Zealand"	6	64	0	16	7	15	26	37	0	36	12	1	32	0	13	25	0	0	34	54	
"Free Zones"	9	4	2	21	5	9	0	0	14	17	45	10	83	28	55	0	0	17	4	50	
"Norway"	82	84	6	25	51	62	122	38	33	33	7	49	61	98	80	0	0	1	0	48	
