Importers	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	
"World"	37385	70974	79212	85003	84843	99539	67001	93711	69114	69627	61826	66666	40694	58612	75367	69554	88383	89084	85128	101747	
"United Kingdom"	7440	9601	9244	9243	11577	11138	6276	13450	9977	10952	10677	8971	6554	7754	6264	6228	8058	10765	8186	14531	
"Germany"	5951	14349	15669	13671	9661	9549	6754	10792	12451	9359	6050	6439	7658	9207	9220	8826	12734	8682	9178	13066	
"Italy"	2626	5751	8053	8240	8035	7552	4576	6546	4866	5982	4017	3510	4559	6021	5400	5189	6806	7589	8947	11142	
"France"	2448	5073	5552	4708	6933	7890	4489	8237	3958	3843	3562	3875	2723	3097	4583	5392	5890	7012	6235	5684	
"Israel"	680	2887	3002	3119	3900	3066	3800	4333	2223	2705	2909	4275	639	2660	4582	2582	4974	2071	3167	5486	
"Spain"	1935	3879	3878	6838	6316	6411	4625	3660	3118	2462	2033	2418	976	3008	4391	6255	4781	6232	5653	5359	
"Morocco"	447	2290	2834	4434	2798	6944	3842	3597	1023	599	676	1359	799	913	3504	2578	5962	3866	3817	4699	
"United States of America"	2467	3831	4201	6460	4582	6562	2850	4565	4133	5774	5627	4611	2726	3852	5424	4455	4612	6670	3273	3577	
"Algeria"	1363	2694	2078	3257	742	4696	4213	2444	3164	1454	2761	3916	4	1118	2217	2745	2021	5068	4383	3047	
"Greece"	575	983	1372	1146	1970	2193	1983	2397	1566	1105	859	896	516	1382	1997	1078	1716	1584	2261	2901	
"Sweden"	1484	1613	2180	1498	3262	2898	1828	3168	1734	2028	2174	2411	707	1688	2366	1673	2228	1583	1949	2678	
"Iraq"	23	1863	1254	2341	2542	3052	2430	4540	1422	974	1246	1033	848	1822	1931	2327	3154	2168	2915	2508	
"Romania"	511	645	1686	1143	1387	1834	1485	2255	1461	2333	1178	815	367	586	1206	708	1407	1711	2445	2015	
"Egypt"	650	419	36	46	0	297	83	250	2	1243	811	2709	1120	918	1399	539	267	599	497	1858	
"China"	347	839	615	678	868	2098	1167	1450	144	509	99	673	335	701	1941	1547	977	2698	1220	1851	
"Poland"	515	1569	2351	1626	1628	3852	2299	3226	2374	2416	2481	2773	793	1755	2143	1562	2606	2586	2277	1715	
"Netherlands"	666	1663	1174	1256	1356	1161	800	1724	1076	1235	1247	1423	479	847	827	553	1275	1269	1811	1283	
"Iran, Islamic Republic of"	52	377	472	674	1244	1994	1478	1777	1026	1151	1049	1094	2716	458	758	1850	1370	923	544	1173	
"Argentina"	727	444	1026	964	77	233	34	228	42	3	0	7	1	218	111	270	762	123	561	989	
"Portugal"	351	491	625	558	553	934	615	617	599	752	391	440	179	559	532	516	453	720	974	952	
"Canada"	238	919	1097	533	558	444	263	1125	515	966	856	1252	492	790	874	984	672	582	1039	904	
"Ukraine"	36	45	469	437	600	1141	871	812	597	788	509	317	271	1026	1001	997	634	736	963	860	
"Serbia"	91	185	316	486	296	418	471	542	249	284	339	410	179	176	322	260	474	465	407	791	
"Georgia"	89	89	210	153	285	611	499	552	315	284	312	310	242	102	295	129	541	654	447	746	
"United Arab Emirates"	206	518	566	945	360	245	125	571	573	646	486	236	69	669	1050	422	1270	850	739	721	
"Belgium"	252	307	369	404	321	217	138	325	274	361	404	277	303	49	167	376	290	441	296	710	
"Bulgaria"	217	298	258	498	626	726	551	545	426	412	308	294	129	198	358	449	433	662	517	637	
"Czech Republic"	204	263	213	52	258	294	156	199	197	369	300	384	181	322	404	117	341	263	296	635	
"Denmark"	179	365	412	243	447	398	292	592	263	355	457	363	167	373	621	269	402	591	322	623	
"Ethiopia"	65	302	148	230	108	329	158	452	386	1	446	32	0	0	330	312	374	590	491	614	
"Azerbaijan"	32	50	330	133	133	74	209	506	254	400	227	465	118	300	252	250	331	417	447	563	
"India"	75	71	230	86	355	210	238	199	199	56	139	194	179	269	628	133	222	323	373	548	
"Tunisia"	42	184	985	1078	652	1407	338	838	1046	461	528	346	410	574	1827	404	814	1092	323	485	
"Cyprus"	110	297	200	257	281	145	92	276	321	539	572	615	231	335	128	205	258	480	206	347	
"Croatia"	106	215	266	220	766	342	382	503	214	297	332	247	287	174	309	140	519	397	791	322	
"Russian Federation"	0	50	0	83	29	148	136	140	123	96	405	255	37	104	74	151	269	192	174	313	
"Australia"	780	532	514	287	434	666	366	1012	1956	885	275	686	512	188	431	314	530	1200	780	309	
"Pakistan"	0	0	0	11	13	1	29	30	39	1	1	4	0	3	2	10	0	0	8	295	
"Macedonia, The Former Yugoslav Republic of"	46	103	89	139	203	167	318	259	95	155	192	235	89	111	146	135	40	222	238	288	
"Ireland"	201	124	150	143	126	135	203	194	279	207	123	353	80	50	159	91	96	72	174	285	
"Austria"	78	185	153	248	329	242	209	198	254	439	218	191	127	186	224	107	433	230	174	263	
"Saudi Arabia"	0	499	11	475	808	17	369	2	5	0	146	19	0	341	206	716	296	15	684	202	
"Hungary"	145	190	300	253	360	662	214	286	345	426	289	109	71	105	134	275	320	391	231	197	
