Importers	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	
"World"	85070	84030	65018	74041	66629	61973	66638	44943	51416	56500	61739	51019	75856	63100	60821	59145	68212	57763	61028	37385	
"United Kingdom"	16536	18120	14919	17789	13338	11807	9400	7199	7518	8651	10365	7802	12593	11406	10671	13414	12048	13764	10207	7440	
"Germany"	9313	12786	10946	13975	10734	6301	9183	7603	5676	7017	8504	6246	10887	8335	8329	9829	12375	8152	12298	5951	
"Italy"	5261	4900	3141	2785	3833	2916	2923	2515	3107	3107	3514	3677	3617	3669	3475	4183	2384	2896	1976	2626	
"United States of America"	3979	5771	3321	5726	4572	4407	4278	3622	5417	5393	4067	3002	4419	4283	2705	4137	5049	4532	6121	2467	
"France"	8262	8195	6421	5146	4755	5474	5533	3560	4416	5832	6139	5460	7073	5204	5636	5021	5541	4544	3091	2448	
"Spain"	6546	3586	3195	3138	3540	3395	3387	2591	3990	3748	3979	3213	4970	4395	3111	3590	3663	2930	3404	1935	
"Sweden"	1804	2441	2123	3219	2845	2804	2731	1721	1343	1873	2184	1665	2471	2205	1827	1410	2350	2097	2364	1484	
"Algeria"	382	3299	24	0	2133	741	2935	76	389	499	70	1346	3706	2186	2283	0	250	0	2410	1363	
"Libya, State of"	4091	718	750	945	502	1005	2011	624	605	964	2383	751	2266	875	3073	823	785	934	0	1178	
"Australia"	1019	257	1036	765	1100	902	545	934	393	476	1027	1366	657	609	1543	1390	744	872	385	780	
"Argentina"	0	674	153	0	58	45	124	0	0	0	571	0	291	596	316	1	0	69	0	727	
"Israel"	2985	1028	1061	659	1441	1756	1876	482	2336	1148	820	1036	1285	1780	1267	2111	2858	1597	1669	680	
"Netherlands"	875	1223	1145	1579	1010	896	1342	832	1361	1102	592	957	1380	1126	946	693	1228	1444	1431	666	
"Egypt"	1181	1021	463	214	73	302	162	201	336	739	1182	1445	1189	801	446	414	340	242	1055	650	
"Greece"	1455	1897	1208	1673	764	715	521	653	579	778	1441	1317	1708	556	711	997	1406	915	472	575	
"Poland"	1101	1765	1098	1088	738	1503	1549	692	1519	1524	1894	1138	1672	1912	1181	1018	2555	1145	1316	515	
"Romania"	1487	1464	1291	682	499	585	429	406	461	531	728	698	943	1213	1049	650	1075	826	838	511	
"Morocco"	301	516	475	292	430	461	216	127	181	377	178	525	1195	903	521	531	427	105	287	447	
"Portugal"	1000	715	740	470	395	223	244	245	556	330	433	430	548	536	473	327	381	365	322	351	
"China"	293	1144	448	1959	449	1922	2222	1652	938	1404	814	387	1458	114	1015	382	11	217	106	347	
"Jordan"	419	195	417	433	423	492	295	334	80	5	1424	896	646	673	253	486	695	323	589	256	
"Belgium"	319	337	148	233	352	233	404	132	250	145	212	166	334	274	346	465	509	283	499	252	
"Canada"	406	486	418	582	978	710	1746	249	309	565	798	640	1082	928	868	912	652	368	866	238	
"Bulgaria"	304	474	331	304	324	360	163	61	167	134	179	189	252	318	377	227	211	244	249	217	
"Free Zones"	4	89	129	169	18	323	339	270	148	131	91	20	26	191	72	242	341	379	908	217	
"United Arab Emirates"	799	363	524	592	1054	609	225	100	135	206	358	394	495	182	381	277	886	539	388	206	
"Czech Republic"	281	287	345	420	483	495	175	175	182	185	298	181	192	7	96	169	407	258	289	204	
