Importers	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	
"World"	48981	50477	57206	56115	68184	59094	66920	67092	67845	47447	59757	75281	78400	82348	87410	81614	87319	76009	80541	78885	
"Germany"	9419	12279	11528	14504	17626	16822	13769	14077	14911	11045	11805	10809	11993	13311	14653	16332	18310	15870	13445	15797	
"United Kingdom"	6860	6964	8309	7117	11812	11039	15952	16062	15322	10179	9516	13462	13930	12476	17163	12094	14484	13848	16337	10824	
"France"	4080	6523	5205	3172	4610	4822	6678	7555	6291	4418	7038	10780	7512	7635	9050	8496	8717	5791	7490	6860	
"Italy"	2014	2167	3133	2371	1844	3504	3144	2967	2747	2589	2866	4059	4501	6122	5842	5756	6171	4824	4064	5543	
"Argentina"	560	586	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1527	4821	4888	
"Sweden"	2734	1332	1327	1293	1639	1022	2025	2145	1609	1840	2805	3475	3049	2235	2322	2458	2162	2250	2686	3548	
"Israel"	1084	1742	1448	1353	1006	1058	526	1431	2485	1907	1142	2958	2835	2911	1831	1213	3014	1788	2446	3074	
"Spain"	1024	1179	1115	2104	1392	1603	1481	1306	1207	733	1975	2856	3702	3809	3297	2871	2952	2874	3334	2848	
"United States of America"	3957	762	1876	4341	3356	1932	3084	2867	3397	3270	3193	4840	4474	3734	5515	4742	1357	859	3533	2156	
"China"	159	366	319	490	1047	589	869	913	650	68	123	603	1277	996	957	1562	815	965	1096	1929	
"Iraq"	1637	2777	2970	1865	4398	1535	3921	2369	1430	710	4797	3861	4929	3945	3641	3381	3536	3284	1656	1777	
"Libya, State of"	0	0	0	0	0	0	0	13	911	215	944	1508	4642	3541	6114	2777	3745	2632	961	1604	
"Azerbaijan"	806	716	663	593	656	893	589	578	1100	644	685	629	1190	896	848	764	713	390	1025	1264	
"Netherlands"	1415	710	691	741	1225	753	940	1042	1014	941	1194	1293	801	1163	901	1422	705	1474	1161	1085	
"Poland"	1333	1821	3270	2155	2041	1659	1729	1306	1890	1798	2754	2384	2052	1090	1430	1331	1512	1823	1053	1050	
"Denmark"	959	425	352	331	507	223	326	351	455	240	373	423	554	492	307	357	364	435	355	904	
"Egypt"	19	3	0	21	14	0	0	24	13	0	40	0	0	8	172	2	44	1823	0	887	
"Romania"	117	500	439	499	919	1277	913	673	617	189	388	587	708	461	477	540	458	1086	280	866	
"Australia"	335	92	214	265	559	857	24	338	1245	420	388	1127	239	158	465	293	1096	417	1185	847	
"Ukraine"	0	0	79	14	48	27	115	64	5	0	8	141	154	394	372	375	432	241	622	809	
"Portugal"	356	139	469	549	618	445	513	350	434	292	836	497	419	748	768	864	651	309	576	747	
"Georgia"	657	779	1037	1022	1245	347	414	280	669	561	154	593	762	610	833	862	690	625	490	712	
"Greece"	399	414	563	660	532	762	625	562	362	349	285	471	483	626	635	883	1271	1104	1189	609	
"South Africa"	0	9	7	22	4	0	0	2	0	61	21	2	6	12	30	32	28	44	544	601	
"Czech Republic"	55	27	31	355	174	133	156	322	182	130	221	287	125	202	353	276	538	403	247	573	
"United Arab Emirates"	174	355	484	827	231	339	840	926	1364	161	99	86	527	595	247	243	347	421	367	473	
"Cyprus"	65	235	253	204	255	200	322	245	677	134	40	159	363	28	244	138	73	148	344	434	
"Iran, Islamic Republic of"	1025	2097	606	2502	1347	2338	2496	1985	1468	715	1316	1554	888	2067	1026	976	1010	784	922	405	
"Ireland"	172	160	84	218	247	218	605	620	259	256	215	87	156	323	213	331	449	380	422	392	
"Hungary"	405	459	244	291	95	217	249	287	263	209	214	297	662	549	409	189	299	276	262	381	
"Canada"	1162	198	167	509	528	269	639	776	439	251	260	460	20	514	452	136	270	652	189	377	
"India"	24	19	14	9	83	6	0	9	67	0	0	0	162	13	101	208	14	69	71	345	
"Belgium"	64	394	305	410	170	151	69	185	209	57	231	148	169	172	273	190	429	192	289	334	
"Bulgaria"	66	49	253	206	237	233	166	432	79	39	14	148	226	343	466	449	498	350	289	310	
"Austria"	241	62	69	178	133	150	302	217	190	126	150	258	242	310	178	251	397	182	209	250	
"Jordan"	501	692	489	607	228	18	33	42	89	395	523	117	358	863	81	160	323	68	325	219	
