Exporters	Imported value in 2008-M01	Imported value in 2008-M02	Imported value in 2008-M03	Imported value in 2008-M04	Imported value in 2008-M05	Imported value in 2008-M06	Imported value in 2008-M07	Imported value in 2008-M08	Imported value in 2008-M09	Imported value in 2008-M10	Imported value in 2008-M11	Imported value in 2008-M12	Imported value in 2009-M01	Imported value in 2009-M02	Imported value in 2009-M03	Imported value in 2009-M04	Imported value in 2009-M05	Imported value in 2009-M06	Imported value in 2009-M07	Imported value in 2009-M08	
"World"	29076	25432	23203	34444	25178	30501	28613	33398	32701	28116	22466	22581	16797	16388	13125	21118	20989	29065	29511	28429	
"Korea, Republic of"	597	1307	1122	2226	1931	1789	1722	5391	4635	6511	5136	4915	4078	1946	2002	5148	4977	5764	5652	8311	
"China"	4896	3682	3285	3519	2954	5227	5897	10979	6890	3660	4879	6763	5092	2571	1171	5408	3286	6990	8096	7600	
"Hungary"	2985	2629	2613	2941	2048	2891	1859	1980	1755	1200	578	643	751	1253	829	485	994	2571	2351	2817	
"Italy"	6394	6832	6718	8874	6059	7087	7053	2622	4667	4867	3072	3235	2507	2636	2547	2064	4356	4253	2815	2195	
"Germany"	5621	4255	3514	6353	4135	6049	5302	2509	4470	3849	2310	2713	1621	1792	2089	2127	2260	3130	2960	1606	
"Poland"	2621	1747	1236	2306	1364	637	726	1654	1653	1200	1544	1083	575	488	1168	1292	1175	1882	1448	1545	
"Turkey"	977	574	944	1460	2304	1311	1616	2533	2383	1835	1576	407	287	775	1002	1572	1091	1100	1127	1429	
"Spain"	1209	1557	1052	2273	2131	1970	1535	2469	3026	2289	1172	1346	890	1559	1022	1372	1508	1349	2548	882	
"United States of America"	1521	1101	967	1332	520	1185	848	1222	1472	959	674	57	245	178	75	540	440	658	755	668	
"Netherlands"	295	143	128	376	135	1	0	1	3	20	0	93	260	0	59	21	2	0	10	351	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	193	219	
"Slovenia"	226	210	226	344	188	391	234	194	147	161	100	154	96	204	122	239	213	150	235	178	
"Mexico"	441	146	431	978	152	1014	127	1092	268	577	245	292	0	327	476	247	226	73	376	128	
"Thailand"	0	0	0	0	2	8	8	0	110	0	47	46	30	44	35	35	38	61	159	115	
"Bulgaria"	227	386	188	220	211	174	329	163	183	188	181	159	111	142	181	210	181	246	260	114	
"Belgium"	4	2	6	6	49	2	4	9	11	16	3	8	4	3	3	6	18	317	112	95	
"Sweden"	27	37	47	27	3	83	4	7	3	5	0	17	0	0	0	0	0	0	0	71	
"Ireland"	11	2	17	27	29	22	2	19	2	24	311	20	40	703	16	24	33	238	31	48	
"Austria"	44	21	21	107	26	18	3	0	43	23	54	1	9	19	5	54	43	93	15	22	
"Taipei, Chinese"	0	18	9	0	4	18	0	25	17	0	0	0	26	27	18	9	0	28	9	18	
"Norway"	0	3	8	0	0	0	0	0	0	0	0	6	0	0	23	14	0	0	0	4	
"France"	270	186	234	475	395	220	792	221	348	383	184	141	144	179	104	17	29	17	30	4	
"Slovakia"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
"Denmark"	6	38	14	4	23	0	4	30	4	10	3	15	2	2	27	2	4	11	9	2	
"Hong Kong, China"	13	3	5	170	302	81	41	59	8	1	4	3	0	4	63	0	11	15	3	2	
"Qatar"	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	
"South Africa"	0	0	0	0	7	0	0	0	0	0	0	14	0	0	0	0	0	17	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Romania"	511	371	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	35	0	0	36	0	0	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	
"Singapore"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
"New Zealand"	15	0	23	0	28	69	29	0	2	38	0	181	0	0	0	23	0	0	256	0	
"Japan"	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
"Korea, Democratic People's Republic of"	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	51	75	39	0	0	0	0	0	0	0	0	1482	0	0	0	0	0	0	
"Malaysia"	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	11	2	20	0	11	0	0	6	68	37	6	5	24	54	26	0	68	29	12	0	
"Greece"	0	42	43	88	0	92	0	31	0	48	19	0	0	0	6	0	36	2	41	0	
"Indonesia"	0	0	0	0	0	0	43	0	17	38	0	0	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
"Australia"	155	133	174	247	117	143	342	181	480	177	367	195	3	0	0	178	0	29	0	0	
"Canada"	0	0	0	0	0	0	79	0	6	0	0	0	0	0	0	0	0	0	0	0	
"Brazil"	0	0	0	10	10	0	0	0	30	0	0	13	0	0	0	31	0	0	0	0	
