Exporters	Imported value in 2009-M08	Imported value in 2009-M09	Imported value in 2009-M10	Imported value in 2009-M11	Imported value in 2009-M12	Imported value in 2010-M01	Imported value in 2010-M02	Imported value in 2010-M03	Imported value in 2010-M04	Imported value in 2010-M05	Imported value in 2010-M06	Imported value in 2010-M07	Imported value in 2010-M08	Imported value in 2010-M09	Imported value in 2010-M10	Imported value in 2010-M11	Imported value in 2010-M12	Imported value in 2011-M01	Imported value in 2011-M02	Imported value in 2011-M03	
"World"	28429	27604	32518	25885	29600	26592	17836	20408	21338	21439	24564	27020	27434	24092	29197	24007	29576	25763	23135	18290	
"China"	7600	5526	5621	5826	6369	5925	4038	3362	5595	5767	9901	9276	9668	7304	9145	6105	7162	6338	5500	3856	
"Poland"	1545	1531	942	1780	2045	1601	299	1056	1034	1467	1206	1752	1349	1906	2195	2231	2326	2034	2432	2852	
"Germany"	1606	2553	3508	2492	2239	1776	1843	2093	1444	1563	2023	2511	1488	839	2303	2299	1848	1940	2399	2809	
"Italy"	2195	2476	2848	2944	2450	1959	1899	2946	2038	2270	1777	2996	1499	2433	2768	2403	2075	2377	2674	2726	
"Korea, Republic of"	8311	7805	9550	6110	9920	9749	4504	7179	6353	6209	5035	6838	7273	6202	8081	5328	12285	8151	6981	1909	
"Turkey"	1429	1486	2447	1263	1070	881	1019	1284	934	590	1115	1067	3307	1845	1281	1909	612	1766	768	914	
"Thailand"	115	20	73	60	20	52	0	30	62	21	122	115	101	42	156	121	905	394	196	742	
"Hungary"	2817	1873	2465	2198	2142	1337	647	605	621	653	675	602	580	555	739	837	541	527	471	706	
"United States of America"	668	756	477	524	741	343	421	487	293	707	379	179	263	572	395	348	297	321	305	412	
"Mexico"	128	349	332	0	99	0	66	52	1207	173	516	64	65	395	48	143	446	60	138	400	
"Spain"	882	2060	2511	957	1609	1052	487	537	714	1108	825	672	1064	574	626	1046	485	1042	650	220	
"Bulgaria"	114	405	508	476	334	171	244	151	98	156	163	415	110	396	370	464	110	283	149	130	
"Slovenia"	178	160	467	200	124	226	251	131	273	163	141	118	147	190	195	275	78	71	58	106	
"Sweden"	71	45	45	0	51	80	1	0	38	0	3	0	31	0	0	0	0	0	0	102	
"Ireland"	48	63	159	340	57	49	119	41	76	100	74	81	56	107	220	170	88	59	96	93	
"Netherlands"	351	1	173	1	55	31	1175	10	7	188	82	11	27	0	129	2	55	1	42	67	
"Austria"	22	26	44	28	38	97	59	20	27	35	70	33	37	45	88	15	29	80	38	66	
"Belgium"	95	83	107	192	75	121	65	145	182	191	145	85	31	120	98	87	60	47	40	57	
"Czech Republic"	0	2	6	0	3	0	0	1	168	21	67	36	9	0	3	2	0	21	19	37	
"France"	4	20	17	35	23	18	24	16	11	28	22	35	25	34	26	44	4	41	15	32	
"Denmark"	2	15	3	9	1	4	4	33	44	5	15	4	12	9	11	19	42	43	20	19	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
"Philippines"	0	0	0	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	11	
"Qatar"	1	0	7	1	0	0	2	0	0	2	1	0	0	0	0	0	0	7	0	7	
"Hong Kong, China"	2	0	0	0	0	0	2	16	0	22	46	4	30	28	29	2	7	0	0	4	
"Switzerland"	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	2	0	0	0	0	
"Russian Federation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
"Saudi Arabia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
"Serbia"	0	0	43	0	0	0	0	0	43	0	0	38	0	0	40	0	39	0	0	0	
"Singapore"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	8	7	0	0	0	0	
"Slovakia"	3	62	0	156	1	708	537	0	0	0	0	0	0	0	0	0	0	0	0	0	
"New Zealand"	0	0	0	0	0	0	0	26	33	0	28	3	0	0	66	34	43	57	36	0	
"Norway"	4	0	0	0	9	0	0	0	8	0	14	0	0	0	0	2	0	0	0	0	
"Panama"	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	
"Israel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
"Japan"	0	0	0	0	0	56	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jordan"	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	18	17	9	0	0	0	0	0	0	0	9	36	18	18	9	27	9	9	0	0	
"Malaysia"	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Greece"	0	14	0	83	45	0	20	0	0	0	97	36	70	0	139	12	31	45	26	0	
"Bosnia and Herzegovina"	219	225	155	199	77	327	108	173	36	0	0	0	138	47	25	53	0	50	26	0	
"Brazil"	0	29	0	0	0	0	0	12	0	0	0	0	26	0	0	23	0	0	27	0	
"Eritrea"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bahrain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
"Australia"	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	
