Exporters	Imported value in 2006-M06	Imported value in 2006-M07	Imported value in 2006-M08	Imported value in 2006-M09	Imported value in 2006-M10	Imported value in 2006-M11	Imported value in 2006-M12	Imported value in 2007-M01	Imported value in 2007-M02	Imported value in 2007-M03	Imported value in 2007-M04	Imported value in 2007-M05	Imported value in 2007-M06	Imported value in 2007-M07	Imported value in 2007-M08	Imported value in 2007-M09	Imported value in 2007-M10	Imported value in 2007-M11	Imported value in 2007-M12	Imported value in 2008-M01	
"World"	8926	10246	10505	9935	7935	7957	8047	7971	10725	11654	9221	11704	11798	11683	9318	9527	13766	13213	8118	9489	
"China"	870	978	2285	1872	1265	635	1354	710	1588	1378	1141	2473	1613	2031	2693	3150	3226	3872	2014	2570	
"Italy"	1505	2117	1681	1925	1915	1647	1354	1391	1986	3180	1850	2172	2897	3693	2389	2015	1711	1925	606	1895	
"Germany"	1592	1524	2082	1821	1746	1464	1363	1765	2156	1022	1248	2220	2084	1462	1439	1377	1582	1557	1245	1270	
"Turkey"	1238	2303	1513	1797	1011	1317	1643	1690	2762	3066	2439	1869	1783	986	469	627	2269	2973	1819	1164	
"Poland"	123	60	0	72	5	51	29	39	95	156	271	153	309	775	526	342	409	739	471	900	
"Hungary"	1027	1325	930	530	190	776	574	928	841	475	456	611	998	461	490	672	650	575	376	567	
"Slovenia"	387	426	457	371	352	699	395	386	266	926	413	504	317	368	361	163	507	392	357	292	
"Sweden"	691	758	783	769	574	489	584	354	282	372	532	792	756	621	255	379	2179	189	421	182	
"France"	86	29	22	142	133	111	91	71	131	185	216	142	259	440	150	137	363	175	163	127	
"South Africa"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	40	42	126	
"Netherlands"	125	131	175	74	81	173	139	188	140	275	131	193	145	163	142	148	211	204	111	121	
"Denmark"	951	350	244	263	195	424	245	195	266	307	282	243	369	367	117	275	327	204	188	87	
"Austria"	76	51	48	85	86	58	9	95	102	55	41	35	44	124	69	79	109	54	34	61	
"Bulgaria"	0	0	0	0	0	0	0	16	9	41	61	32	30	34	18	30	14	27	69	45	
"Greece"	8	15	37	30	9	6	56	68	47	51	11	38	38	0	33	0	93	41	41	37	
"Spain"	34	26	49	24	299	22	42	20	1	32	28	14	14	8	13	15	88	32	26	26	
"United States of America"	205	115	163	74	61	37	21	9	2	19	33	69	22	58	76	38	14	59	37	18	
"Ireland"	2	2	0	1	0	30	2	4	4	2	1	1	11	3	2	4	2	4	1	1	
"Norway"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
"Portugal"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
"Qatar"	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	37	46	0	52	0	0	50	51	0	51	33	0	
"India"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Switzerland"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Thailand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Hong Kong, China"	0	7	7	86	0	0	119	0	0	49	0	90	102	83	24	10	0	76	60	0	
"Japan"	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	1	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	25	0	0	
"Luxembourg"	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	9	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	
"Bahrain"	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Belgium"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
"Brazil"	0	14	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	
"Croatia"	0	0	0	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Algeria"	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
