Exporters	Imported value in 2012-M10	Imported value in 2012-M11	Imported value in 2012-M12	Imported value in 2013-M01	Imported value in 2013-M02	Imported value in 2013-M03	Imported value in 2013-M04	Imported value in 2013-M05	Imported value in 2013-M06	Imported value in 2013-M07	Imported value in 2013-M08	Imported value in 2013-M09	Imported value in 2013-M10	Imported value in 2013-M11	Imported value in 2013-M12	Imported value in 2014-M01	Imported value in 2014-M02	Imported value in 2014-M03	Imported value in 2014-M04	Imported value in 2014-M05	
"World"	39710	38113	35256	29008	27939	27783	27710	26318	31170	40865	38303	40279	55691	49051	39134	33816	29577	35346	29650	36410	
"China"	10543	12084	12700	8967	7888	8057	5614	7976	9680	10989	10257	12448	12162	14179	11287	11252	7052	10008	6719	7770	
"Turkey"	8103	5803	5671	3962	7402	4966	5126	3433	4737	7015	6053	5583	11582	7495	6803	5515	7815	5443	8483	7565	
"Korea, Republic of"	4951	6572	5662	3772	1637	3680	2041	2493	1868	5322	5018	3753	5854	8658	5064	2910	2091	4772	1169	6275	
"Poland"	5812	5206	3484	3538	2370	3283	4749	3505	5763	4550	5758	5113	6486	4974	6240	4454	4094	3691	3562	5496	
"Germany"	3111	2196	1968	3098	2267	2812	4681	2655	3183	4990	3103	3424	4534	4611	3690	3265	3261	4545	3589	3570	
"Italy"	3009	2930	2554	2373	2959	2408	2397	2948	2310	3217	2473	4405	8777	3271	1863	2399	1677	3715	2398	2633	
"United States of America"	492	286	73	189	690	252	222	379	561	976	722	513	361	354	447	390	603	148	1008	896	
"Thailand"	446	388	610	525	417	460	605	171	145	411	327	341	266	851	517	173	260	247	325	469	
"Spain"	467	283	219	292	259	359	485	316	221	627	455	673	1136	470	347	250	398	405	253	448	
"Hungary"	866	628	650	755	443	397	324	1342	1604	1090	2535	1988	1671	1285	1195	1233	800	731	973	412	
"Ireland"	156	335	166	169	111	71	121	155	157	228	244	153	255	186	224	153	192	243	113	213	
"Czech Republic"	278	46	26	53	56	65	84	165	69	116	30	253	142	63	31	2	107	28	57	189	
"Austria"	101	142	0	120	116	46	47	39	90	42	63	93	97	109	54	26	201	44	44	116	
"Slovenia"	297	434	195	145	178	159	200	103	104	237	216	341	419	556	174	497	532	375	154	116	
"Mexico"	93	207	377	134	103	100	0	76	0	241	0	0	102	0	0	209	0	171	0	91	
"Bulgaria"	323	382	202	280	151	163	46	63	172	337	228	454	401	434	410	84	412	257	394	70	
"Denmark"	14	11	77	24	14	17	15	17	14	70	28	35	23	17	27	13	13	18	31	43	
"Australia"	0	0	0	0	51	0	0	0	49	0	0	0	0	0	0	0	0	21	0	19	
"South Africa"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	13	
"Netherlands"	173	6	257	321	701	352	93	24	91	5	1	1	0	0	1	0	0	5	74	6	
"New Zealand"	36	10	8	45	17	32	60	105	7	40	162	70	0	4	0	51	2	2	0	0	
"Norway"	3	0	0	21	0	0	4	15	2	29	19	17	16	15	0	0	0	4	0	0	
"Taipei, Chinese"	0	9	18	9	9	17	0	0	36	26	9	36	27	9	36	0	0	0	0	0	
"Sweden"	0	0	0	35	24	20	66	255	117	90	84	218	72	87	118	57	36	0	0	0	
"Switzerland"	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	0	16	0	8	84	0	0	0	0	7	0	0	0	0	9	0	0	0	
"Hong Kong, China"	164	3	3	3	0	0	522	17	110	37	415	203	684	1401	410	101	0	398	289	0	
"France"	18	13	10	14	4	52	14	14	25	13	31	20	24	0	5	8	4	6	2	0	
"Canada"	0	0	0	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sri Lanka"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	
"Chile"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
"Bahrain"	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
"Belgium"	73	58	220	2	0	0	0	2	13	15	33	2	18	0	0	0	0	0	0	0	
"Bosnia and Herzegovina"	72	36	55	36	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Brazil"	13	10	0	12	25	0	0	0	0	0	37	10	0	0	0	26	15	0	0	0	
"Indonesia"	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Japan"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	30	0	0	0	0	37	39	0	0	0	0	0	0	0	0	0	0	0	
"Luxembourg"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	52	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	3	0	
"Qatar"	0	5	4	0	2	6	0	1	2	0	4	0	1	3	3	0	0	0	0	0	
"Russian Federation"	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	69	0	0	
"India"	10	0	0	0	0	0	0	0	0	109	0	1	0	0	23	0	0	0	0	0	
"Singapore"	27	27	0	73	34	0	0	0	0	21	0	0	0	0	0	479	0	0	0	0	
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	118	516	0	166	266	0	0	0	0	
