Exporters	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	Imported value in 2015-M05	Imported value in 2015-M06	Imported value in 2015-M07	Imported value in 2015-M08	Imported value in 2015-M09	Imported value in 2015-M10	Imported value in 2015-M11	Imported value in 2015-M12	
"World"	19341	19160	27976	23745	25485	28629	19653	20981	14855	13012	14769	14862	14398	16817	20564	15456	19660	20331	15086	10139	
"China"	4157	3752	4328	4242	5122	4299	3147	2672	3567	3853	3353	3789	3496	4226	4530	3545	4691	4328	3016	2640	
"Italy"	3097	3366	5815	3804	3724	4985	3079	3240	2274	2223	3766	3666	3783	3689	4796	2028	3670	4273	2941	2208	
"Turkey"	4074	3551	5542	4649	4160	4079	2713	2726	2621	1526	1612	1885	1606	2355	2656	3164	3653	3709	2279	1165	
"Germany"	1153	1313	658	1008	528	774	555	855	1449	336	621	462	646	688	631	702	902	893	642	890	
"Denmark"	1037	955	1562	984	1241	1412	886	969	820	923	845	937	958	992	1238	965	1082	1158	607	637	
"United States of America"	508	517	740	736	2128	2548	2135	2123	439	564	595	419	370	450	673	630	673	671	750	632	
"Portugal"	998	999	1121	581	775	739	457	435	395	591	504	521	402	473	743	385	961	613	1159	403	
"Austria"	1374	2132	2363	1466	2087	2563	2239	826	1700	1154	861	766	1097	1682	2448	1274	1297	1939	1011	376	
"Czech Republic"	330	821	3067	4480	3504	4681	1762	3947	311	513	784	934	563	1028	1216	1226	1284	1103	1153	363	
"Ireland"	758	312	461	140	918	469	744	1844	95	256	223	294	252	58	164	407	435	197	401	322	
"France"	58	38	183	51	286	108	556	524	457	91	14	54	87	32	79	40	13	7	114	146	
"Mexico"	144	130	108	121	97	128	108	203	63	127	104	43	129	119	68	81	71	157	143	83	
"Slovakia"	144	196	308	182	75	53	244	15	223	194	227	263	188	0	94	17	111	477	164	76	
"Netherlands"	633	755	1122	943	487	1289	596	362	309	442	555	277	483	549	777	588	504	389	437	56	
"Spain"	68	0	174	83	64	0	38	1	75	0	79	277	137	103	39	127	31	126	80	51	
"Greece"	4	42	83	91	0	20	17	0	0	59	50	77	54	85	103	95	59	51	51	50	
"Hungary"	8	13	14	14	15	149	14	100	14	97	9	27	12	23	83	40	11	23	11	21	
"Belgium"	80	29	25	27	32	30	35	42	16	12	16	16	10	38	35	26	111	21	30	11	
"Singapore"	0	0	0	0	0	0	0	0	0	16	86	0	10	0	0	5	0	5	23	5	
"Hong Kong, China"	2	0	74	0	25	24	91	0	4	0	132	9	14	47	156	18	0	0	0	3	
"Japan"	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0	0	0	3	0	1	
"Slovenia"	0	0	1	36	0	0	1	44	12	6	0	15	12	14	0	1	3	0	0	1	
"South Africa"	402	78	78	0	40	36	34	29	0	0	70	0	34	0	0	33	0	76	0	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	28	12	0	0	0	29	0	0	4	0	36	0	0	0	0	0	0	14	0	0	
"New Zealand"	0	0	58	0	10	91	11	0	0	0	92	0	0	23	0	42	0	2	12	0	
"Norway"	0	0	0	0	0	0	0	0	0	0	3	0	0	16	0	1	0	0	0	0	
"Poland"	117	94	53	88	97	69	103	0	3	0	42	19	7	65	0	0	50	66	5	0	
"Qatar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	0	60	47	45	0	0	0	0	55	0	
"Russian Federation"	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	
"Serbia"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	111	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jordan"	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kenya"	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	20	0	13	0	0	0	0	12	0	0	0	0	0	0	0	0	
"Luxembourg"	0	36	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Malaysia"	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	
"Bulgaria"	31	0	35	0	33	0	37	0	0	29	0	29	0	0	34	0	0	32	0	0	
"Sweden"	1	1	4	1	2	22	2	0	1	0	0	1	0	1	1	1	1	0	0	0	
"Switzerland"	0	0	0	0	0	2	0	18	0	0	0	9	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	18	0	0	0	0	36	6	0	0	5	0	0	18	0	9	9	0	0	0	
