Exporters	Imported value in 2009-M08	Imported value in 2009-M09	Imported value in 2009-M10	Imported value in 2009-M11	Imported value in 2009-M12	Imported value in 2010-M01	Imported value in 2010-M02	Imported value in 2010-M03	Imported value in 2010-M04	Imported value in 2010-M05	Imported value in 2010-M06	Imported value in 2010-M07	Imported value in 2010-M08	Imported value in 2010-M09	Imported value in 2010-M10	Imported value in 2010-M11	Imported value in 2010-M12	Imported value in 2011-M01	Imported value in 2011-M02	Imported value in 2011-M03	
"World"	18283	24381	22088	18630	10465	13676	16940	17196	16713	18263	19014	21478	22390	26412	26973	17282	16637	16703	16532	19442	
"Italy"	3842	5487	4642	3775	1995	2552	3776	3570	4173	4006	4425	6537	3863	4619	4209	3405	4124	3446	4053	5333	
"Turkey"	2336	3349	2730	3027	1356	1378	1547	1067	1752	1362	1691	1698	2355	3854	6271	5341	2500	2997	2590	2785	
"Czech Republic"	2263	3441	3512	2719	370	1123	3287	3543	1234	3234	3864	3265	4808	6757	6291	357	2842	1887	2350	2448	
"China"	2110	2363	1987	2015	1515	2585	1880	2702	3315	3824	2011	2910	3392	3534	1801	1966	1559	2929	1737	1860	
"Denmark"	1154	1899	1072	1189	782	763	1008	1489	1079	1109	1105	1291	1206	1291	1077	1074	812	808	992	1392	
"Germany"	483	961	771	776	667	455	505	905	590	757	671	559	658	821	659	685	408	499	806	1108	
"Portugal"	908	1200	1243	1035	480	643	642	809	888	621	637	840	753	882	1062	906	690	684	689	1063	
"United States of America"	804	880	1049	1003	942	1426	1300	514	1055	766	1082	786	1419	1259	1643	928	1227	412	598	748	
"Ireland"	371	408	537	473	309	222	319	321	199	540	357	400	208	310	529	442	575	131	419	562	
"Austria"	987	972	1847	873	451	1249	1185	841	865	927	1078	1023	994	756	732	629	95	837	748	477	
"Finland"	145	254	241	149	75	27	139	3	132	74	112	228	346	201	149	117	121	234	81	321	
"Netherlands"	116	162	306	147	73	93	86	122	73	99	100	94	81	152	152	189	126	98	218	286	
"Hong Kong, China"	66	0	61	0	0	12	4	0	0	0	10	6	6	4	5	0	154	476	109	217	
"Mexico"	77	35	224	180	150	32	74	115	160	180	128	186	141	130	191	180	231	120	144	154	
"Hungary"	137	328	88	92	103	231	88	66	223	38	363	130	666	104	199	2	359	58	276	135	
"Greece"	112	61	140	118	168	27	62	67	114	75	190	216	0	83	36	31	13	66	77	129	
"France"	946	908	548	169	90	89	137	367	125	140	287	353	172	525	782	211	84	228	227	122	
"Poland"	316	303	431	351	236	271	353	157	208	71	106	222	293	357	356	334	135	606	224	120	
"Slovakia"	53	0	82	75	5	68	70	74	102	68	46	64	53	178	59	0	0	0	0	61	
"Belgium"	48	88	49	110	2	15	4	18	41	24	80	37	139	33	22	110	55	99	29	39	
"New Zealand"	11	0	50	52	31	41	0	19	22	29	0	24	75	42	33	59	57	0	65	36	
"Spain"	303	129	197	251	331	220	151	119	124	133	198	332	98	133	218	175	293	11	100	28	
"Thailand"	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	7	0	0	7	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	72	0	6	
"Sweden"	4	7	1	4	1	3	0	1	1	1	116	9	0	5	1	0	1	1	0	2	
"South Africa"	41	41	12	3	0	0	0	4	93	38	38	83	271	0	0	0	72	0	0	2	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	27	5	0	0	0	0	0	0	0	0	
"United Arab Emirates"	69	74	59	2	64	3	71	63	0	1	22	0	0	0	0	0	11	0	0	0	
"Croatia"	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
"Indonesia"	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	
"Brazil"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Argentina"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Norway"	0	0	0	0	0	0	0	3	0	3	8	0	6	0	8	0	0	0	0	0	
"Taipei, Chinese"	285	381	0	0	0	3	0	112	3	32	108	174	372	259	428	55	0	0	0	0	
"Korea, Republic of"	2	35	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	3	0	0	
"Lebanon"	121	412	67	0	121	122	133	122	76	0	54	0	0	0	0	0	0	0	0	0	
"Luxembourg"	0	5	0	9	5	12	16	0	0	17	0	0	0	8	0	19	0	0	0	0	
"Malaysia"	1	0	5	0	0	0	7	0	0	0	0	0	14	18	1	0	0	0	0	0	
"Slovenia"	0	0	38	1	0	11	0	3	1	3	6	0	1	3	6	8	4	0	1	0	
"Qatar"	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	
"Russian Federation"	161	199	100	3	137	0	83	0	59	0	95	0	0	95	45	0	80	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	
"Singapore"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	
