Exporters	Imported value in 2015-M12	Imported value in 2016-M01	Imported value in 2016-M02	Imported value in 2016-M03	Imported value in 2016-M04	Imported value in 2016-M05	Imported value in 2016-M06	Imported value in 2016-M07	Imported value in 2016-M08	Imported value in 2016-M09	Imported value in 2016-M10	Imported value in 2016-M11	Imported value in 2016-M12	Imported value in 2017-M01	Imported value in 2017-M02	Imported value in 2017-M03	Imported value in 2017-M04	Imported value in 2017-M05	Imported value in 2017-M06	Imported value in 2017-M07	
"World"	10139	13727	14986	22009	16189	16007	18764	17942	17568	22888	19928	21228	17983	18026	20479	17779	17171	18835	20417	23850	
"China"	2640	4290	3617	5119	4446	4182	4870	4445	4836	6342	3861	5284	3868	5121	5655	3576	4198	4482	4631	5225	
"Turkey"	1165	1735	1305	2675	1294	1628	3434	2262	3428	3963	3750	3486	876	1141	1399	1671	2025	2670	3661	4058	
"Austria"	376	1193	871	1456	2232	1306	2160	1635	1816	3158	1994	982	648	1678	2310	2590	2661	1986	2385	3458	
"Czech Republic"	363	528	2364	4283	285	754	253	899	355	724	1729	3037	4440	3500	3789	1546	982	1536	1858	2892	
"Italy"	2208	2812	2176	2324	2242	3470	3106	4078	3725	3328	3747	3943	3329	2103	2808	2775	2420	2867	2350	2729	
"United States of America"	632	467	525	737	622	712	895	602	539	1062	927	774	657	699	683	1831	1629	791	809	974	
"Portugal"	403	261	774	641	820	467	799	756	367	678	941	764	653	557	712	774	670	907	740	951	
"Germany"	890	468	1148	1364	658	649	1035	736	663	796	638	874	1987	1253	1607	1530	832	944	1232	745	
"Ireland"	322	38	178	152	117	54	18	480	344	706	255	280	280	450	46	208	262	124	240	428	
"Denmark"	637	560	810	764	759	742	1064	761	833	776	955	681	483	112	40	103	40	844	737	379	
"Hungary"	21	24	44	18	0	5	0	43	0	0	2	0	0	0	0	149	284	510	565	376	
"Netherlands"	56	245	434	422	386	342	466	368	219	382	311	334	164	981	920	228	213	217	346	337	
"Slovakia"	76	97	86	442	22	980	275	334	47	255	258	284	97	100	152	319	259	242	190	329	
"France"	146	6	140	58	51	96	38	112	54	318	46	154	15	29	7	74	19	171	194	256	
"Thailand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	168	
"Romania"	0	319	39	0	38	75	0	41	4	40	45	37	37	35	37	0	68	40	15	95	
"Mexico"	83	55	113	162	176	183	107	123	110	147	115	133	127	66	109	85	85	55	75	91	
"Greece"	50	49	110	63	84	91	67	50	86	58	73	41	48	26	75	42	69	81	107	88	
"South Africa"	0	1	0	32	34	98	0	31	0	0	0	52	0	28	5	73	72	0	32	62	
"Hong Kong, China"	3	0	142	101	37	60	12	95	10	2	19	0	0	61	0	34	26	202	52	58	
"Spain"	51	1	56	36	54	53	81	18	70	115	132	12	103	66	48	3	48	54	73	37	
"Belgium"	11	18	30	33	21	18	17	28	24	27	35	15	12	14	15	27	29	21	29	34	
"Poland"	0	58	12	137	0	0	7	0	38	5	33	0	116	0	25	0	0	11	0	33	
"New Zealand"	0	0	3	0	0	0	13	1	0	0	23	0	0	0	11	0	0	0	10	15	
"India"	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	4	0	0	9	
"Norway"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	8	
"Singapore"	5	0	0	0	0	11	15	0	0	0	5	5	0	0	6	0	27	11	5	7	
"Sweden"	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	142	0	0	6	
"Switzerland"	0	0	0	0	3	5	0	6	0	0	0	0	0	0	10	31	16	2	0	1	
"United Arab Emirates"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	
"Egypt"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Slovenia"	1	24	0	14	14	7	0	1	0	0	4	19	43	0	6	0	11	15	22	0	
"Russian Federation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
"Pakistan"	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	0	0	8	12	0	0	0	0	32	0	0	0	0	0	0	0	11	0	
"Brazil"	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bulgaria"	0	253	0	0	28	0	0	24	1	1	0	0	0	0	0	0	1	25	0	0	
"Canada"	0	0	4	0	0	3	0	0	0	0	0	0	0	0	2	0	29	0	1	0	
"Bahrain"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	
"Colombia"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Finland"	0	0	0	0	0	2	24	8	0	3	0	0	0	0	0	0	0	5	0	0	
"Japan"	1	38	0	64	116	0	11	0	0	0	0	0	0	0	0	0	29	0	0	0	
"Jordan"	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	102	0	889	1634	0	0	0	0	0	0	22	0	0	0	1	18	0	27	0	
"Malaysia"	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	13	0	0	
