Exporters	Imported value in 2011-M03	Imported value in 2011-M04	Imported value in 2011-M05	Imported value in 2011-M06	Imported value in 2011-M07	Imported value in 2011-M08	Imported value in 2011-M09	Imported value in 2011-M10	Imported value in 2011-M11	Imported value in 2011-M12	Imported value in 2012-M01	Imported value in 2012-M02	Imported value in 2012-M03	Imported value in 2012-M04	Imported value in 2012-M05	Imported value in 2012-M06	Imported value in 2012-M07	Imported value in 2012-M08	Imported value in 2012-M09	Imported value in 2012-M10	
"World"	18290	26005	23785	24843	30639	25558	25852	35859	38877	38281	31681	29128	28484	29186	29332	28377	36468	31406	33866	39710	
"China"	3856	6100	6688	7432	10759	8419	6695	6778	7635	8030	10392	8683	5034	5328	6953	6848	10133	10427	10095	10543	
"Turkey"	914	1510	1545	2806	2626	3867	5147	11462	10564	10409	6970	6614	9119	9080	6299	6235	8792	7251	4330	8103	
"Poland"	2852	2715	2654	3618	2812	3090	3264	3220	5304	4264	2408	2178	2138	2206	2366	2419	2688	3342	3997	5812	
"Korea, Republic of"	1909	6993	4250	2911	5513	2213	1695	5945	6287	7752	4745	4147	2884	2488	3607	4305	4408	2576	5731	4951	
"Germany"	2809	2608	2767	2662	2615	2644	2961	2877	2976	2601	2115	1729	2339	3582	3900	2576	4193	2719	2855	3111	
"Italy"	2726	2823	2896	2316	2686	1810	2946	1834	2866	2312	2471	2427	3146	3167	2910	2748	2299	1602	2589	3009	
"Hungary"	706	791	706	449	578	801	490	1888	622	802	5	1080	507	417	449	683	918	873	1016	866	
"United States of America"	412	611	950	348	297	416	361	335	622	150	672	216	1051	916	757	148	175	386	280	492	
"Spain"	220	548	299	224	216	349	256	262	359	377	294	131	307	464	501	307	315	262	213	467	
"Thailand"	742	540	331	540	1405	621	383	146	66	58	245	71	358	63	455	545	471	215	148	446	
"Bulgaria"	130	277	162	308	282	129	271	275	227	250	257	93	359	228	293	174	290	192	286	323	
"Slovenia"	106	35	134	27	159	101	207	130	148	124	86	141	227	188	249	236	234	189	251	297	
"Czech Republic"	37	0	0	0	5	11	17	56	20	29	0	7	1	0	0	0	140	94	198	278	
"Netherlands"	67	32	0	496	324	363	471	153	621	547	525	1024	452	331	108	10	634	2	879	173	
"Hong Kong, China"	4	24	22	2	5	0	17	25	7	5	17	72	28	12	62	32	0	68	8	164	
"Ireland"	93	89	170	217	141	267	88	194	104	71	157	297	119	94	62	315	122	161	135	156	
"Austria"	66	80	126	74	74	81	141	86	86	96	11	77	61	53	46	37	141	103	106	101	
"Mexico"	400	0	0	0	15	0	263	0	0	119	142	0	115	106	0	491	111	544	107	93	
"Belgium"	57	79	0	176	28	109	65	103	147	47	102	83	179	249	215	187	149	150	197	73	
"Bosnia and Herzegovina"	0	0	27	26	26	0	0	0	0	40	0	0	0	111	18	0	0	69	53	72	
"Malaysia"	0	0	0	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	
"New Zealand"	0	31	0	39	0	52	0	0	12	43	2	4	7	42	10	20	72	88	59	36	
"Singapore"	0	13	3	0	0	0	22	0	26	44	0	0	0	0	0	0	21	4	0	27	
"France"	32	15	20	31	13	51	31	25	23	32	14	10	16	13	13	5	13	13	19	18	
"Denmark"	19	22	9	21	9	11	8	9	14	8	16	9	25	9	17	10	14	27	37	14	
"Brazil"	0	0	0	13	0	0	12	0	13	36	10	10	13	0	0	25	20	0	0	13	
"India"	0	52	0	52	0	78	40	33	64	0	0	0	0	0	0	0	0	6	0	10	
"Bahrain"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	3	0	0	0	5	
"Norway"	0	0	0	3	0	0	0	4	0	0	0	0	0	0	32	6	0	0	0	3	
"Luxembourg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
"Kuwait"	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	
"Philippines"	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	75	0	
"Taipei, Chinese"	0	18	9	0	35	18	0	18	9	27	9	9	0	18	0	9	0	18	18	0	
"Qatar"	7	0	0	3	0	12	0	0	0	0	2	2	0	0	0	0	5	2	0	0	
"Serbia"	0	0	0	28	0	45	0	0	44	0	0	0	0	0	0	0	0	0	0	0	
"Canada"	0	0	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	
"Japan"	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	
"Indonesia"	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	
"Sweden"	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	181	0	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	24	0	0	
