Exporters	Imported value in 2012-M10	Imported value in 2012-M11	Imported value in 2012-M12	Imported value in 2013-M01	Imported value in 2013-M02	Imported value in 2013-M03	Imported value in 2013-M04	Imported value in 2013-M05	Imported value in 2013-M06	Imported value in 2013-M07	Imported value in 2013-M08	Imported value in 2013-M09	Imported value in 2013-M10	Imported value in 2013-M11	Imported value in 2013-M12	Imported value in 2014-M01	Imported value in 2014-M02	Imported value in 2014-M03	Imported value in 2014-M04	Imported value in 2014-M05	
"World"	25264	17703	12790	14148	13395	13821	15274	19400	18801	20901	24819	24137	28674	24425	15503	15615	16907	21466	17971	19341	
"China"	4271	2277	2397	2563	2138	1884	1566	2132	2535	2820	2927	3498	3536	2873	2670	3352	2597	4233	3162	4157	
"Turkey"	2541	2396	1538	1826	1546	1763	2188	3034	2566	3467	4130	4172	3755	5907	2421	3117	2891	3617	4169	4074	
"Italy"	7439	5535	3301	2042	2235	2554	2602	3891	4264	5651	7983	7575	7913	3971	3914	2772	3066	4029	2965	3097	
"Austria"	960	676	806	2751	1102	2201	2746	347	3495	1439	1853	1283	3620	3608	1031	2161	2574	3480	1717	1374	
"Germany"	1392	946	976	1104	723	1328	990	796	809	825	752	712	1420	819	655	493	784	875	477	1153	
"Denmark"	1050	768	591	989	728	807	816	839	730	1348	1301	1349	1247	1079	711	771	893	1025	823	1037	
"Portugal"	925	1275	523	349	1179	695	492	708	652	1088	690	727	1430	1653	805	796	952	767	1060	998	
"Ireland"	140	501	278	85	227	69	80	386	281	230	677	189	327	270	406	145	212	334	546	758	
"Netherlands"	396	573	306	507	262	285	298	364	333	956	1207	745	1448	593	264	649	366	1095	784	633	
"United States of America"	739	567	726	435	444	574	496	712	783	487	683	831	715	660	694	385	1209	429	731	508	
"South Africa"	8	0	0	44	0	0	0	0	0	205	42	80	0	0	39	125	0	41	171	402	
"Czech Republic"	3268	826	164	1008	765	498	1260	3012	769	855	1131	1154	1474	1412	367	219	421	340	171	330	
"Mexico"	154	125	132	83	129	92	137	157	167	195	191	252	206	161	133	53	127	80	84	144	
"Slovakia"	302	141	156	23	341	324	161	120	72	153	144	215	200	311	84	90	105	286	222	144	
"Poland"	647	527	269	102	520	262	422	2184	163	278	389	504	415	405	147	178	164	148	50	117	
"India"	93	96	5	97	99	102	368	79	91	51	133	90	212	140	296	162	307	206	308	111	
"Belgium"	16	10	16	9	9	16	11	15	28	24	23	25	26	39	38	24	72	20	27	80	
"Spain"	104	0	68	6	8	27	84	20	105	98	127	120	36	151	73	65	73	95	59	68	
"France"	260	191	306	61	383	169	484	221	403	504	193	226	348	214	562	53	2	209	228	58	
"Bulgaria"	35	33	33	0	29	28	16	0	29	0	32	0	30	0	34	0	0	35	0	31	
"Taipei, Chinese"	0	0	0	0	5	11	22	4	5	0	17	12	0	0	0	0	26	5	56	28	
"Malaysia"	0	0	3	36	0	0	0	0	0	0	0	0	27	54	64	0	0	0	0	26	
"Hungary"	150	41	4	15	113	100	25	25	179	48	105	250	34	36	33	3	41	66	119	8	
"Greece"	23	36	0	7	1	1	0	0	0	0	37	8	15	0	0	1	0	0	0	4	
"Hong Kong, China"	4	0	100	0	234	5	9	0	342	93	0	19	72	28	0	0	4	0	0	2	
"Sweden"	2	5	1	1	1	0	3	1	0	1	5	0	4	0	1	1	1	1	0	1	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	10	6	0	0	
"United Arab Emirates"	83	0	0	0	0	0	1	4	0	0	0	12	0	0	25	0	0	0	34	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	
"Finland"	167	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Congo"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	82	13	0	16	0	0	0	1	0	0	0	
"Sierra Leone"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Singapore"	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	
"Slovenia"	0	0	1	0	1	2	0	0	0	2	0	3	1	3	2	0	1	0	1	0	
"New Zealand"	11	11	47	0	10	23	0	46	0	0	23	11	16	30	34	0	0	40	0	0	
"Norway"	2	5	2	0	0	0	0	50	0	0	6	0	23	0	0	0	0	2	0	0	
"Japan"	79	28	42	0	165	0	0	252	0	0	0	59	90	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Luxembourg"	3	0	0	0	0	0	0	2	1	0	0	3	16	0	0	0	0	0	0	0	
"Madagascar"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
