Exporters	Imported value in 2015-M12	Imported value in 2016-M01	Imported value in 2016-M02	Imported value in 2016-M03	Imported value in 2016-M04	Imported value in 2016-M05	Imported value in 2016-M06	Imported value in 2016-M07	Imported value in 2016-M08	Imported value in 2016-M09	Imported value in 2016-M10	Imported value in 2016-M11	Imported value in 2016-M12	Imported value in 2017-M01	Imported value in 2017-M02	Imported value in 2017-M03	Imported value in 2017-M04	Imported value in 2017-M05	Imported value in 2017-M06	Imported value in 2017-M07	
"World"	35743	28756	33790	32514	40002	35197	41843	39301	41971	37386	35870	46004	42753	35937	29991	32748	34011	34124	35339	39810	
"China"	11203	10635	9601	11733	14078	10564	14956	13120	14194	11572	11117	16750	18421	16572	8666	13610	12997	11315	13141	13783	
"Poland"	6177	4333	5131	5507	5408	5668	7624	8389	8173	7294	6494	8410	6880	4558	4168	4055	4859	4968	5868	6959	
"Turkey"	6262	3006	6997	5350	5633	6361	6892	5045	7617	4646	5679	5441	5156	3374	5844	3573	4114	4454	5113	5098	
"Korea, Republic of"	4980	1945	2347	1551	3662	2976	3011	3848	2898	3786	3591	5708	4652	3062	2368	2403	2626	1568	1731	4396	
"Italy"	1972	3139	3288	3248	3083	3108	2707	2091	2660	3230	2766	2932	1610	2149	2648	3776	2348	3687	2711	3329	
"Germany"	2909	3112	2833	2073	3745	3089	3119	3996	3789	3799	3219	3965	3094	3583	3123	2507	3689	3898	4700	2773	
"United States of America"	155	243	748	969	796	509	468	459	751	1011	1051	739	1060	1171	1624	1508	957	1605	780	1080	
"Thailand"	60	59	38	57	441	158	226	141	305	254	219	207	339	117	17	248	101	341	312	726	
"Bulgaria"	28	55	533	276	800	747	514	489	136	220	258	176	279	325	647	182	1491	1450	377	549	
"Hungary"	271	339	377	351	516	502	662	403	261	330	265	460	211	152	183	137	213	219	199	358	
"India"	59	136	168	173	351	90	156	303	152	289	221	78	63	193	0	340	303	159	18	155	
"Ireland"	112	128	158	202	122	156	215	198	264	217	430	295	131	113	139	119	68	140	167	119	
"Slovenia"	192	293	180	179	127	71	178	62	142	138	116	62	40	85	61	59	71	93	63	102	
"Malaysia"	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	99	
"Singapore"	124	94	26	34	19	0	0	0	0	12	0	0	0	2	0	0	0	0	0	98	
"Slovakia"	119	169	47	0	54	32	77	117	15	66	60	299	182	193	16	32	0	43	22	93	
"Austria"	13	36	71	72	62	3	23	1	60	69	45	38	50	53	56	0	79	41	65	55	
"Philippines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	12	
"Australia"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
"Spain"	795	726	441	235	627	837	882	540	438	356	239	257	511	200	272	123	79	20	30	8	
"New Zealand"	0	2	0	0	5	45	21	0	0	33	4	6	5	17	10	5	0	20	0	4	
"Norway"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	42	0	2	
"Pakistan"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mexico"	135	0	734	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	18	27	0	0	8	0	6	7	0	0	14	0	0	7	5	0	10	10	0	0	
"South Africa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
"Saudi Arabia"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Serbia"	32	67	56	44	0	56	24	17	0	37	13	8	2	7	136	27	5	20	0	0	
"Seychelles"	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	
"Belgium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	50	52	0	0	0	0	0	0	0	
"Denmark"	10	22	13	19	15	29	27	0	19	28	18	11	11	3	3	2	0	4	0	0	
"France"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	
"Iceland"	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Indonesia"	0	0	0	14	0	0	0	0	24	0	0	0	0	0	0	38	0	0	0	0	
"Japan"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	10	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
"Hong Kong, China"	109	191	0	19	302	196	48	76	75	0	23	110	0	0	0	0	0	0	0	0	
"Switzerland"	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
"United Arab Emirates"	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
"Egypt"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
