Exporters	Imported value in 2011-M03	Imported value in 2011-M04	Imported value in 2011-M05	Imported value in 2011-M06	Imported value in 2011-M07	Imported value in 2011-M08	Imported value in 2011-M09	Imported value in 2011-M10	Imported value in 2011-M11	Imported value in 2011-M12	Imported value in 2012-M01	Imported value in 2012-M02	Imported value in 2012-M03	Imported value in 2012-M04	Imported value in 2012-M05	Imported value in 2012-M06	Imported value in 2012-M07	Imported value in 2012-M08	Imported value in 2012-M09	Imported value in 2012-M10	
"World"	19442	20351	22966	23555	26860	22310	25088	19240	16114	15225	14725	16962	18874	17546	21933	23265	22400	21755	22024	25264	
"Italy"	5333	5174	3875	4282	5781	3588	3583	3366	4150	2779	2170	3467	5509	4470	4516	4629	4795	5297	4577	7439	
"China"	1860	2535	2210	2472	3241	3881	3419	2989	2369	2460	3033	3122	2049	2425	3282	3904	3667	3100	3652	4271	
"Czech Republic"	2448	754	3131	4267	7113	5022	7806	2685	177	1941	1477	675	2644	431	4068	3493	2488	2820	4280	3268	
"Turkey"	2785	3856	5520	4751	3468	2453	3078	2200	2206	1372	3978	2643	1783	3101	2895	3502	4084	3879	2263	2541	
"Germany"	1108	1431	1594	827	1040	937	938	1146	1488	2483	490	998	1508	1284	894	916	1272	695	1728	1392	
"Denmark"	1392	882	955	1341	1453	1395	1347	866	1058	797	671	691	993	1093	1081	1181	1298	1320	1130	1050	
"Austria"	477	583	890	988	949	1412	759	1062	817	523	629	1743	743	636	1461	1979	849	459	576	960	
"Portugal"	1063	930	935	1012	1026	609	854	692	856	647	730	1009	941	1138	951	954	1066	725	657	925	
"United States of America"	748	862	794	590	926	652	850	1058	825	424	601	770	869	1152	904	669	584	777	699	739	
"Poland"	120	399	652	428	297	549	343	435	275	602	251	575	400	515	329	265	328	354	385	647	
"Netherlands"	286	88	121	130	163	612	132	1037	697	13	111	56	219	75	205	145	443	419	639	396	
"Slovakia"	61	0	23	0	13	9	31	66	0	0	0	0	15	6	5	63	0	125	252	302	
"France"	122	702	644	270	265	62	116	265	185	226	119	248	284	104	150	376	443	245	440	260	
"Finland"	321	545	190	146	239	205	504	260	403	4	106	38	82	130	153	65	21	67	156	167	
"Mexico"	154	178	163	191	112	165	186	284	171	132	53	114	126	113	127	116	67	97	127	154	
"Hungary"	135	214	63	365	285	0	186	151	0	203	0	119	49	13	198	59	232	310	38	150	
"Ireland"	562	184	86	388	175	337	347	433	68	235	101	329	342	378	503	509	356	759	167	140	
"Spain"	28	26	94	359	128	92	140	37	117	227	5	127	155	87	0	108	53	78	0	104	
"India"	0	0	6	0	0	0	0	0	0	0	67	64	63	53	13	100	111	49	55	93	
"United Arab Emirates"	0	0	0	0	0	0	0	0	9	0	0	0	0	41	0	0	0	0	0	83	
"Japan"	0	0	0	0	0	0	3	26	0	0	0	0	0	0	0	0	0	0	0	79	
"Bulgaria"	0	0	0	0	0	0	0	0	0	1	0	0	0	35	0	0	0	34	0	35	
"Greece"	129	119	106	94	69	55	89	57	58	58	51	57	59	72	0	67	81	88	63	23	
"Belgium"	39	30	16	17	30	25	357	16	30	18	18	8	14	11	32	7	25	28	14	16	
"New Zealand"	36	84	88	58	42	92	11	35	49	46	50	0	23	53	94	0	59	11	58	11	
"South Africa"	2	0	0	38	0	42	0	46	47	0	10	0	0	83	0	0	36	0	44	8	
"Hong Kong, China"	217	715	786	529	36	24	1	0	9	14	2	9	0	2	23	65	5	0	0	4	
"Luxembourg"	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	5	20	0	0	3	
"Norway"	0	4	0	0	0	2	2	0	0	0	2	4	0	2	0	0	9	4	5	2	
"Sweden"	2	23	18	1	3	6	1	5	1	10	1	5	3	16	4	6	4	12	1	2	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Thailand"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Slovenia"	0	7	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	6	0	0	0	27	2	7	7	10	0	74	0	29	0	73	0	0	18	0	
"Singapore"	0	18	0	12	0	0	0	17	39	0	0	14	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Guatemala"	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Canada"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	8	0	0	0	0	
