Exporters	Imported value in 2009-M08	Imported value in 2009-M09	Imported value in 2009-M10	Imported value in 2009-M11	Imported value in 2009-M12	Imported value in 2010-M01	Imported value in 2010-M02	Imported value in 2010-M03	Imported value in 2010-M04	Imported value in 2010-M05	Imported value in 2010-M06	Imported value in 2010-M07	Imported value in 2010-M08	Imported value in 2010-M09	Imported value in 2010-M10	Imported value in 2010-M11	Imported value in 2010-M12	Imported value in 2011-M01	Imported value in 2011-M02	Imported value in 2011-M03	
"World"	10458	9011	12225	10279	10490	8873	8938	7028	6656	6976	7638	8966	8836	7083	10808	11382	10455	7580	8271	7896	
"Turkey"	4708	2994	4932	4063	4023	3165	4703	1956	2089	1977	2807	1991	3000	2550	4255	4955	3204	2929	2467	2900	
"Germany"	997	1583	1861	1794	2104	887	973	1254	1207	921	1098	1373	1124	520	1828	1752	1177	1322	1357	1709	
"China"	2137	1870	2905	2153	1720	2386	1667	1951	1754	2273	2140	3588	3193	2318	3102	2999	3361	1560	2173	1564	
"Italy"	773	768	788	507	943	865	616	535	385	683	591	687	420	448	423	460	622	522	565	458	
"Hungary"	1067	810	789	1003	638	768	301	458	314	310	237	322	292	343	431	361	442	337	313	358	
"Denmark"	117	157	47	102	92	81	54	144	31	60	63	159	50	97	102	101	66	234	298	233	
"Netherlands"	89	128	0	114	244	131	174	223	142	58	88	154	94	193	59	127	240	121	173	195	
"Belgium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	51	107	
"Thailand"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	78	
"Mexico"	67	67	154	126	96	36	54	62	94	82	70	94	83	81	112	140	123	39	71	55	
"Hong Kong, China"	65	0	201	0	68	0	0	59	59	113	86	0	62	122	0	0	126	125	20	52	
"Sweden"	84	144	90	57	63	71	27	10	0	11	0	0	8	12	0	13	3	0	0	45	
"Slovenia"	17	77	63	36	112	115	56	63	37	59	48	23	38	13	40	57	15	19	17	32	
"United States of America"	30	107	121	25	38	130	19	22	64	153	25	9	8	9	3	22	1	4	48	32	
"Korea, Republic of"	79	0	69	69	88	0	73	123	303	125	218	258	208	194	190	233	656	150	581	27	
"Austria"	75	25	86	36	15	70	48	39	36	37	46	45	58	88	86	35	0	18	75	25	
"Bulgaria"	9	27	42	47	25	33	45	26	8	43	51	22	13	35	23	23	0	13	6	10	
"France"	1	4	4	2	3	2	1	1	17	15	13	16	10	12	15	24	2	29	15	7	
"Czech Republic"	0	1	0	0	0	0	0	0	3	0	16	1	8	0	0	0	0	0	0	6	
"Ireland"	11	7	8	4	11	19	2	6	10	13	13	4	7	1	9	4	13	22	1	1	
"Poland"	65	50	53	87	113	67	66	32	36	43	28	113	93	44	46	0	222	98	1	1	
"Spain"	27	3	7	0	0	3	2	26	0	0	0	5	0	1	9	12	1	0	3	1	
"United Arab Emirates"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
"Portugal"	38	41	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	
"Qatar"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Singapore"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	125	0	0	56	19	44	35	0	0	0	0	0	0	0	0	0	0	0	0	
"Luxembourg"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Japan"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Greece"	0	22	0	53	38	24	11	0	0	0	1	104	67	0	75	17	14	25	36	0	
"Chile"	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
"Brazil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	
