Exporters	Imported value in 2015-M12	Imported value in 2016-M01	Imported value in 2016-M02	Imported value in 2016-M03	Imported value in 2016-M04	Imported value in 2016-M05	Imported value in 2016-M06	Imported value in 2016-M07	Imported value in 2016-M08	Imported value in 2016-M09	Imported value in 2016-M10	Imported value in 2016-M11	Imported value in 2016-M12	Imported value in 2017-M01	Imported value in 2017-M02	Imported value in 2017-M03	Imported value in 2017-M04	Imported value in 2017-M05	Imported value in 2017-M06	Imported value in 2017-M07	
"World"	8456	7151	7994	8311	8621	7700	9619	7907	9198	8999	9808	9887	9380	7032	6728	8089	7348	8052	7298	8301	
"China"	2396	2884	1875	2262	1660	1639	2127	1986	2267	1610	2014	2403	2573	2455	1639	2067	2222	2064	1770	2249	
"Turkey"	2840	1389	3087	1939	2251	2066	2421	1891	2409	2723	2796	2384	2617	1491	1831	1767	1796	1978	1366	2200	
"Germany"	992	749	907	1557	1819	1674	1971	1513	1946	1809	1753	2130	1583	1229	1232	1102	1083	1347	1591	1268	
"Netherlands"	608	518	627	1058	662	723	537	573	620	613	764	640	707	408	450	762	503	654	686	612	
"Hungary"	424	630	634	528	701	638	617	765	638	667	616	753	486	352	475	538	351	380	303	516	
"Italy"	383	404	175	369	271	158	333	266	233	328	303	357	240	249	318	911	629	480	463	490	
"Mexico"	114	47	80	134	139	221	213	271	256	301	470	355	370	135	352	381	300	287	425	317	
"United States of America"	211	104	77	103	587	152	424	232	268	409	477	223	308	182	214	301	169	267	306	182	
"Bulgaria"	27	99	107	142	71	73	68	31	61	101	89	132	85	152	69	55	96	66	80	146	
"Spain"	55	38	55	30	117	99	117	52	112	63	133	126	129	56	28	30	6	85	159	110	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	240	5	88	
"Ireland"	90	42	52	27	42	16	64	67	88	106	83	127	91	39	41	81	69	129	102	80	
"Denmark"	96	81	79	85	118	105	457	105	89	128	142	107	38	0	7	4	0	0	2	22	
"Austria"	0	29	57	45	44	12	42	0	22	52	52	97	21	52	33	0	44	47	17	11	
"Malaysia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	19	5	7	
"Slovenia"	2	2	1	1	2	0	4	0	3	1	6	0	0	2	2	1	2	4	2	3	
"Norway"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	
"Poland"	6	37	0	0	0	32	62	0	0	0	0	0	1	0	0	0	0	0	14	0	
"Singapore"	67	21	25	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sweden"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Switzerland"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	
"Thailand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Belgium"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	
"France"	0	0	0	0	0	0	3	0	0	0	3	0	0	0	36	1	0	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	142	71	156	31	123	93	153	144	185	84	94	52	129	136	0	58	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
"Greece"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	0	7	0	0	0	0	0	10	0	0	4	0	0	95	0	17	0	0	0	0	
