Exporters	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	Imported value in 2015-M05	Imported value in 2015-M06	Imported value in 2015-M07	Imported value in 2015-M08	Imported value in 2015-M09	Imported value in 2015-M10	Imported value in 2015-M11	Imported value in 2015-M12	
"World"	36410	42353	54271	58835	51026	58572	52545	39307	40039	33723	41058	40592	34332	39118	42921	38030	43749	45172	48210	35743	
"China"	7770	12250	17127	20271	18305	17626	17972	12643	14634	12731	19599	14090	11279	11642	12282	12951	14989	15925	18217	11203	
"Turkey"	7565	9006	12762	9687	7563	9939	8753	6013	6000	5335	5419	6225	6072	6519	8476	5923	5777	6178	6468	6262	
"Poland"	5496	8231	7799	7596	6289	6003	5531	7228	4010	2952	4115	3951	2768	5443	7913	4621	6283	6367	7117	6177	
"Korea, Republic of"	6275	3018	6312	8803	2477	7330	6724	4793	5416	2274	2378	4225	4519	4054	2800	3958	3517	3997	5718	4980	
"Germany"	3570	4372	4412	4465	4237	5490	4184	2659	3280	3531	3937	5388	3344	4471	4569	5005	5510	3981	3792	2909	
"Italy"	2633	2745	2577	1994	3479	3453	3772	2220	3426	3967	2935	3390	3754	3941	3782	2642	4881	5435	3619	1972	
"Spain"	448	406	425	738	753	712	358	218	385	262	352	433	513	662	746	589	642	731	513	795	
"Hungary"	412	379	684	995	673	517	690	539	450	486	280	502	474	633	521	525	598	527	383	271	
"Slovenia"	116	253	382	296	573	328	308	261	237	294	274	237	154	399	408	384	316	206	328	192	
"United States of America"	896	405	373	2501	5108	4188	2548	986	807	83	175	53	397	349	134	618	336	763	679	155	
"Mexico"	91	326	0	409	0	673	602	484	93	339	0	488	275	229	151	0	0	0	73	135	
"Singapore"	0	0	0	0	33	0	0	0	90	0	0	0	0	0	0	24	0	193	95	124	
"Slovakia"	0	0	0	0	56	15	0	48	132	32	0	1	18	0	34	0	37	61	246	119	
"Ireland"	213	202	309	214	239	189	201	199	104	108	180	112	103	148	220	184	196	208	252	112	
"Hong Kong, China"	0	0	129	37	0	0	18	0	81	222	85	0	124	52	22	27	0	176	85	109	
"Thailand"	469	241	147	226	661	1315	585	759	572	376	582	621	108	430	283	229	308	184	407	60	
"India"	0	4	3	0	0	184	174	54	177	188	105	181	188	19	186	189	236	131	125	59	
"Serbia"	0	54	15	51	36	28	27	79	71	48	87	38	25	32	48	13	54	54	11	32	
"Bulgaria"	70	221	389	277	270	83	8	83	12	224	183	116	82	32	196	0	0	31	42	28	
"Netherlands"	6	0	0	2	0	119	29	1	24	0	19	0	7	0	10	7	12	0	14	18	
"Austria"	116	62	228	93	129	97	22	0	0	112	33	56	100	47	111	38	0	5	2	13	
"Denmark"	43	30	28	40	40	27	31	11	24	19	22	19	20	17	22	24	45	20	13	10	
"Saudi Arabia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
"Australia"	19	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
"Bosnia and Herzegovina"	0	0	21	20	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"France"	0	0	0	0	0	1	7	19	0	0	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	189	85	29	0	105	76	0	0	0	138	283	409	0	0	0	0	0	0	0	0	
"Jamaica"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Japan"	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	6	0	0	0	
"Indonesia"	0	32	73	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
"South Africa"	13	0	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	
"Switzerland"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	
"New Zealand"	0	8	0	0	0	0	0	10	11	0	0	0	0	0	0	0	8	0	0	0	
"Norway"	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Philippines"	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	
"Romania"	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Zambia"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	
