Exporters	Imported value in 2011-M03	Imported value in 2011-M04	Imported value in 2011-M05	Imported value in 2011-M06	Imported value in 2011-M07	Imported value in 2011-M08	Imported value in 2011-M09	Imported value in 2011-M10	Imported value in 2011-M11	Imported value in 2011-M12	Imported value in 2012-M01	Imported value in 2012-M02	Imported value in 2012-M03	Imported value in 2012-M04	Imported value in 2012-M05	Imported value in 2012-M06	Imported value in 2012-M07	Imported value in 2012-M08	Imported value in 2012-M09	Imported value in 2012-M10	
"World"	7896	9802	8945	9500	8431	8051	6956	9385	10744	9994	8747	7477	8374	8088	7896	8921	9434	7754	9974	9805	
"Turkey"	2900	3533	3037	3918	2796	2601	2171	3787	3082	4498	3678	2217	2739	2857	2743	3858	3510	2984	3550	4094	
"Germany"	1709	1626	1884	1687	1664	1745	1730	1595	2170	1452	829	1142	1773	2069	1349	1183	1716	1201	1152	1904	
"China"	1564	2445	2096	2084	1840	1558	1301	2016	2791	1777	2772	2147	1940	1475	1776	1864	1931	1475	2425	1223	
"Hungary"	358	301	391	272	266	609	300	389	496	584	5	679	273	219	487	508	445	452	648	764	
"Italy"	458	327	383	388	489	510	530	455	427	306	435	163	378	371	190	386	437	299	311	418	
"Korea, Republic of"	27	302	210	115	172	64	141	330	376	565	162	125	144	244	309	262	350	283	409	350	
"United States of America"	32	156	166	197	111	204	112	80	64	9	196	48	74	24	60	142	265	155	388	350	
"Netherlands"	195	175	131	170	288	132	155	96	316	119	243	388	503	117	354	162	191	152	376	195	
"Denmark"	233	173	271	325	410	250	281	269	234	162	179	180	169	237	210	175	156	412	193	112	
"Bulgaria"	10	21	31	35	36	31	29	36	29	42	23	19	48	51	72	39	74	51	80	78	
"Austria"	25	76	84	68	64	18	52	10	42	32	21	82	65	43	27	71	52	24	87	68	
"Belgium"	107	31	30	50	12	76	31	40	24	54	42	44	47	96	50	38	79	42	72	53	
"Sweden"	45	230	53	15	0	21	0	76	216	118	85	69	49	63	58	29	65	43	64	46	
"Slovenia"	32	43	14	2	20	19	19	52	23	30	12	38	37	45	35	42	23	53	48	40	
"Japan"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	30	
"Mexico"	55	103	73	63	118	87	64	89	106	136	30	53	84	90	120	88	76	75	81	28	
"Spain"	1	64	69	14	16	1	0	0	0	0	0	0	0	0	0	0	0	29	71	24	
"Ireland"	1	2	6	10	7	29	1	6	14	10	30	35	31	17	4	10	13	9	17	12	
"France"	7	9	16	7	1	25	7	17	12	7	5	3	13	22	5	6	2	7	6	9	
"Malaysia"	0	0	0	0	0	12	0	0	0	0	0	36	0	0	0	19	0	0	0	3	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
"Thailand"	78	0	0	0	78	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	
"United Arab Emirates"	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Poland"	1	56	0	25	40	54	30	42	324	91	0	8	0	0	0	0	44	0	0	0	
"Portugal"	0	0	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	0	0	0	
"Qatar"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
"Greece"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	
"Hong Kong, China"	52	127	0	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
