Exporters	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	Imported value in 2015-M05	Imported value in 2015-M06	Imported value in 2015-M07	Imported value in 2015-M08	Imported value in 2015-M09	Imported value in 2015-M10	Imported value in 2015-M11	Imported value in 2015-M12	
"World"	9970	11633	12312	13880	12898	15600	13180	12027	8696	7889	10460	8293	7896	9106	9038	7933	9422	11958	10708	8456	
"Turkey"	3389	3527	3575	5896	3599	5472	4654	5285	3319	2165	3630	2593	1676	2913	2497	2112	2907	4006	3269	2840	
"China"	1837	2470	2674	2571	3544	3373	2924	2234	1957	2561	3468	1992	2278	2087	2663	1536	2054	2914	2658	2396	
"Germany"	1479	1861	1875	1617	1944	2676	1703	1471	1104	962	1196	1260	1361	1277	1492	1839	1441	1730	1633	992	
"Netherlands"	775	722	806	376	853	722	525	423	483	650	656	622	584	757	334	854	617	997	451	608	
"Hungary"	615	681	982	997	728	930	1038	485	631	490	316	624	659	744	738	516	1034	744	586	424	
"Italy"	353	332	536	478	284	568	352	230	419	296	310	449	225	466	393	219	312	343	456	383	
"United States of America"	607	688	412	605	1138	994	810	899	139	107	204	58	261	76	162	175	232	172	277	211	
"Korea, Republic of"	471	295	382	513	0	308	459	171	135	45	209	241	258	262	137	276	253	92	579	142	
"Mexico"	11	19	13	9	10	13	10	22	6	16	11	24	60	62	55	69	139	93	161	114	
"Denmark"	149	266	184	185	181	139	140	161	118	87	146	151	125	159	130	102	162	144	94	96	
"Ireland"	100	153	128	82	186	86	112	92	47	78	65	85	87	89	104	62	68	78	133	90	
"Singapore"	0	0	0	0	0	0	103	23	12	0	0	0	0	25	0	0	0	0	45	67	
"Spain"	58	89	98	111	122	104	78	69	65	86	31	88	56	90	111	142	48	147	99	55	
"Bulgaria"	25	71	166	49	165	144	44	9	23	152	112	19	87	75	64	0	150	91	61	27	
"Poland"	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	379	208	6	
"Sweden"	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	
"Slovenia"	9	71	41	17	45	22	28	40	3	28	14	8	67	17	20	21	3	3	0	2	
"South Africa"	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	
"Portugal"	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	
"India"	0	219	209	197	0	0	2	7	0	91	0	0	0	0	0	0	0	0	0	0	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	
"Czech Republic"	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Austria"	63	41	81	47	55	25	0	0	0	73	0	0	58	0	47	0	0	0	0	0	
"Belgium"	0	23	7	0	0	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0	
"Brazil"	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	
"Japan"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
"France"	0	4	0	0	0	3	0	3	0	0	0	0	0	0	29	0	0	0	0	0	
"Greece"	18	1	47	0	4	20	15	0	11	0	0	17	0	0	3	0	0	11	0	0	
"Hong Kong, China"	0	92	96	0	40	0	168	383	220	0	54	0	49	0	56	0	0	13	0	0	
