Exporters	Imported value in 2008-M01	Imported value in 2008-M02	Imported value in 2008-M03	Imported value in 2008-M04	Imported value in 2008-M05	Imported value in 2008-M06	Imported value in 2008-M07	Imported value in 2008-M08	Imported value in 2008-M09	Imported value in 2008-M10	Imported value in 2008-M11	Imported value in 2008-M12	Imported value in 2009-M01	Imported value in 2009-M02	Imported value in 2009-M03	Imported value in 2009-M04	Imported value in 2009-M05	Imported value in 2009-M06	Imported value in 2009-M07	Imported value in 2009-M08	
"World"	9489	9169	8521	9585	11793	12385	14106	10230	9613	8897	9411	5994	7526	5363	7051	8765	8019	9641	11212	10458	
"Turkey"	1164	1272	1736	1862	2387	2218	2092	2410	2675	2582	3970	2229	2254	1213	2078	2489	2668	3092	3630	4708	
"China"	2570	1442	1116	1724	3145	3211	4077	4080	2365	1897	2079	1204	2393	1358	1870	2515	1580	2204	2379	2137	
"Hungary"	567	427	599	340	859	801	807	883	896	821	607	531	449	246	236	321	266	949	1397	1067	
"Germany"	1270	1581	1279	1962	1571	2300	2216	1306	1600	1575	985	915	924	908	1302	1471	1327	1384	1996	997	
"Italy"	1895	2568	1923	1827	2417	2054	3191	941	1058	1103	818	678	841	1071	969	1136	1639	1003	971	773	
"Denmark"	87	121	149	93	150	119	148	91	117	76	53	69	98	68	44	111	73	127	97	117	
"Netherlands"	121	211	196	184	221	196	256	116	234	125	217	40	159	163	159	134	88	143	111	89	
"Sweden"	182	12	141	116	27	37	31	22	25	20	0	16	0	25	38	14	0	53	83	84	
"Korea, Republic of"	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	118	59	79	
"Austria"	61	95	79	108	61	113	28	26	80	61	81	53	60	52	43	35	22	69	48	75	
"Mexico"	0	0	0	0	0	8	11	11	6	5	30	17	3	20	17	32	54	46	66	67	
"Poland"	900	737	810	767	530	697	849	18	54	12	25	19	12	0	75	39	0	32	43	65	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	66	60	65	
"Portugal"	0	0	0	0	0	0	0	9	30	0	0	0	0	0	0	0	46	0	82	38	
"United States of America"	18	32	100	133	81	160	90	76	161	126	185	29	52	28	0	66	0	69	11	30	
"Spain"	26	41	27	13	3	10	12	5	38	5	0	6	4	3	2	241	4	6	0	27	
"Slovenia"	292	325	212	133	35	90	57	19	50	42	5	51	10	39	18	49	52	35	52	17	
"Ireland"	1	1	10	0	15	20	7	7	22	16	8	8	14	6	16	7	0	19	12	11	
"Bulgaria"	45	55	8	25	30	17	23	19	2	6	2	26	20	20	33	45	25	41	23	9	
"France"	127	170	70	215	110	75	109	116	100	80	76	44	73	35	38	6	6	62	8	1	
"Singapore"	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"South Africa"	126	40	0	39	80	0	0	0	0	47	67	0	136	0	1	0	0	0	0	0	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
"Egypt"	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0	70	129	75	50	65	261	190	0	23	91	107	0	0	71	54	0	
"Qatar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
"Philippines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
"Belgium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Brazil"	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Greece"	37	38	0	46	0	0	0	0	33	38	12	57	0	18	5	55	63	47	23	0	
"Japan"	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
"Indonesia"	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
