Importers	2004-M04-Exported unit value, US Dollar/Kilograms	2004-M05-Exported unit value, US Dollar/Kilograms	2004-M06-Exported unit value, US Dollar/Kilograms	2004-M07-Exported unit value, US Dollar/Kilograms	2004-M08-Exported unit value, US Dollar/Kilograms	2004-M09-Exported unit value, US Dollar/Kilograms	2004-M10-Exported unit value, US Dollar/Kilograms	2004-M11-Exported unit value, US Dollar/Kilograms	2004-M12-Exported unit value, US Dollar/Kilograms	2005-M01-Exported unit value, US Dollar/Kilograms	2005-M02-Exported unit value, US Dollar/Kilograms	2005-M03-Exported unit value, US Dollar/Kilograms	2005-M04-Exported unit value, US Dollar/Kilograms	2005-M05-Exported unit value, US Dollar/Kilograms	2005-M06-Exported unit value, US Dollar/Kilograms	2005-M07-Exported unit value, US Dollar/Kilograms	2005-M08-Exported unit value, US Dollar/Kilograms	2005-M09-Exported unit value, US Dollar/Kilograms	2005-M10-Exported unit value, US Dollar/Kilograms	2005-M11-Exported unit value, US Dollar/Kilograms	Exported value in 2005-M11, US Dollar thousand	Exported quantity in 2005-M11, Kilograms	
"World"	4.13	4.19	4.10	4.32	4.34	4.42	4.37	4.52	4.90	5.18	5.09	4.64	4.39	4.66	4.42	4.45	4.67	4.87	4.91	5.05	4100	811381	
"United States of America"	7.25	6.02	5.92	8.18	4.66	6.29	4.53	6.98	6.87	6.67	7.00	6.14	5.87	5.35	6.26	5.77	5.52	5.79	6.61	6.39	450	70421	
"United Kingdom"	4.12	4.47	5.10	5.11	4.85	4.75	5.01	5.42	4.61	5.98	5.86	5.18	5.42	5.14	5.12	5.21	5.35	5.22	5.56	5.40	383	70936	
"Greece"	3.50	3.73	3.51	4.00	3.74	3.55	3.75	3.86	4.28	3.83	3.69	4.96	4.38	4.93	4.01	3.54	3.71	4.69	4.01	4.64	370	79769	
"Austria"	5.80	6.48	6.21	6.38	6.63	8.33	9.76	6.03	5.48	6.63	8.14	5.99	5.75	5.65	6.64	5.80	5.75	7.19	7.90	8.47	349	41215	
"Ukraine"	3.35	3.87	3.61	3.88	4.10	4.22	3.76	3.73		8.31	4.28	4.04	3.46	3.06	3.42	3.92	4.00	4.12	3.77	4.53	281	62047	
"Romania"	3.91	3.92	4.04	4.48	4.40	5.29	7.50	6.21	3.98	4.05	4.36	3.84	3.98	4.01	3.74	4.69	7.53	5.02	5.82	3.72	221	59468	
"Russian Federation"	4.85	4.64	5.59	4.65	4.93	5.30	5.02	5.36	5.37	5.68	4.60	5.42	5.63	6.41	5.52	4.43	4.19	5.06	4.95	5.84	190	32549	
"Iraq"	3.67	3.62	3.70	3.67	3.89	3.90	3.87	3.85	3.83	4.84	4.45	4.02	3.91	4.03	4.33	4.29	4.05	3.82	4.52	3.70	178	48046	
"Albania"			4.12	2.96			3.35	3.60			3.42		3.98	3.30			1.96		5	3.68	148	40250	
