Importers	2013-M10-Exported unit value, US Dollar/Kilograms	2013-M11-Exported unit value, US Dollar/Kilograms	2013-M12-Exported unit value, US Dollar/Kilograms	2014-M01-Exported unit value, US Dollar/Kilograms	2014-M02-Exported unit value, US Dollar/Kilograms	2014-M03-Exported unit value, US Dollar/Kilograms	2014-M04-Exported unit value, US Dollar/Kilograms	2014-M05-Exported unit value, US Dollar/Kilograms	2014-M06-Exported unit value, US Dollar/Kilograms	2014-M07-Exported unit value, US Dollar/Kilograms	2014-M08-Exported unit value, US Dollar/Kilograms	2014-M09-Exported unit value, US Dollar/Kilograms	2014-M10-Exported unit value, US Dollar/Kilograms	2014-M11-Exported unit value, US Dollar/Kilograms	2014-M12-Exported unit value, US Dollar/Kilograms	2015-M01-Exported unit value, US Dollar/Kilograms	2015-M02-Exported unit value, US Dollar/Kilograms	2015-M03-Exported unit value, US Dollar/Kilograms	2015-M04-Exported unit value, US Dollar/Kilograms	2015-M05-Exported unit value, US Dollar/Kilograms	Exported value in 2015-M05, US Dollar thousand	Exported quantity in 2015-M05, Kilograms	
"World"	4.22	4.37	4.11	4.22	4.32	4.34	4.43	4.51	4.52	4.58	4.35	4.32	4.40	4.03	3.97	4.08	4.01	3.84	3.69	3.57	51019	14293753	
"United Kingdom"	3.60	3.54	3.53	3.71	3.69	3.78	3.83	3.98	3.97	4.01	3.87	3.75	3.67	3.54	3.40	3.38	3.29	3.16	3.14	3.06	7802	2551055	
"Germany"	5.16	4.89	4.40	4.33	4.48	5.05	5.07	5.21	5.14	5.06	4.61	4.46	4.89	4.13	3.70	4.41	4.27	4.13	3.93	3.63	6246	1719990	
"France"	3.95	3.95	3.97	3.86	3.90	3.92	4.10	4.05	4.03	4.17	3.94	3.89	3.80	3.61	3.44	3.48	3.45	3.28	3.18	3.20	5460	1708129	
"Italy"	3.87	3.82	3.71	3.89	3.88	3.95	4.35	4.35	4.37	4.30	4.27	4.58	4.20	4.19	3.86	3.95	3.82	3.59	3.46	3.29	3677	1117800	
"Spain"	4.00	4.20	3.97	3.88	3.95	4.18	4.13	4.40	4.45	4.33	3.93	3.94	4.03	3.57	3.46	3.63	3.51	3.40	3.27	3.21	3213	1000755	
"United States of America"	11	11	10	11	10	10	11	11	12	11	9.72	9.95	11	9.21	8.52	9.31	9.97	9.53	9.24	8.61	3002	348788	
"Sweden"	4.38	4.63	3.79	4.17	3.92	4.35	4.53	4.61	4.55	4.42	4.19	4.03	4.07	3.68	3.62	3.82	3.74	3.55	3.47	3.43	1665	484804	
"Iraq"	4.20	4.28	4.02	4.03	4.05	3.99	4.15	4.02	4.05	4.71	4.34	4.11	3.68	3.74	4.08	3.95	3.92	3.97	4.06	3.76	1514	402531	
"Egypt"	4.36	3.67	3.62	3.44	3.45	3.47	3.50	3.50	3.54	3.52	3.59	4.02	3.43	3.65	3.83	3.74	3.59	3.67	3.68	3.79	1445	381229	
"Australia"	4.39	4.19	4.01	4.04	3.96	4.02	5.39	4.69	4.39	4.46	4.25	3.90	4.06	3.81	3.83	3.72	3.85	3.57	3.59	3.53	1366	387166	
"Algeria"	3.80	3.80	12	5.03		4.23	3.94	3.93	4.21	4.65	6.26		4.39	3.86	4.42	3.12	3.23	2.97	4.24	4.15	1346	324056	
"Greece"	4.12	4.23	3.93	4.02	3.96	4.48	4.50	4.71	4.67	4.50	4.03	3.98	4.07	3.55	3.58	3.91	3.86	3.70	3.70	3.50	1317	376701	
"Poland"	3.89	4.06	3.99	3.79	3.90	4.37	4.24	4.24	4.62	4.71	4.12	4.11	3.97	3.69	3.88	3.69	3.62	3.57	3.55	3.62	1138	314749	
"Israel"	5.32	5.74	5.55	6.04	5.70	5.53	6.10	5.94	5.52	5.25	5.33	4.96	5.13	4.28	4.29	4.47	4.95	4.71	4.66	4.39	1036	236132	
"Netherlands"	4.23	4.06	3.91	3.93	3.86	4.12	4.34	4.98	4.55	4.53	4.45	4.42	4.40	3.94	3.37	3.67	3.83	3.92	3.75	3.51	957	272949	
"Jordan"	4.44	5.74	6.01	4.51	4.48	4.34	4.67	4.54	4.67	4.42	4.64	4.36	4.49	4.56	4.37	4.29	4.07	3.62	4.32	4.45	896	201159	
"Libya, State of"	4.07	4.04	4.08	13	4.12	3.97	4.49	4.05	4.12	4.07	4.07	3.94	3.69	3.60	3.61	3.28	3.31	3.17	3.25	3.33	751	225364	
"Romania"	4.05	3.93	3.85	3.35	3.55	4.03	4.24	4.17	4.40	4.35	4.72	4.08	3.69	3.62	3.88	3.07	3.53	3.16	3.11	2.93	698	238384	
"Canada"	11	15	9.50	12	9.58	11	8.45	8.66	12	11	8.15	8.27	11	9.59	9.14	8.99	7.63	9.15	9.24	8.16	640	78444	
"Morocco"	4.35	4.56	4.48	5.06	4.22	4.31	4.60	4.35	4.17	4.50	4.39	4.36	4.04	3.67	3.64	3.90	3.35	3.84	4.09	3.76	525	139452	
"Saudi Arabia"		4.01		3.98	5.68	4.50	4.30	6.08			10				4.74	3.71	3.67	3.77	3.30	3.87	513	132538	
"Portugal"	3.40	3.63	4.14	3.34	3.72	3.39	3.92	3.67	3.76	3.45	3.50	3.58	3.35	3.53	3.26	3.28	2.93	2.91	3.05	2.92	430	147360	
"United Arab Emirates"	4.86	4.77	4.56	5.21	4.75	4.44	4.63	4.24	4.84	4.84	4.94	4.13	4.63	3.46	3.46	4.25	3.62	3.65	3.98	4.07	394	96794	
"China"	3.73	3.98	3.66	4.06	3.75	3.19	4.91	4.86	4.06	4.30	3.41	3.52	4.11	4.20	4.00	4.01	4.01	4.20	4.36	4.00	387	96646	
"Hungary"	4.17	3.85	3.78	3.56	3.68	3.81	4.08	4.08	4.36	3.89	3.90	3.77	3.78	3.22	3.51	3.30	3.09	3.22	3.07	2.55	349	136727	
"India"	4.99	5.55	4.62	4.18	4.37	4.88	4.89	5.44	5.63	5.32	4.86	4.52	4.58	3.76	3.99	4.92	4.62	4.27	4.08	3.80	324	85290	
"South Africa"	6.57	6.65		5.46	6.10	5.66	6.35	5.60	5.47	5.38	5.82	6.04	5.56	6.39	5.52	5.36		3.38	3.78	3.08	246	79826	
"Ukraine"	3.68	3.66	3.70	5.05	3.88	3.89	3.81	3.73	3.70	3.71	3.65	3.48	3.45	3.01	3.25	3.40	3.34	3.32	3.34	2.76	223	80786	
"Denmark"	4.35	4.13	3.78	4.41	3.80	3.90	4.39	4.95	4.68	4.32	4.48	3.75	4.15	3.54	3.62	3.76	3.83	3.69	3.41	3.44	222	64543	
"Croatia"	3.88	4.02	5.40	5.96	3.86	3.89	4.46	4.33	4.34	4.44	3.55	4.01	3.50	3.15	3.12	3.33	3.28	3.35	3.36	2.83	193	68285	
"Bulgaria"	3.39	3.75	3.20	3.74	4.12	3.94	3.82	3.91	3.60	3.65	3.66	3.59	3.56	3.50	3.37	3.32	3.33	3.11	3.11	2.40	189	78778	
"Czech Republic"	3.75	4.08	4.43	4.17	3.77	4.63	4.81	4.87	4.61	4.36	4.36	4.56	4.43	4.07	4.66	3.69	3.67	3.51	3.59	3.84	181	47177	
"Azerbaijan"	6.38	5.75	5.21	5.61	6.83	5.71	6.60	7.27	6.40	6.03	6.20	6.46	6.25	5.42	5.69	5.37	4.59	4.77	4.54	5.16	177	34310	
"Belgium"	5.26	5.42	5.36	5.52	6.35	5.31	5.88	5.32	5.49	5.21	6.14	4.99	5.43	5.04	5.27	4.96	4.67	4.20	4.48	4.43	166	37434	
"Georgia"	4.84	4.73	4.59	4.70	4.89	5.20	4.82	4.70	4.72	4.68	4.31	4.79	5.67	5.04	4.64	5.34	4.52	5.01	5.39	4.43	144	32529	
"Cyprus"	4.92	5.00	5.33	5.20	5.39	5.18	5.44	5.38	5.97	5.12	5.50	4.85	4.77	4.70	4.42	4.30	4.39	4.55	4.89	5.31	137	25813	
"Austria"	3.85	4.59	4.36	4.60	3.57	5.43	4.81	4.12	4.23	4.86	4.47	4.32	4.42	4.33	4.14	4.37	4.49	3.71	3.70	3.43	126	36721	
"Iran, Islamic Republic of"	4.21	6.40	3.96	4.74	3.80	38	5.30	5.81	5.54	5.54	5.51	5.73	5.44	5.40	5.20	4.96	6.43	4.45	4.42	4.81	114	23684	
"Turkmenistan"	5.39	5.56	4.11	4.38	3.98	4.39	4.75	5.51	3.99	4.03	4.59	4.85	6.69	7.37	4.82	5.09	6.07	3.73	8.21	4.67	114	24412	
"Macedonia, The Former Yugoslav Republic of"	3.94	3.74	4.21	3.48	4.00	4.03	3.74	4.61	4.75	4.21	4.35	3.38	3.54	3.63	3.30	3.31	3.35	3.61	2.27	3.33	109	32750	
"Ireland"	4.00	3.94	3.90	4.21	4.25	4.01	4.14	3.92	4.03	3.82	4.04	3.87	3.82	3.97	3.49	3.66	3.51	3.10	3.19	3.16	108	34209	
"Uruguay"			2.88	2.79		2.78				3.89	3.78	4.73	4.54	4.05	6.02	3.02		3.81	5.99	5.00	98	19606	
"Malaysia"	5.00	4.94	4.91	4.24	3.84	4.06	5.57	5.48	5.03	4.69	4.62	4.54	4.33	3.87	4.48	4.17	3.57	3.40	3.78	3.66	92	25121	
"Hong Kong, China"	4.37	4.79	4.09	4.16	3.78	4.57	5.10	5.23	5.50	5.10	4.20	3.59	4.45	3.67	3.68	4.33	4.20	4.16	3.97	5.10	89	17457	
"Russian Federation"	2.96	4.27	3.76	4.19	3.45	2.76	3.07	4.24	4.41	4.42	4.47	4.04	4.12	3.69	2.83	3.30	3.41	3.40	3.56	3.56	80	22490	
"Switzerland"	4.26	4.09	3.83	3.65	4.12	4.66	4.85	4.46	4.26	4.07	3.72	3.79	3.71	3.11	2.79	3.63	3.76	3.18	3.09	2.86	79	27595	
"Bangladesh"	3.75					4.35	3.39					3.02	3.88		5.02			4.14		4.37	78	17840	
"Finland"	3.91	3.89	3.98	3.95	3.96	4.02	4.13	4.10	3.97	3.92	3.89	3.75	3.67	3.60	3.39	3.40		3.06	3.09	3.03	64	21091	
"Serbia"	4.45	4.71	4.13	5.17	4.15	3.62	3.74	4.03	3.96	3.67	3.44	3.51	3.21	3.32	3.01		3.08	2.99	2.93	2.75	64	23235	
"Slovakia"	3.83	4.12	3.56	3.41	3.77	4.64	5.04	4.56	4.46	4.62	4.83	4.66	4.49	4.69	3.79	4.36	4.11	3.98	3.73	4.12	61	14797	
"Côte d'Ivoire"		3.71					4.79		4.08	3.39	4.11		4.02	3.58	3.69			5.56	4.12	3.44	61	17739	
"New Zealand"	4.26	4.43	4.04	4.54	4.26	4.08	4.81	4.64	4.33	5.31	4.71	4.28	4.04	3.64	3.53	3.97	3.85	3.74	3.72	3.82	60	15717	
"Tunisia"	3.58		3.90	4.10		3.64	3.90	3.83	4.00	4.01	4.16	4.65	3.96	3.43		4.80	3.56	3.01	3.40	3.97	49	12347	
"Malta"	4.83	5.63	4.64	6.54	4.89	4.67	4.57	5.35	4.24	4.42	4.69	5.43	4.14	3.90	4.19	4.04	4.28	4.31	4.08	3.49	44	12613	
"Philippines"														0.97						4.04	40	9889	
"Albania"	4.28	3.93	4.12	4.50	4.24	5.64	4.71	4.50	4.34	4.47	4.32	4.48	4.03	4.30	4.16	3.97	3.59	3.80	3.99	3.05	38	12440	
"Uzbekistan"	4.02		6.52	8.96	9.44	6.19	7.18	18	7.20	6.05	5.45	5.21	5.78	6.48		6.88	6.38	3.79	7.70	8.12	36	4434	
"Thailand"		4.70	4.78	4.27	3.82	4.31	4.40	4.34	4.85	5.74	4.47	5.18	4.13		5.01	0.66	4.28	2.65	3.08	3.66	33	9028	
"Madagascar"																				4.25	33	7768	
"Bahrain"	4.23	4.19			4.30	4.44	4.61	4.19		4.53	3.80	5.49	3.73	3.40		3.49		3.30		3.09	32	10362	
"Chile"		7.52		8.69	7.02	6.66	4.39	5.28	6.43	5.07	3.38	3.98	6.06		5.23	3.91	3.93	4.94	3.90	3.56	32	8987	
"Nigeria"	5.97	4.97	6.42	4.51	6.55	5.09		5.38				4.61	4.53	3.07	4.34	4.61	4.49	4.28	7.65	5.38	31	5766	
"Ghana"	4.30	3.85	3.63	3.07	3.94		5.31	3.42	4.72						3.86			3.46	3.24	5.46	27	4944	
"Viet Nam"	6.43	6.94	6.43	7.38		7.11		7.56	6.43		7.52		6.48	6.46	6.32	6.32		5.17	5.62	5.17	23	4453	
"Bosnia and Herzegovina"	4.19	3.82	3.40	4.94	4.01	4.58		4.06	3.58	3.61	3.65	3.58	3.59	3.46	2.96	3.05	2.39	3.04	3.44	2.62	21	8003	
"Pakistan"		5.69						3.93		36	3.96	3.60	13	2.87	2.59				3.18	2.84	20	7046	
"Free Zones"	6.63	8.65	7.47	14	11	9.40	9.14	11	28	13	8.14	7.06	11	8.61	6.35	7.75	9.57	8.16	16	7.90	20	2531	
"Kuwait"	4.52		5.49	4.64		5.33		5.88	4.70	4.96		4.52	4.20	4.03	3.83		3.71	3.80	4.11	3.74	19	5074	
"Sudan (before 2012)"	4.34		4.43		4.11	5.21	4.07	4.29		4.95			4.91	5.76			5.40	3.77	3.99	3.96	17	4288	
"Cameroon"	3.24		3.72			3.32			3.66			4.93	4.00					2.96		2.86	16	5601	
"Latvia"	3.90	4.89			3.47	3.60		3.34	3.66		3.15	3.27	2.96	3.20	2.91				2.86	2.84	15	5280	
"Montenegro"	7.09		4.82	4.13	5.43	4.50	4.28	3.32	5.56	3.58	4.78		5.99	6.42	3.36	4.03	3.33	4.61	4.33	3.19	15	4706	
"Area Nes"																	2.86			2.93	14	4775	
"Benin"	4.80	4.50	4.71											3.06	3.31			3.92		2.66	13	4896	
"Kazakhstan"	6.06	6.20	6.82	6.53	7.20	6.30	6.49	6.62	5.66	6.97	7.39	7.07	7.51	6.46	6.35	7.68	6.95	2.03	4.38	7.62	10	1313	
"Mongolia"	5.44	5.08	5.42	5.03	5.49	4.38	5.29	4.49	6.23	3.33	5.05		4.39	3.91	4.22	3.59		4.04		4.93	10	2027	
"Tajikistan"		7.86	8.09		8.53	9.84	7.04		7.46	7.91	4.60	11	8.59	9.20	7.65	5.88	6.12		11	8.32	8	962	
"Lebanon"	5.84	5.66	5.39	4.25	6.36	6.09	5.23	5.44	5.59	4.89	5.08	5.52	4.88	4.39	4.91	6.28	5.55	6.43	4.73	11	8	731	
"Afghanistan"			4.71	5.47	5.32	38	4.24		4.02		4.09				4.73				4.85	4.93	6	1217	
"Oman"		4.31	4.05	3.95			4.12	4.55	4.47	5.11	3.30	3.98		3.25	2.83		3.21	3.40	33	9.09	6	660	
"Slovenia"	5.26	5.24	5.26	5.84	6.00	5.98	5.87	5.72	5.94	5.57	5.43	5.07	5.65	5.10	4.83	4.85	4.96	4.49	4.53	5.46	5	915	
"Estonia"		5.77	4.35	3.96	4.56	5.32	5.68	5.41	5.90	5.87	4.05	3.79	4.94	5.21	5.69	9.01	5.34	4.56	4.55	5.83	3	515	
"Singapore"	4.90	4.73	5.49	4.09	5.07	5.60	4.10	4.64	6.66	5.48	4.06	4.20	4.42	3.65	4.25	4.38	4.94	4.18	4.87	4.31	2	464	
"Syrian Arab Republic"								3.29	10	9.62	6.21				3.92					2	1	500	
"Kyrgyzstan"	6.21	4.70	7.07		3.80	3.63		8.38	4.03	4.03	4.40		7.88	9.54		7.87		10.00		3.56	1	281	
"Kenya"										13											0		
"Korea, Republic of"														8.52				6.21			0		
"Liberia"			4.96															3.92	12		0		
"Mali"						3.69			4.60	3.47				3.30			3.89				0		
"Lithuania"	4.43	5.08	4.91	4.96	4.81	5.23	4.76	5.87	4.12	4.44	4.61	5.14	4.54	4.80	4.96	4.81	3.72	3.47	5.68		0		
"Palestine, State of"												13									0		
"Djibouti"														3.44							0		
"Gabon"			4.69	4.50	4.71	4.52	4.66	4.75	4.45	4.41	4.28			4.04				3.53	3.60		0		
"Guinea"	22		4.84	4.71			4.52	5.02	4.27		4.72		4.15		4.35				3.79		0		
"Guyana"	4.06	4.79	4.68	4.20		4.54	5.37				4.58	4.35									0		
"Indonesia"																	10				0		
"Angola"	4.42	5.03	5.33	5.68	5.36	3.68	4.21	5.81	4.25	4.26		4.19	5.99	4.18	4.20						0		
"Argentina"	4.75	4.55			5.78	4.28	4.00	4.81		3.99	3.91		3.92	3.42	4.72				3.95		0		
"Belize"											4.92								5.58		0		
"Belarus"				6.05	6.24	7.75	5.45			5.66		5.45		5.33	5.20	4.54		4.18	4.59		0		
"Bolivia, Plurinational State of"	5.55		3.33				7.20			3.57		5.04	6.72	3.52	3.46	7.03	4.17	4.77	2.96		0		
"Ecuador"																6.81		6.76			0		
"Equatorial Guinea"				22				39													0		
"Ethiopia"	4.21	3.36	4.37	4.23		4.21		4.26	4.02	4.37	5.25	4.28	3.86	3.88	3.79	4.04	4.18	3.93	3.31		0		
"Colombia"														6.81	5.49		5.12				0		
"Congo"	5.13			4.33					11		4.43			3.76	3.47						0		
"Congo, Democratic Republic of the"							15														0		
"Cabo Verde"			4.11														2.88				0		
"Sri Lanka"	5.60	6.14	3.89	5.34					3.75	4.23	6.06	5.57							4.76		0		
"Chad"								4.33	4.43												0		
"Togo"			4.82					4.96		5.09	4.84	4.85	4.64	5.10	3.46			3.42			0		
"Uganda"																12			3.93		0		
"Tanzania, United Republic of"	4.27		2.70											3.48			4.27		2.82		0		
"Yemen"	3.77	4.10	3.90	3.91		3.98	5.06	3.98	4.06	3.84	4.69				4.33		3.80	4.01	4.10		0		
"Burkina Faso"			5.16			4.72	4.68	4.61			1.33				3.42						0		
"Somalia"	4.12									15											0		
"Seychelles"													8.28								0		
"Senegal"		3.59	4.61		3.62	5.01	4.17	4.98	3.81	4.62	4.34	3.36	3.27	3.23	2.97			2.82	3.81		0		
"Peru"	5.16			4.66		4.90	5.03		5.40			4.42		3.93		3.93	4.57		4.41		0		
"Norway"	5.12	3.52	2.96	15		4.12	6.98	5.56				7.01		18	7.18			9.80			0		
"Qatar"	5.81	4.69	4.39	4.44	4.49	4.58	4.40	4.02	4.78	4.24			3.63	4.79				20			0		
"Nepal"		4.26			8.20			4.10							3.57						0		
"Mozambique"					9.45					16			8.85								0		
"Niger"									3.33	6.06											0		
"Netherlands Antilles"						11															0		
"New Caledonia"			4.16	4.15		4.26				4.49			3.70	3.70			4.05		3.95		0		
"Moldova, Republic of"	5.21	4.50	5.34		4.78	4.11	4.13	4.03	4.80		4.18	4.99	4.31	4.38	4.07		5.01	2.70	7.22		0		
"Mauritania"			4.52	10			4.50	4.96	4.74			4.08	3.95		3.97				3.44		0		
"Mauritius"			4.25	4.72	3.96		4.53	4.72	4.31	4.53		5.15	4.04	4.15	3.99			3.68	3.61		0		
"Mexico"			1.14													5.26					0		
"Taipei, Chinese"	4.19	3.67	4.55	4.16					5.68	3.89	5.57	4.99	4.77	5.04		13	5.23	4.48	4.83		0		
