Importers	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Kilograms	2012-M09-Exported unit value, US Dollar/Kilograms	2012-M10-Exported unit value, US Dollar/Kilograms	2012-M11-Exported unit value, US Dollar/Kilograms	2012-M12-Exported unit value, US Dollar/Kilograms	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	2013-M07-Exported unit value, US Dollar/Kilograms	2013-M08-Exported unit value, US Dollar/Kilograms	2013-M09-Exported unit value, US Dollar/Kilograms	2013-M10-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M10, US Dollar thousand	Exported quantity in 2013-M10, Kilograms	
"World"	4.01	3.96	4.01	3.96	4.02	4.32	4.49	4.62	4.62	4.60	4.63	4.41	4.43	4.47	4.50	4.51	4.33	4.65	4.51	4.67	17805	3810561	
"United Kingdom"	4.28	3.95	4.02	4.12	4.18	4.30	4.48	4.23	4.34	4.11	4.31	4.12	4.06	4.41	4.21	4.16	4.16	4.16	3.98	4.18	5581	1336338	
"Germany"	3.70	3.97	4.20	3.89	4.58	5.66	6.83	5.22	5.26	5.62	5.25	4.74	5.40	6.34	6.45	6.95	4.96	5.65	6.88	6.47	2067	319312	
"United States of America"					14	14	11	13	14	14	13	12	12	12	11	11	12	12	13	13	1436	110882	
"France"	3.62	3.61	3.49	3.69	3.64	3.82	3.92	3.83	3.93	4.03	3.96	3.75	3.85	4.01	3.93	3.86	3.83	3.82	3.86	3.90	1286	329771	
"Sweden"	4.25	4.37	4.33	4.19	4.48	4.35	4.42	4.66	4.47	4.64	5.07	4.65	4.62	4.46	4.37	4.28	4.51	4.46	4.47	4.51	915	202993	
"Israel"	3.67	3.92	4.14	4.28	3.52	3.66	4.09	4.19	3.92	4.60	4.72	4.40	4.12	3.88	4.04	4.35	3.84	4.11	4.49	4.71	886	187997	
"Egypt"	4.44	4.63	4.27	4.22	4.34	3.80	3.89	4.36	4.05	4.52	4.52	4.01	4.48	3.94	4.15	4.00	4.05	4.02	4.13	4.37	764	174864	
"Italy"	3.58	3.77	3.75	3.60	3.58	4.01	3.81	3.78	3.82	4.08	3.89	3.69	3.77	3.77	3.92	3.70	3.55	3.57	3.58	3.87	414	106842	
"Spain"	3.87	3.95	3.82	3.90	3.91	3.84	4.07	4.21	4.52	4.35	4.13	4.06	3.97	4.18	4.18	4.22	3.96	3.97	4.02	4.32	375	86752	
"Ukraine"	4.29	4.23	4.05	3.77	4.01	4.10	4.05	3.93	4.52	4.70	4.59	4.68	3.95	3.83	4.08	4.17	3.98	4.36	4.30	4.32	359	83165	
"Belgium"	4.34	4.21	4.07	4.07	3.96	4.37	4.50	4.05	4.20	5.17	4.27	4.03	4.29	4.04	4.45	4.52	4.35	4.54	4.58	4.32	311	71934	
"Poland"	3.43	3.54	3.64	3.22	3.30	3.38	3.26	3.55	3.29	3.44	3.38	3.27	3.63	3.62	3.32	3.21	3.18	3.30	3.18	3.59	285	79305	
"Iraq"	3.47	4.03	4.70	4.45	4.58	5.07	4.49	6.53	4.11	7.80	4.00	4.29	4.12	4.29	3.84	3.96	3.91	3.61	4.49	4.69	240	51170	
"Croatia"	3.30	3.53	3.95	3.20	4.52	3.32	3.07	3.33	3.52	3.29	2.94	4.34		4.03	3.52	4.00	4.31	4.19	3.73	3.97	213	53600	
"Kuwait"	4.30	4.49	4.20	4.49	4.45	4.26		5.71	4.12	4.70			4.54	4.61	4.18	5.76	3.87	5.80	4.88	4.70	173	36802	
"United Arab Emirates"	4.68	4.59	4.06	4.41	4.73	5.29	4.12	6.07	4.72	4.26	2.58	4.31	4.05	4.45	4.63	4.16	4.05	4.80	4.25	5.40	166	30734	
"Denmark"	4.66	4.30	3.73	3.70	3.93	4.15	4.35	4.51	8.17	4.58	4.54	4.36	4.28	4.67	4.19	4.75	4.30	4.39	4.43	4.37	163	37317	
"Russian Federation"	5.61	4.76	5.25	4.26	3.87	3.91	3.76	4.06	3.98	3.71	3.85	5.17	4.16	4.22	3.62	3.59	4.55	4.17	3.59	3.55	159	44830	
"Czech Republic"	3.21	3.58	3.42	3.12	3.26	3.31	2.57	3.49	3.35	3.32	3.15	3.38	3.29	3.19	3.58	3.17	2.85	3.00	3.33	3.44	148	42985	
"Argentina"								4.08	4.26			4.23	4.26	4.26	4.13					4.64	124	26733	
"Ireland"	3.97	4.00	4.89	3.89	4.09	4.13	3.98	4.67	4.67	3.50	4.08	4.50	5.68	5.17	4.81	5.84	4.17	5.26	4.34	5.44	116	21311	
"Romania"	3.97	3.60	3.83	4.35	4.01	3.62	3.74	3.92	3.68	3.71	4.60	4.90	5.36	3.64	4.17	3.55	3.08	3.40	2.92	3.09	109	35244	
"Slovenia"	3.91	3.80	4.27	3.41	4.25	4.21	4.81	4.64	4.63	4.73	4.63	4.54	4.22	4.06	4.30	4.16	4.35	4.50	4.41	4.47	99	22148	
"Libya, State of"	4.30	4.30	4.21	4.19	3.96	4.31	4.79	8.22	9.17	5.64	6.81	4.76	4.04	5.14	6.17	4.61	5.78	5.20	4.84	4.18	89	21274	
"Austria"	4.41	3.92	3.79	3.75	3.63	4.02	4.31	4.23	4.23	4.53	4.01	4.26	4.17	3.79	4.22	3.96	3.86	4.21	3.99	4.23	81	19148	
