Importers	2007-M06-Exported unit value, US Dollar/Kilograms	2007-M07-Exported unit value, US Dollar/Kilograms	2007-M08-Exported unit value, US Dollar/Kilograms	2007-M09-Exported unit value, US Dollar/Kilograms	2007-M10-Exported unit value, US Dollar/Kilograms	2007-M11-Exported unit value, US Dollar/Kilograms	2007-M12-Exported unit value, US Dollar/Kilograms	2008-M01-Exported unit value, US Dollar/Kilograms	2008-M02-Exported unit value, US Dollar/Kilograms	2008-M03-Exported unit value, US Dollar/Kilograms	2008-M04-Exported unit value, US Dollar/Kilograms	2008-M05-Exported unit value, US Dollar/Kilograms	2008-M06-Exported unit value, US Dollar/Kilograms	2008-M07-Exported unit value, US Dollar/Kilograms	2008-M08-Exported unit value, US Dollar/Kilograms	2008-M09-Exported unit value, US Dollar/Kilograms	2008-M10-Exported unit value, US Dollar/Kilograms	2008-M11-Exported unit value, US Dollar/Kilograms	2008-M12-Exported unit value, US Dollar/Kilograms	2009-M01-Exported unit value, US Dollar/Kilograms	Exported value in 2009-M01, US Dollar thousand	Exported quantity in 2009-M01, Kilograms	
"World"	4.29	4.30	4.47	4.50	4.63	4.81	4.81	4.71	4.81	5.12	5.05	4.91	4.85	4.82	4.78	4.83	4.38	3.89	4.16	4.08	4421	1084158	
"United Kingdom"	4.69	4.54	4.42	4.59	4.74	5.28	5.15	4.64	4.55	4.45	4.67	4.76	4.55	4.44	4.56	4.29	4.13	3.51	3.66	3.56	1289	362504	
"France"	3.93	3.98	4.05	4.22	4.23	4.32	4.48	4.51	4.52	4.75	4.73	4.70	4.23	4.36	4.53	4.10	3.80	3.71	4.08	3.75	441	117732	
"Denmark"	4.44	4.80	4.43	4.49	5.25	5.00	4.79	4.72	4.49	5.78	4.93	5.12	5.44	5.28	5.45	5.37	4.29	4.48	4.31	5.11	382	74692	
"Italy"	3.95	3.86	4.24	4.26	4.79	4.21	4.74	4.61	4.62	5.19	4.69	4.58	4.79	5.59	5.45	4.55	3.92	4.01	3.96	3.78	297	78589	
"Spain"	3.98	4.07	4.37	4.76	5.32	4.57	4.67	5.15	4.66	5.48	5.16	5.15	5.84	4.95	4.94	4.96	4.10	4.03	4.26	3.88	220	56747	
"Sweden"	4.26	4.05	4.03	4.17	4.19	4.37	4.21	4.17	4.31	4.78	5.01	4.45	5.00	4.67	4.42	4.12	3.73	4.74	4.67	4.12	155	37649	
"Austria"	4.36	4.51	4.33	4.59	4.54	4.86	4.65	4.81	4.63	5.04	5.00	5.09	4.95	5.10	4.88	4.79	3.97	4.83	3.46	4.59	146	31819	
"Germany"	4.07	4.07	4.42	4.99	3.97	4.90	4.74	4.25	5.05	4.46	4.73	4.86	4.90	4.98	4.92	4.13	4.75	3.74	3.78	4.03	139	34516	
"Israel"	4.31	4.08	3.98	4.21	5.09	4.44	4.80	4.36	4.66	5.90	5.59	3.94	5.61	4.84	4.36	4.43	4.26	3.88	4.53	4.36	139	31894	
"Hungary"	4.01	4.10	4.08	4.29	3.62	4.18	3.39	3.86	4.10	4.46	4.53	3.32	4.65	4.60	4.09	4.80	5.50	4.09		3.60	125	34712	
"Belgium"	4.45	4.67	4.49	4.51	4.97	5.00	4.86	4.73	5.13	5.27	5.62	5.36	4.82	5.42	5.12	4.66	4.91	4.57	5.50	4.32	122	28218	
"Portugal"	4.50	4.17	4.50	4.02	4.57	4.16	4.55	5.22	5.25	5.04	5.87	5.44	4.56	5.90	4.82	5.06	4.29	4.21	5.29	4.71	102	21651	
"United Arab Emirates"	4.73	5.26	5	4.90	5.67	4.54	5.05	5.28	7.39		6.04	6.51	6.06	10	6.21	6.28	7.53	5.37	4.45	4.44	89	20048	
"Iraq"	4.49	14	5.58	6.07	5.03	4.21	3.79	5.32	4.24	6.98	4.06	4.55	4.02	4.36	9.04	6.35	7.90	8.06	4.43	4.22	84	19889	
"Netherlands"	4.58	4.09	6.14	4.60	4.29	4.65	4.11	4.64	4.52	5.17	5.11	4.28	4.54	5.25	4.82	4.29	3.73	3.68	6.40	7.99	79	9885	
"Greece"	5.30	5.16	6.83	4.70	5.44	6.74	11	5.53	5.81	9.72	7.46	5.16	5.63	5.40	3.72	6.78	5.17	5.27	6.04	6.29	75	11922	
"Switzerland"	6.21	5.58	4.57	4.89	5.16	4.96	5.70	4.25	6.96	6.21	6.44	5.88	7.76	6.44	7.14	5.41	4.43		5.47	5.40	69	12776	
"Croatia"	3.80	4.74	4.12	4.47	3.94	4.12	4.18		4.86	4.10	5.59	4.01	4.60	4.19	4.17	4.58	3.60	3.69	3.64	4.22	61	14451	
"Slovenia"	4.75	5.06	4.68	3.87	5.41	5.65	4.51	5.49	5.24	6.14	4.97	6.25	5.36	5.95	6.02	5.59	4.75	4.67	4.94	5.14	48	9330	
"Azerbaijan"	4.58	11	8.69	7.53	5.71	9.21	6.62	8.93	5.82	7.13	13	13	6.78	11	9.45	6.67	7.99	12	8.20	11	41	3774	
"Bosnia and Herzegovina"		4.33	3.87	4.12	4.24	4.64	4.90	4.24	3.99	4	4.34	4.34	5.44	4.40	4.20	4.49	4.31	0	23	3.86	39	10113	
"Ireland"	4.43	3.75	4.08	3.54	4.11	4.17	4.19	4.71	3.33	4.17	4.49	3.53	5.25	4.27	4.46	5.08	3.70		3.41	3.55	33	9284	
"Lebanon"		3.54	5.95		4.87		6.45	5.10		5.51		5.03	6.28	5.57	6.38	4.79	5.35	4.96	7.40	3.73	29	7773	
"Lithuania"	4.21	4.41	4.63	4.50	4.49	5.53	5.22	4.46		5.54	5.33	5.25	5.83	6.06	5.05	4.75	4.94	4.10	4.51	4.63	28	6053	
"Czech Republic"	3.82	3.88	3.84	3.59	4.34	4.23	4.16	4.42	3.95	4.30	4.15	4.19	5.26	4.35	4.04	4.34	3.63	3.52	3.58	3.48	28	8045	
"Macedonia, The Former Yugoslav Republic of"	3.75	0	3.56	4.23	3.70	4.24	5.54	4.29	8.08	4.30	4.30	4.69	6.20	4.64	4.21	3.75	4.02	3.26		4.40	27	6140	
"Poland"	4.58	4.61	5.25	5.26	3.97	4.58	4.07	4.45	4.49	4.47	4.47	5.34	4.65	4.52	4.48	4.28	3.86	3.54	3.40	3.67	21	5727	
"Russian Federation"	5.19	5.09	4.88	5.33	5.15	5.77	6.26	0	4.86	5.53	5.43	6.71	5.66	5.05	4.84	5.58	4.41	4.55	5.79	8.58	18	2097	
"Bulgaria"	4.62	3.34	3.62	3.39	4.22	3.83	4.51	4.58	3.86	3.91	3.85	3.26	4.68	4.70	5.88	6.54	3.61	3.83	3.66	4.63	18	3885	
"Hong Kong, China"											8.05									9.76	16	1640	
"Australia"	5.46	4.65	9.01		4.71	4.65	5.12	4.82		4.81	4.93	5.25	5.02	5.35		6.94	5.32	5.34		5.26	13	2470	
"Romania"	4.07	4.11	4.14	4.66	3.99	4.16	4.08	3.86	3.77	8.34	5.47	5.14	7.01	9.01	4.94	4.97	4.78	5.25	7.14	9.89	11	1112	
"Cyprus"	6.64	8.27	9.19	8.99	9.11	6.66	8.53	13	7.05	15	8.83	5.42	5.52	12	12	11	7.03	9.14	5.41	9.16	8	873	
"Serbia"	4.53	3.31	14	3.41	3.15	4.60	5.58	23		3.71	6.13	5.29	11	4.18	3.89	11	5.32	3.75		3.33	7	2104	
"Jordan"	4.35	3.88	4.13	3.84	3.94	4.25	4.34			3.70	3.67	4.19	4.13	4.23	4.36	10		4.94	4.55	15	7	480	
"Turkmenistan"	5.18		3.75	3.57	11	9.76	8.03	5	11	0	21	5.81	9.12	11	11	7.06	6.05	12	0	3.75	6	1600	
