Importers	2009-M01-Exported unit value, US Dollar/Kilograms	2009-M02-Exported unit value, US Dollar/Kilograms	2009-M03-Exported unit value, US Dollar/Kilograms	2009-M04-Exported unit value, US Dollar/Kilograms	2009-M05-Exported unit value, US Dollar/Kilograms	2009-M06-Exported unit value, US Dollar/Kilograms	2009-M07-Exported unit value, US Dollar/Kilograms	2009-M08-Exported unit value, US Dollar/Kilograms	2009-M09-Exported unit value, US Dollar/Kilograms	2009-M10-Exported unit value, US Dollar/Kilograms	2009-M11-Exported unit value, US Dollar/Kilograms	2009-M12-Exported unit value, US Dollar/Kilograms	2010-M01-Exported unit value, US Dollar/Kilograms	2010-M02-Exported unit value, US Dollar/Kilograms	2010-M03-Exported unit value, US Dollar/Kilograms	2010-M04-Exported unit value, US Dollar/Kilograms	2010-M05-Exported unit value, US Dollar/Kilograms	2010-M06-Exported unit value, US Dollar/Kilograms	2010-M07-Exported unit value, US Dollar/Kilograms	2010-M08-Exported unit value, US Dollar/Kilograms	Exported value in 2010-M08, US Dollar thousand	Exported quantity in 2010-M08, Kilograms	
"World"	3.61	3.73	3.50	3.50	3.59	3.61	3.68	3.70	3.83	3.87	4.06	4.13	3.98	4.00	3.91	3.85	3.78	3.54	3.72	3.83	20123	5252581	
"United Kingdom"	3.15	3.43	3.25	3.09	3.27	3.48	3.53	3.49	3.50	3.45	3.58	3.62	3.61	3.46	3.31	3.36	3.26	3.22	3.29	3.46	6466	1866782	
"Iraq"	3.71	3.73	3.81	3.70	3.49	3.49	3.62	3.49	3.43	3.56	3.71	3.67	3.62	3.69	3.65	3.74	3.94	3.67	3.75	3.81	2174	571256	
"France"	3.30	3.45	3.41	3.27	3.46	3.56	3.73	3.72	3.85	4.09	4.24	4.10	4.04	3.93	3.82	3.77	3.54	3.47	3.67	3.64	1379	378634	
"Iran, Islamic Republic of"			5.52	4.07		5.36	4.51		5.99	2.93	5.62	5.49	5.13	6.15	5.02	6.64	4.86	5.04	4.62	4.70	967	205699	
"Romania"	4.23	3.70	3.75	3.86	3.97	4.54	4.08	4.12	4.13	4.18	5.51	4.38		9.64	4.20	4.14	3.91	3.90	4.26	4.12	854	207224	
"Libya, State of"	2.89		2.77		2.92	2.97	2.90	2.81	3.04	3.10	3.33	5.27	3.21	4.52	3.40	3.23	3.18	2.91	27	3.15	798	253713	
"Israel"	3.82	3.53	4.96		4.22	3.83	3.81	4.08	3.98	4.56	5.22	4.68	3.16	4.41	6.02	4.51	3.99	3.93	3.40	4.33	592	136663	
"United States of America"	7.49	10	6.47	7.11	6.46	7.19	6.89	9.24	7.76	8.28	7.82	6.99	7.15	7.90	6.70	11	6.72	7.83	5.78	7.10	473	66580	
"Yemen"		3.96		3.30	3.31		3.46	3.64	3.25	3.40	3.74			4.12	3.76		3.79	3.31	3.34	3.64	454	124560	
"Argentina"					5.50					5.84	5.33	4.66						2.49	4.07	4.02	448	111362	
"Portugal"	4.44	3.89	3.80	4.03	4.53	3.73	4.39	4.49	4.87	5.39	4.54	5.19	5.03	5.27	4.65	4.55	4.85	3.68	4.72	4.38	445	101673	
"Georgia"	3.53	3.15	3.44	3.47	3.63	3.34	3.34	3.40	3.37	3.62	3.95	3.65	3.68	4.03	3.77	3.60	3.73	3.75	3.65	3.60	436	121189	
"Azerbaijan"	4.89	4.61	3.99	3.85	4.38	4.63	4.61	4.69	4.18	4.92	4.79	4.84	6.49	5.40	5.36	5.19	4.80	5.60	4.68	5.10	433	84901	
"Turkmenistan"	11	17	3.75		17	5.67	16	7.31	4.63	5.83	4.89	3.95	3.85	4.02	3.68	4.59	4.36	5.85	3.66	3.84	348	90708	
"Sweden"	4.98	3.83						0					0					3.96	4.56	4.03	334	82949	
"Greece"	4.16	3.45	3.35	4.18	3.58	3.80	4.29	4.11	4.29	5.26	4.48	5.07	4.63	4.42	3.64	4.15	4.10	3.70	4.33	4.43	313	70665	
"Spain"	4.01	4.11	3.71	3.69	3.72	4.17	3.99	3.87	4.55	4.83	4.78	4.84	4.77	4.84	4.26	3.94	4.39	3.72	3.53	4.79	267	55706	
"Ireland"	3.21	3.16	3.12	3.25	3.06	3.34	3.34	3.45	3.35	3.56	3.81	3.81	3.71	4.03	3.57	3.80	3.33	3.36	3.46	3.58	234	65420	
"Denmark"	5.15	5.04	3.79	3.28	4.22	3.96	4.43	4.52	4.74	4.68	4.45	4.56	5.40	5.49	5.34	4.65	4.66	4.37	4.08	4.74	207	43639	
"Italy"	3.85	3.56	3.84	4.39	4.69	4.81	4.41	4.32	5.33	4.97	4.91	5.83	4.00	3.80	4.31	3.89	3.46	3.15	3.43	3.06	206	67310	
"Poland"	7.36		5.2	7.26		7.61			7.46	5.29	3.47	5.94	3.66	3.47	3.89	3.76	3.30	3.45	2.90	3.52	177	50328	
"China"	5.93	4.94	4.35		4.96		7.14	4.65	5.79	5.78	6.41	4.87	4.93	4.36		4.88	4.79	4.59	5.60	5.25	170	32408	
"Belgium"	3.42	3.73	3.95	3.64	3.81	4.19	3.87	4.40	4.39	4.10	4.31	4.85	4.96	5.07	4.32	4.98	4.51	4.28	4.38	4.03	137	34007	
"Bulgaria"	6.02	6.48	4.32	3.53	3.88	3.63	4.07	3.77	3.76	4.33	4.78	3.67		5.72	4.57	4.62	4.16	3.86	4.12	3.99	129	32332	
"Senegal"		3.84		3.46	4.29			5.04	4.84	3.79	4.42		4.12		4.02	4.33	4.16		3.86	3.93	118	30008	
"Lithuania"	5.00	3.54	3.52	2.95		3.68	3.33	3.57	4.24	4.63	4.27	4.52	4.76	4.85	5.18	4.53	4.18	3.92	4.12	4.09	114	27877	
"Finland"	8		4.00	3.92		4.17			4.17	5.41		4.78			3.82	3.38	3.81	3.50	3.27	3.24	108	33371	
"Syrian Arab Republic"				5.88	6.05	6.78				4.36	5	4.67		6.25	5.54	4.79	6.38	4.12	4.48	4.28	104	24309	
"Jordan"				3.58	3.99								3.49	3.80	4.45	3.74	4.38	4.03	3.90	4.06	96	23617	
"Germany"	5.04	4.47	4.91	5.04	4.94	4.18	4.29	3.99	5.45	5.54	4.23	4.46	4.35	4.54	4.37	4.01	4.35	4.02	4.30	4.07	95	23362	
"Ukraine"				5.14				4.58	4.62	8	4.41	4.17	2.78	9.30	3.47		5.57	2.84	3.70	4.72	86	18228	
"Kyrgyzstan"		3.13	3.17					2.96	3.04	3.14	3.37				3.57	3.61		3.37	3.38	3.51	84	23899	
"Czech Republic"	3.54		2.86	2.85	3.20	3.14	3.31	3.28	3.65	3.71	3.59	5.26	4.72	3.13	3.68	3.69	3.48	3.48	3.69	3.18	77	24186	
"Austria"	6.02	4.95	4.96	6.89	5.36	4.60	4.56	4.76	3.96	6.37	5.47	4.96	5.26	5.53	4.78	4.97	5.12	5.43	4.89	4.32	74	17121	
"Uzbekistan"	9.90	29	5.61	5.52	4.17	3.88	9.46	5.36	3.80	3.91		4.37	5.34	4.66	4.47	18	4.44	4.19		4.95	69	13943	
"Cyprus"	4.36	4.88	4.71	5.32	4.95	5.13	5.18	6.70	6.01	5.59	5.28	5.66	5.34	5.12	4.76	4.92	5.26	3.87	4.73	5.65	66	11686	
"Slovenia"	4.35		4.56	5.22	6	4.62	4.98	5.21	5.70	5.80	6.09	8.33		6.33	5.29	5.57		3.86	4.03	5.30	54	10195	
"Malta"	5.21	5.80			4.76			4.47			4.87				6.94	4.78		6.31		5.09	36	7066	
"Ghana"	4.15	3.50					3.34			3.77	3.74	3.31				4.16	3.56		4.31	3.78	34	9000	
