Importers	2016-M12-Exported unit value, US Dollar/Kilograms	2017-M01-Exported unit value, US Dollar/Kilograms	2017-M02-Exported unit value, US Dollar/Kilograms	2017-M03-Exported unit value, US Dollar/Kilograms	2017-M04-Exported unit value, US Dollar/Kilograms	2017-M05-Exported unit value, US Dollar/Kilograms	2017-M06-Exported unit value, US Dollar/Kilograms	2017-M07-Exported unit value, US Dollar/Kilograms	2017-M08-Exported unit value, US Dollar/Kilograms	2017-M09-Exported unit value, US Dollar/Kilograms	2017-M10-Exported unit value, US Dollar/Kilograms	2017-M11-Exported unit value, US Dollar/Kilograms	2017-M12-Exported unit value, US Dollar/Kilograms	2018-M01-Exported unit value, US Dollar/Kilograms	2018-M02-Exported unit value, US Dollar/Kilograms	2018-M03-Exported unit value, US Dollar/Kilograms	2018-M04-Exported unit value, US Dollar/Kilograms	2018-M05-Exported unit value, US Dollar/Kilograms	2018-M06-Exported unit value, US Dollar/Kilograms	2018-M07-Exported unit value, US Dollar/Kilograms	Exported value in 2018-M07, US Dollar thousand	Exported quantity in 2018-M07, Kilograms	
"World"	4.41	4.29	4.45	4.26	4.42	4.58	4.57	4.77	5.23	5.54	5.55	4.97	5.33	5.17	5.14	5.08	5.17	5.04	4.95	5.45	27366	5024616	
"United Kingdom"	6.54	6.46	7.86	7.14	6.68	7.48	7.40	9.02	9.22	9.30	7.71	7.28	7.87	9.18	8.68	8.23	8.76	9.82	8.10	8.07	4256	527699	
"Saudi Arabia"	4.79	5.04	5.08	4.41	4.37	5.01	4.51	6.19	5.54	5.13	5.54	5.34	7.12	6.22	6.41	5.34	5.45	6.40	4.73	5.21	1789	343516	
"Netherlands"	5.57	6.21	6.82	6.73	7.69	7.64	7.75	7.42	8.00	8.73	8.28	7.11	9.10	7.88	8.25	7.91	7.45	7.36	8.23	8.27	1635	197796	
"Germany"	5.38	6.52	5.57	6.04	6.98	5.35	6.57	5.26	5.56	5.98	7.07	7.58	6.65	7.11	6.62	7.52	8.68	7.25	6.90	6.30	1442	228780	
"Italy"	3.17	3.29	3.29	3.32	3.48	3.65	3.94	4.64	4.00	3.81	3.55	3.72	3.94	3.85	3.73	4.52	4.31	3.58	3.89	4.14	993	239621	
"Poland"	4.20	4.44	3.19	3.97	3.66	4.36	3.95	5.06	7.54	3.03	4.11	4.34	4.86	3.25	5.13	4.84	4.70	4.67	5.11	4.81	982	204315	
"Israel"	4.43	4.26	4.86	4.59	4.93	5.47	4.55	4.64	5.01	5.66	3.85	3.78	4.93	5.26	5.19	5.27	5.42	5.36	4.78	5.08	965	189880	
"Bangladesh"	3.12	3.21			2.5			3.14	2.72	9.01	2.59	3.21	3.40		12		3.33	3.30	3.28	3.53	926	262478	
"United States of America"	9.64	8.67	12	11	11	11	8.73	14	12	14	11	13	12	12	11	13	13	12	12	12	900	76012	
"Georgia"	6.21	5.65	4.34	4.16	3.97	3.79	3.90	4.40	5.04	5.53	8.03	4.78	6.73	6.55	4.54	5.43	6.41	4.38	4.28	4.75	812	171055	
"Iraq"	3.36	3.30	3.66	3.24	3.44	3.40	3.36	3.31	3.47	4.45	4.47	3.42	3.33	3.27	3.45	3.57	4.16	3.92	3.41	3.99	811	203276	
