Importers	2015-M05-Exported unit value, US Dollar/Kilograms	2015-M06-Exported unit value, US Dollar/Kilograms	2015-M07-Exported unit value, US Dollar/Kilograms	2015-M08-Exported unit value, US Dollar/Kilograms	2015-M09-Exported unit value, US Dollar/Kilograms	2015-M10-Exported unit value, US Dollar/Kilograms	2015-M11-Exported unit value, US Dollar/Kilograms	2015-M12-Exported unit value, US Dollar/Kilograms	2016-M01-Exported unit value, US Dollar/Kilograms	2016-M02-Exported unit value, US Dollar/Kilograms	2016-M03-Exported unit value, US Dollar/Kilograms	2016-M04-Exported unit value, US Dollar/Kilograms	2016-M05-Exported unit value, US Dollar/Kilograms	2016-M06-Exported unit value, US Dollar/Kilograms	2016-M07-Exported unit value, US Dollar/Kilograms	2016-M08-Exported unit value, US Dollar/Kilograms	2016-M09-Exported unit value, US Dollar/Kilograms	2016-M10-Exported unit value, US Dollar/Kilograms	2016-M11-Exported unit value, US Dollar/Kilograms	2016-M12-Exported unit value, US Dollar/Kilograms	Exported value in 2016-M12, US Dollar thousand	Exported quantity in 2016-M12, Kilograms	
"World"	3.81	3.84	3.75	3.72	3.85	3.72	3.64	3.92	3.54	3.85	3.84	4.05	3.74	3.70	3.54	3.75	3.68	3.66	3.65	3.60	15721	4369585	
"United Kingdom"	3.59	3.75	3.71	3.72	3.73	3.56	3.48	3.61	3.23	3.22	3.22	3.35	3.36	3.46	3.33	3.17	3.14	3.10	2.96	2.90	2155	743554	
"United States of America"	10	9.37	8.84	7.19	7.51	9.34	9.07	8.60	8.88	8.68	9.09	9.05	8.83	8.46	8.54	8.86	9.72	8.36	7.80	7.48	1832	244948	
"Germany"	4.59	4.86	3.83	4.71	4.87	4.11	4.58	4.87	3.93	4.01	4.54	5.43	4.57	4.58	4.52	4.26	4.59	4.06	3.62	3.54	1755	495451	
"Sweden"	3.43	3.52	3.41	3.67	3.52	3.49	3.52	3.45	3.62	3.48	3.37	3.56	3.60	3.69	3.53	3.45	3.66	3.55	3.42	3.62	1553	428843	
"France"	3.09	3.18	3.05	3.06	3.19	3.09	3.07	3.28	3.13	2.97	3.12	3.16	3.14	3.16	3.01	3.15	3.24	3.07	2.95	3.03	1243	410320	
"Israel"	3.63	3.32	3.42	3.38	3.29	3.47	3.10	3.46	3.07	3.76	3.32	3.68	3.34	3.41	3.44	3.33	3.30	3.35	3.75	3.21	989	307886	
"Italy"	2.95	2.95	2.89	3.05	3.21	2.94	3.07	3.04	3.14	2.93	2.97	3.31	3.33	3.19	3.15	3.21	3.19	3.24	3.08	3.05	674	221036	
"Egypt"	3.42	3.39	3.59	3.55	3.38	3.49	3.19	3.48	3.23	3.45	3.89	3.63	3.29	3.39	3.45	3.13	5.26	4.00	3.44	4.30	500	116388	
"Canada"	13	14	14	14	13	15	14	14		13	13	14	14	11		13	14	15	15	14	391	28909	
"Iraq"	4.23	4.49	3.70	4.38	4.97	4.80	3.79	3.76	3.29	3.67	3.30	3.42	3.30	3.27	3.34	3.84	3.21	3.65	3.71	3.12	370	118632	
"Denmark"	3.98	3.74	3.80	4.15	3.58	3.67	3.42	3.76	3.48	3.45	3.50	3.63	3.78	3.64	3.20	3.40	3.64	3.51	3.73	3.38	352	104195	
"Belgium"	3.51	3.69	3.85	3.75	3.97	3.58	3.55	3.63	3.75	3.89	3.58	3.78	3.77	3.71	3.25	3.83	3.88	3.63	3.77	3.72	304	81706	
"United Arab Emirates"	5.29	3.38	3.36	3.26	3.23	2.93	3.17	3.65	3.22	5.85	3.49	3.90	4.31	3.61	3.28	3.62	3.14	3.33	3.24	3.46	237	68560	
"Spain"	3.31	3.49	3.34	3.52	3.41	3.21	3.25	3.31	3.28	3.11	3.24	3.48	3.43	3.45	3.14	3.42	3.41	3.58	3.16	3.12	235	75233	
"Netherlands"	3.77	3.44	3.57	3.13	3.09	2.96	3.58	3.42	3.61	3.04	3.53	3.55	3.49	3.66	3.36	3.54	4.12	3.70	3.60	3.33	233	69906	
"Austria"	3.24	2.99	3.10	3.29	3.37	3.25	3.02	3.31	3.17	3.56	3.40	3.83	3.13	3.20	3.10	3.50	3.47	3.36	3.46	3.21	210	65402	
"Switzerland"	3.32	4.45	4.25	3.55	3.99	4.65	3.97	3.83	4.11	3.63	3.67	3.32	2.65	3.10	3.66	4.14	3.57	3.55	3.89	4.06	188	46254	
"Iran, Islamic Republic of"	5.41	3.88	4.42	4.86	3.96	4.29	3.73	3.94	3.62	3.73	3.76	4.07	3.91	3.34	3.91	3.94	3.92	3.86	4.10	4.01	182	45388	
"Poland"	2.88	2.90	2.62	2.80	2.83	2.64	2.69	2.59	2.67	2.80	2.60	2.88	2.56	3.12	2.81	2.94	3.01	3.05	2.82	2.74	167	60889	
"Kuwait"	4.39	3.56	6.06	3.24	3.31	4.06	3.91	3.85	3.51	3.67	5.13	3.75	3.36	3.70		4.55		3.86	4.54	3.72	160	43018	
"Slovenia"	3.51	3.58	3.50	3.67	3.68	3.64	3.52	3.64	3.51	3.63	3.49	3.81	3.82	3.93	3.59	3.52	3.70	3.80	3.58	3.36	149	44305	
"Portugal"	3.37	3.05	3.12	3.16	3.35	3.36	2.87	3.40	3.20	2.92	2.71	3.19	2.88	3.14	3.07	3.15	3.41	2.87	3.43	3.42	141	41269	
"Ukraine"	3.11	2.90	2.98	3.13	3.05	3.18	2.75	3.18	2.93	3.02	3.07	3.08	3.25	3.15	3.26	3.32	3.02	2.98	3.46	3.03	134	44173	
"Mali"	3.48	3.13		3.18		3.44	3.03		3.31	2.96		3.10	3.69			3.50		3.03	3.27	3.09	126	40809	
"Croatia"	4.70	3.22	3.45	3.12	3.07	3.42	2.71	3.10	3.01	3.85	3.85	4.09	3.31	4.06	3.15	3.46	2.88	3.04	3.03	2.87	115	40104	
"Romania"	3.28	2.97	2.66	2.61	2.61	2.68	2.63	2.54	2.51	2.51	2.71	2.94	4.62	2.74	2.68	2.70	2.91	2.67	2.48	2.64	106	40155	
"Ireland"	4.57	5.52	7.30	4.67	4.39	4.34	3.89	4.70	3.90	5.23	3.87	4.94	5.91	5.51	5.09	3.62	3.61	3.70	5.15	3.42	103	30098	
"Lebanon"	4.28	4.48	4.05	4.16	4.91	3.49	3.81	4.81	7.50	4.08	3.64	3.41	3.52	3.64	3.74	3.65	3.81	3.63	3.70	3.82	98	25652	
"Serbia"	2.78	2.93	2.99	3.47	2.91	2.83	2.61	2.76	2.96	3.00	3.51	2.85	2.93	2.87	2.52	2.76	3.60	2.78	2.89	2.96	95	32129	
"Slovakia"	2.99	3.02	3.45	3.02	3.38	3.07	3.11	2.78	2.87	3.30	3.28	3.71	4.10	3.40	3.40	3.73	3.31	3.46	3.60	2.99	87	29080	
"Russian Federation"	4.85	2.91	4.00	3.90	2.47	3.42	2.97			2.85	11	3.62	4.03	4.14	3.53	3.63	3.47	4.04	3.04	3.46	78	22561	
"Czech Republic"	2.59	3.13	3.67	2.92	2.76	2.97	2.90	2.84	2.75	3.00	3.28	4.66	3.26	3.06	3.10	3.33	3.35	3.11	3.03	3.03	53	17497	
"Hungary"	3.02	2.99	2.89	2.87	2.92	2.72	2.63	3.12	3.05	3.48	2.21	2.65	2.97	2.85	2.30	2.33	2.33	2.28	2.75	2.18	52	23832	
"Bulgaria"	2.99	2.90	3.43	2.91	3.03	2.82	2.95	2.76	3.20	3.41	3.03	3.03	5.28	3.27	3.17	3.03	2.82	3.51	2.92	2.83	49	17305	
"Free Zones"	7.59	7.17	6.86	7.12	7.10	6.52	6.67	6.18	6.55	6.67	6.75	6.49	6.91	6.90	7.12	6.80	6.69	8.75	6.48	18	47	2669	
"Bangladesh"		24				5.70	3.86						4.08		2.54					4.27	40	9360	
"Jordan"	5.31	3.93	4.44	4.15	4.21	4.56	5.55		4.26	4.52	3.59	3.64	3.72	3.43	3.79	4.98	3.89	4.48	5.80	2.97	40	13472	
"Saudi Arabia"	6.82	3.53	3.89	7.48	11	9.45	3.33	4.22	6.13	3.83	4.51	4.68	12	4.35	3.76	4.61	5.44		4.75	5.13	39	7603	
"Australia"	4.40	3.28	6.52	3.67	8.55	4.88	3.97	5.01	3.09	3.92	6.66	5.14	4.01	4.96	6.18	3.78	3.83	3.44	4.33	3.73	38	10177	
"Senegal"	3.22	3.05	2.91	3.33	3.05	3.07	2.83		2.58	2.87	3.23	3.07	7.38	3.10	3.12	3.24	3.40		3.30	3.30	34	10310	
"Tunisia"	5.79	3.82	3.32	3.23	3.78	4.79	15	5.61	4.39	5.87	3.47	3.62	5.21	3.65	4.23	3.63	3.54	4.96	3.93	3.49	33	9443	
"India"	9.80	9.71	3.18	7.11	6.45		9.37	5.08	11	5.83	4.85	9.23	4.18	3.73		4.14	4.08	8.36	5.11	4.27	32	7488	
"Greece"	5.18	3.76	4.03	3.27	3.60	4.84	4.20	3.69	4.35	4.57	4.16	3.31	3.00	3.64	3.71	4.45	3.54	3.96	5.10	4.19	31	7400	
"Cyprus"	5.23	8.10	5.81	4.81	3.10	4.07	6.06	4.44	4.27	4.43	4.32	3.70	3.55	5.10	14	5.91	6.13	5.46	6.82	5.58	30	5374	
"Malta"	4.25	4.21	3.56	4.40	4.39	4.15	3.44	4.33	4.20	4.06	3.65	3.26	3.81	3.64	3.45	4.36	3.82	4.31	3.86	3.82	27	7061	
"Macedonia, The Former Yugoslav Republic of"	3.06	2.86	2.87	2.74	2.77	2.84	2.80	2.75	2.77	2.53	2.29	3.28	3.07	2.79	2.58	2.81	3.05	3.01	2.97	3.65	25	6846	
"Georgia"	4.96	5.70	5.57	5.81	5.43	6.30	4.33	6.24	6.71	2.70	5.95	3.87	4.31	3.72	3.52	4.87	6.91	3.77	6.42	6.61	17	2570	
"Morocco"	3.68	4.61	3.63	3.83	4.03	4.84	4.63	3.83	3.75	3.97	4.31	4.03	4.01	4.03	4.26	3.73	4.06	6.78	3.92	5.15	16	3109	
"Qatar"	3.65		3.17	2.89		3.91	4.01		3.36	2.86	3.38	3.31	4.18	3.18	7.98	3.49	3.36	4.53	3.91	4.09	15	3665	
"China"			9.09		3.61	2.71	3.13				9.63		5.19			3.25	6.25	5		4.69	15	3200	
"Gabon"		3.32					3.32						3.39						3.11	3.74	15	4015	
"Lithuania"	4.05			3.94	3.96	3.85	3.70	3.82	3.89	3.94	3.41		2.98	3.29	3.12	3.42	3.29	3.26	3.19	3.00	14	4663	
"Finland"	3.08	3.16		3.04	3.07	3.22	2.72	2.72	3.08	3.08	2.88	3.09	3.52	3.59	3.06	3.35	3.38	3.51	3.44	3.10	12	3869	
"Bosnia and Herzegovina"	2.76	2.56	2.95	5.56	2.38	2.31	3.47	3.14		3.08	3.42	2.90	3.23	2.64	2.77	2.66	2.78	2.51	3.00	2.37	11	4644	
"Norway"														2.86				20	18	3.20	9	2816	
"Ghana"	4.72		3.69					12		4.23	6.45	5.55	22			16		2.96		7.06	6	850	
"Côte d'Ivoire"		13	2.89	3.00	3.42	3.48	5.18	3.47	2.87	3.36	3.48	2.87	3.69	2.87	3.12	3.21	3.31	4.38	2.83	3.04	5	1645	
"Kenya"		8.21							6.38		9.85		14				17	4.70		4.88	5	1024	
"Kyrgyzstan"		6.41	6.71			8.99					6.80	8.33		6.80		6.80			14	18	5	285	
"Bahrain"	4.33	3.39	3.22	3.74	3.29		9	3.47	3.18	2.61	3.03	3.41	3.31	9.38	3.49		3.09	4.37	3.71	4.57	4	875	
"Cameroon"	3.24	4.63	3.23							2.76		2.93	3.76				2.71		2.98	2.84	4	1408	
"Guinea-Bissau"		19			3.29		2.48							3.61						3.28	4	1218	
"Maldives"	23									11		11							18	3.50	3	856	
"Singapore"	9.49		11	11	6.02	10	7.87		11	3.76		11		9.45	5.75	7.80				6.74	3	445	
"Burkina Faso"		5.26				3.83		2.98	6.06	4.21	3.12			2.69						5.08	3	590	
"Uruguay"					1.88	3.76	2.51				3.06					5.43			5.36	3.01	3	998	
"Uzbekistan"		7.41	6.25	7.27			19	6.74	5.39	14		5.5		8.80						4.41	3	680	
"Afghanistan"																				6.34	3	473	
"Kazakhstan"	4.48	7.40	4.78	5.27	17	6.51	6.27	18	6.49	8.99	6.30	11	8.15	11		4.94		6.51		5.99	2	334	
"Mongolia"										5.23	3.25	3.50								3.28	1	305	
"Mauritania"				2.71	3.48		5.21									3.48		5		2.13	1	470	
"Argentina"							2.39													7.09	1	141	
"Saint Lucia"		4.63																		2.73	1	366	
"Sudan (before 2012)"			3.88				4.05	3.29						4.24				4.14	3.55	3.40	1	294	
"Tajikistan"						6.71					2.54							1.73		24	1	42	
"Montenegro"		2.01		6.35		2.45				3.44	3.45	3.63	2.97	2.61	3.06	2.99	2.65	2.62	2.70	3.12	1	320	
"New Caledonia"			4.46				3.47	3.47		3.05								2.99	3.78	5.21	1	192	
"New Zealand"	2.93					2.73	2.66	3.02	2.66		5.77	9.58	13	3.31		3.73	4.39	3.44	3.62	3.47	1	288	
"Niger"			3.24														2.30				0		
"Nigeria"		4.74		4.10				7		12			8.96			14	19				0		
"Mozambique"			10									5.88							13		0		
"Oman"			3.71	8.22	4.38	3.28	3.46	3.64		3.22	3.14	3.64		4.34	3.43	7.22			4.30		0		
"Rwanda"			7.81					19	22												0		
"Pakistan"			4.81			36		10		8.47		14									0		
"Paraguay"							5.59		6.03								6.01				0		
"Peru"		5.29						5.56				8.55									0		
"Philippines"	7.14	7.28																			0		
"Thailand"									6.71												0		
"Togo"			2.78								3.25	19				3.12		2.51	3.54		0		
"Syrian Arab Republic"					3.17				1.40	2.20	1.63	1.50						11			0		
"Somalia"													3.78	14							0		
"South Africa"	3.47	3.47	3.47	4.05	2.48	3.58	3.47			28		6.45		3.99	4.39		15		5.56		0		
"Saint Vincent and the Grenadines"	4.27						2.73				4.12								2.73		0		
"Viet Nam"			5																		0		
"Zambia"							6.06														0		
"Tanzania, United Republic of"	6.84						2.5		6.45										3.01		0		
"Turkmenistan"	6.16	7.13	4.96	9.71	5.67	4.88	9.22	7.87	9.04	7.12	7.71	8.43	4.85	3.78	11	3.63	5.88		9.46		0		
"Albania"	5.21	2.72										3.42	5.21			3.08					0		
"Algeria"	4.57	8.59	13	3.15	34	3.81	5.15	6.64	2.80	2.35	3.96	4.14	4.35			2.99	3.12	5.34	4.22		0		
"Angola"																		8.70	19		0		
"Azerbaijan"	11	7.49	7.98	9.12	33	6.65	6.54	17	3.32	13	9.68	10	10	8.48	28	3.65	4.54	5.23	7.30		0		
"Bolivia, Plurinational State of"																		3.89			0		
"Myanmar"														20							0		
"Belarus"																			6.94		0		
"Sri Lanka"				5.62					2.27					21					5.73		0		
"Chile"					4.16	5.79		3.96					5.95					5.08			0		
"Ethiopia"		11			9.87	7.39							2.80	6.05							0		
"Estonia"	3.95	4.49	4.12	4.51	4.54	3.89	4.24	3.83		5.09			3.33	3.37		3.54		4	2.96		0		
"Gambia"														4.42							0		
"Djibouti"	9.09			9.17				6.13													0		
"Congo"	2.83																2.88	3.25			0		
"Congo, Democratic Republic of the"																		2.84			0		
"Costa Rica"				8.55																	0		
"Benin"	2.78		2.88			2.84	2.75	2.81		3.75	2.88		2.96					4.05			0		
"Mauritius"	3.13			3.13		8.16	3.01		7.22	3.01	3.01		6.02		3.13	5.88		3.01	2.58		0		
"Taipei, Chinese"							8.99	11										9.45			0		
"Moldova, Republic of"		3.87	3.95	3.47		3.32	6.12	3.87		2.97	10			3.47		3.73	4.22	4.34	3.48		0		
"Luxembourg"								3.33													0		
"Madagascar"	3.84																				0		
"Korea, Republic of"													2.69								0		
"Latvia"													2.95	3.38	3.11						0		
"Liberia"			3.60	3.43				4.05													0		
"Libya, State of"	3.07	4.24	3.36	3.51	3.55	8.26	3.14	3.60			2.99	3.43	3.56		4.27	3.44	3.38				0		
"Indonesia"								17													0		
"Guinea"			3.70		11		4.85	2.89	3.48		3.60				3.74			7.63			0		
"Guyana"				3.27						3.45		2.86									0		
"Hong Kong, China"	5.43				6.45	9.65						6.45					5.81				0		
