Importers	2007-M06-Exported unit value, US Dollar/Kilograms	2007-M07-Exported unit value, US Dollar/Kilograms	2007-M08-Exported unit value, US Dollar/Kilograms	2007-M09-Exported unit value, US Dollar/Kilograms	2007-M10-Exported unit value, US Dollar/Kilograms	2007-M11-Exported unit value, US Dollar/Kilograms	2007-M12-Exported unit value, US Dollar/Kilograms	2008-M01-Exported unit value, US Dollar/Kilograms	2008-M02-Exported unit value, US Dollar/Kilograms	2008-M03-Exported unit value, US Dollar/Kilograms	2008-M04-Exported unit value, US Dollar/Kilograms	2008-M05-Exported unit value, US Dollar/Kilograms	2008-M06-Exported unit value, US Dollar/Kilograms	2008-M07-Exported unit value, US Dollar/Kilograms	2008-M08-Exported unit value, US Dollar/Kilograms	2008-M09-Exported unit value, US Dollar/Kilograms	2008-M10-Exported unit value, US Dollar/Kilograms	2008-M11-Exported unit value, US Dollar/Kilograms	2008-M12-Exported unit value, US Dollar/Kilograms	2009-M01-Exported unit value, US Dollar/Kilograms	Exported value in 2009-M01, US Dollar thousand	Exported quantity in 2009-M01, Kilograms	
"World"	3.75	3.58	3.95	3.90	4.16	4.31	4.20	4.25	4.29	4.31	4.10	4.10	4.20	4.34	4.16	4.22	3.86	3.71	3.76	3.61	10277	2845038	
"Iraq"	3.34	3.26	3.79	3.25	3.35	3.24	3.49	3.41	3.58	3.49	3.52	3.48	3.65	3.75	3.76	3.92	3.81	3.85	3.75	3.71	2596	698914	
"United Kingdom"	4.35	4.34	4.18	4.36	4.61	4.60	4.36	4.39	4.33	4.36	4.10	4.24	4.42	4.32	4.31	3.88	3.43	3.26	3.19	3.15	1945	618400	
"Libya, State of"	3.04	2.99		3.26	3.19	3.49	3.25	3.37	3.38	3.43	3.46	3.49	3.36	3.44	3.63	3.69	3.77	3.24	3.31	2.89	1363	470952	
"France"	3.44	3.53	3.64	3.88	3.66	3.88	3.79	3.81	3.75	4.18	4.30	4.19	4.16	4.42	4.05	4.19	3.54	3.36	3.57	3.30	684	207346	
"Spain"	3.71	3.99	4.20	3.95	4.70	4.86	5.15	4.93	4.42	5.14	4.61	4.86	4.81	5.22	4.61	4.67	3.76	3.71	3.98	4.01	661	164675	
"Greece"	3.85	3.73	3.58	3.78	3.73	4.16	4.24	4.25	4.38	4.44	4.46	3.98	4.58	4.35	3.89	3.80	3.55	3.51	3.57	4.16	391	94033	
"Portugal"	4.85	3.76	3.93	4.44	4.58	4.37	4.95	5.02	4.91	5.17	6.22	4.64	5.12	3.98	4.78	4.81	4.85	4.65	4.84	4.44	302	67955	
"Azerbaijan"	3.63	3.30	3.06	3.31	3.54	4.69	3.59	3.99	4.05	5.19	4.21	3.83	4.37	4.83	4.21	4.52	4.18	4.22	4.51	4.89	291	59462	
"Israel"	3.28	3.52	7.03	3.57	4.02	4.27	4.25	4.25	6.97	4.11	5.95	4.56	4.18	5.33	3.91	4.29	3.94	3.75	4.32	3.82	257	67220	
"Ireland"	4.02	4.08	3.90	4.10	4.31	4.43	4.47	4.33	4.25	4.53	4.27	4.06	4.24	4.16	4.31	3.66	3.61	3.24	3.55	3.21	252	78438	
"Romania"	4.23	4.30	4.28	4.36	4.48	4.62	4.65	4.64	4.76	5.02	4.97	4.92	4.92	4.93	4.68	4.59	4.23	4.05	4.21	4.23	185	43740	
"Germany"	4.95	5.29	4.77	4.05	4.62	4.53	5.02	5.84	4.86	5.99	6.38	5.87	6.41	4.50	5.26	5.80	5.60	5.20	5.49	5.04	140	27780	
"Lithuania"	4.38	4.81	4.94	4.80	4.82	5.55	5.88	5.50	5.78	6.07	5.81	5.43	5.27	5.56	5.13	5.05	4.93	4.72	4.59	5.00	137	27426	
"United States of America"	6.12	5.49	5.80		6.11	5.88	10			6.44	8.98	6.56	9.21	7.91	7.83	6.71	6.27	6.65	7.44	7.49	133	17757	
"Georgia"	3.57	3.52	3.53	3.54	3.47	3.56	3.99	3.68	3.59	3.74	3.80	3.94	3.90	3.92	3.89	4.20	3.96	4.73	4.14	3.53	128	36216	
"Denmark"	5.25	5.26	4.89	5.18	5.41	5.70	5.40	5.56	4.86	5.68	5.84	5.93	5.65	5.51	5.19	5.00	4.26	4.58	4.55	5.15	99	19237	
"Tunisia"		2.65			21				1.02			5.66	22					5.86		6.09	87	14282	
"Macedonia, The Former Yugoslav Republic of"	3.58	4.55	3.88	3.70	3.90	4.21	5.06	4.76	4.93	5.40	5.46	5.19	4.72	4.85	4.73	4.35	3.60	4.18	3.48	4.11	79	19226	
"Belgium"	3.71	3.88	3.48	3.42	3.62	3.74	3.91	3.83	3.92	4.15	4.56	4.35	4.58	3.98	4.17	4.29	3.83	3.64	4.27	3.42	69	20175	
"Cyprus"	7.10	5.30	5.44	4.27	5.10	4.64	5.24		7.45	6.31	7.04	7.88	7.08	8.71	7.00	6.01	4.66	4.75	5.16	4.36	43	9858	
"Free Zones"			6	6.82				10	14		18	15				18	5.71			12	42	3498	
"Turkmenistan"	3.17	3.42	15	3.25	3.06	3.29	3.20	3.61	3.51	5.88	3.87	3.58	3.91	4.02	5.39	6.87		13	5.71	11	42	3956	
"Poland"		6.06		7.64	6.99	8.98		8.93	9.56	9.56	8.62	8.45	8.63	9.56	9.26	8.25	6.91	7.28	6.93	7.36	37	5026	
"Russian Federation"	3.70	2.83	4.02	5.23	5.51	5.32	5.02	4.72	5.67	5.27	5.43	5.69	5.47	5.59	5.00	6.08	5.73	4.62	4.30	6.59	37	5615	
"Ghana"	7.14	3.24	3.37	4.99	3.71						4.23		4.16	4.14						4.15	35	8440	
"Austria"	4.54	4.96	5.29	6.87	5.92	5.71	4.93	6.15	7.06	7.68	7.64	7.52	6.20	4.67	5.89	6.03	5.04	5.22		6.02	27	4487	
