Importers	2002-M09-Exported unit value, US Dollar/Kilograms	2002-M10-Exported unit value, US Dollar/Kilograms	2002-M11-Exported unit value, US Dollar/Kilograms	2002-M12-Exported unit value, US Dollar/Kilograms	2003-M01-Exported unit value, US Dollar/Kilograms	2003-M02-Exported unit value, US Dollar/Kilograms	2003-M03-Exported unit value, US Dollar/Kilograms	2003-M04-Exported unit value, US Dollar/Kilograms	2003-M05-Exported unit value, US Dollar/Kilograms	2003-M06-Exported unit value, US Dollar/Kilograms	2003-M07-Exported unit value, US Dollar/Kilograms	2003-M08-Exported unit value, US Dollar/Kilograms	2003-M09-Exported unit value, US Dollar/Kilograms	2003-M10-Exported unit value, US Dollar/Kilograms	2003-M11-Exported unit value, US Dollar/Kilograms	2003-M12-Exported unit value, US Dollar/Kilograms	2004-M01-Exported unit value, US Dollar/Kilograms	2004-M02-Exported unit value, US Dollar/Kilograms	2004-M03-Exported unit value, US Dollar/Kilograms	2004-M04-Exported unit value, US Dollar/Kilograms	Exported value in 2004-M04, US Dollar thousand	Exported quantity in 2004-M04, Kilograms	
"World"	3.54	3.26	3.62	3.90	4.30	3.82	3.66	3.46	3.65	3.96	3.74	3.98	3.55	3.62	3.85	4.24	4.90	4.10	4.16	4.13	9221	2234722	
"Romania"	5.62	3.55	3.79	3.31	3.73	3.76	3.40	3.22	3.70	3.96	3.86	3.39	3.12	3.07	4.28	4.35	4.23	4.13	4.12	3.91	1460	372956	
"Bulgaria"	3.34	2.77	3.14	10	3.20	3.79	3.24	3.19	3.30	3.34	3.21	3.26	2.90	4.03	3.58	3.16	2.64	3.87	3.77	4.34	1454	334731	
"France"	3.21	2.67	2.60	2.94	3.15	2.71	2.69	3.06	6.63	2.95	3.07	2.86	3.82	3.49	3.40	4.07	4.49	3.92	4.28	3.97	1361	343125	
"Ukraine"	3.74	3.50	3.58	3.53	2.93	2.91	3.10	2.97	2.94	3.21	3.07	3.49	4.30	4.23	4.23	3.36		3.29	3.43	3.35	536	160204	
"Croatia"				2.71		4.43	4.47	2.99	3.44	3.91	3.41	3.38	8.33	1.59	2.48		6.76	7.00	4.18	4.08	382	93532	
"United Kingdom"	2.96	3.99	3.72	2.72	3.22	3.43	2.73	4.24	4.35	3.94	4.74	3.14	3.91	3.39	2.84	4.10	5.04	5.45	3.63	4.12	347	84300	
"Iraq"										3.51	3.28	7.12	3.29	3.33	3.37	3.35	3.28	3.47	3.42	3.67	310	84572	
"Germany"	4.18	3.71	3.79	4.85	4.37	4.29	3.69	3.87	4.05	4.06	4.23	3.69	3.22	4.14	4.10	5.31	4.27	6.34	4.23	4.80	286	59565	
"Austria"	5.30	3.46	5.17	5.27	5.61	4.88	6.64	4.79	5.57	6.38	5.84	5.42	5.35	5.54	5.93	5.77	7.11	6.14	6.55	5.80	277	47745	
"Azerbaijan"	7.87	11	2.90	4	1.83		2.54	2.55	3.92	2.70		2.67	5.95	2.89		8.20	12	0.67	3.21	3.86	252	65280	
"United States of America"	4.35	6.95	4.68	5.36	5.14	5.84	5.03	4.77	8.61	6.23	5.76	5.84	4.70	5.48	3.52	5.91	5.88	6.67	6.11	7.25	251	34617	
"Greece"	2.72	2.62	2.69	2.98	2.91	3.10	3.05	2.98	3.26	4.03	3.13	3.17	3.18	3.38	3.26	3.29	3.81	3.75	3.38	3.50	216	61707	
"Serbia"	2.41	2.38	3.07	3.22	2.91	3.54	3.83	2.57	3.32	3.64	3.17	3.27	2.99	3.34	3.35	3.97	5.64	3.84	5.52	3.70	195	52753	
"Hungary"	7.69		8		4.61		3.29	4.92	5.42	3.50	3.14	3.12	3.35	3.50	3.63	4.29	3.62		4.69	3.98	188	47192	
"Israel"	3.61	3.99	3.43	4.51	3.77	3.75	4.34	3.54	4.09	3.45	4.27	3.14	3.19	4.42	3.38	3.55	4.21	5.52	3.89	5.40	173	32054	
"Italy"	2.70	2.62	2.76	2.90	3.72	3.79	3.35	3.99	3.17	6.63	5.04	3.66	3.55	3.73	3.35	5.42	5.38	4.34	7.52	3.88	154	39712	
"Moldova, Republic of"			8.56				3.74	0	0	6.73	0					5.94				3.79	127	33480	
"Ireland"	3.90	2.20	2.19	2.36	2.49	2.52			3.15		3.22	4.35	0	2.64	2.71	2.91	3.01	3.72	4.33	4.08	126	30901	
"Bosnia and Herzegovina"	2.91	0		3.44		3.50	3.23	4.28	4.25	3.23	2.92	2.92			0					4.72	119	25195	
"Belgium"	2.65	3.29	4.79	4.04	10	3.72	3.06	5.11	6.34	5.41	4.23	3.17	3.10	3.74	3.66	3.62	3.24	5.35	3.76	3.15	100	31746	
"Netherlands"	7.40	4.18	3.22	6.23	4.13	3.27	4.69	4.69	4.98	5.20	4.03	4.42	4.06	5.77	4.89	4.57	5.88	4.87	5.37	4.82	96	19907	
"Switzerland"	3.03			3.51	3.74	3.71	4.99	3.87	4.81	3.24	4.27	3.55	4.83		4.51	4.06	5.98	4.99	3.24	3.63	93	25643	
"Spain"	3.95	2.46	2.59	4.57	7.19	2.80	3.55	3.06	3.13	4.79	3.84	3.02	2.84	3.81	3.15	3.51	5.02	3.45	3.22	5.37	78	14526	
"Czech Republic"		5.08				4.58			2.5			3.57			3.74	30			7.02	5.09	57	11199	
"Cyprus"	3.48	4.04		3.01	4.90	2.90	4.24	3.85	3.51	5.88	3.58	5.77	3.96	4.18	6.70	4.84	3.75	3.83	3.64	4.69	47	10031	
"Georgia"	10	3.33	11	3.53			2.75	2.71	2.98	4.38	2.32	3.54	1.29	5.75	3.28	5.58	15		3.81	3.50	42	11998	
"Australia"		5.28	8.95	2.65		4.83	8.96	5.13	7.22	8.26	6.89	7.04	11	8.84	12	3.26	10	3.39	6.87	5.68	40	7040	
"Syrian Arab Republic"																				4.10	40	9750	
