Importers	2005-M11-Exported unit value, US Dollar/Kilograms	2005-M12-Exported unit value, US Dollar/Kilograms	2006-M01-Exported unit value, US Dollar/Kilograms	2006-M02-Exported unit value, US Dollar/Kilograms	2006-M03-Exported unit value, US Dollar/Kilograms	2006-M04-Exported unit value, US Dollar/Kilograms	2006-M05-Exported unit value, US Dollar/Kilograms	2006-M06-Exported unit value, US Dollar/Kilograms	2006-M07-Exported unit value, US Dollar/Kilograms	2006-M08-Exported unit value, US Dollar/Kilograms	2006-M09-Exported unit value, US Dollar/Kilograms	2006-M10-Exported unit value, US Dollar/Kilograms	2006-M11-Exported unit value, US Dollar/Kilograms	2006-M12-Exported unit value, US Dollar/Kilograms	2007-M01-Exported unit value, US Dollar/Kilograms	2007-M02-Exported unit value, US Dollar/Kilograms	2007-M03-Exported unit value, US Dollar/Kilograms	2007-M04-Exported unit value, US Dollar/Kilograms	2007-M05-Exported unit value, US Dollar/Kilograms	2007-M06-Exported unit value, US Dollar/Kilograms	Exported value in 2007-M06, US Dollar thousand	Exported quantity in 2007-M06, Kilograms	
"World"	4.11	4.27	8.68	4.55	3.91	4.85	4.41	3.34	3.27	3.31	3.82	3.91	3.58	3.66	3.71	3.66	3.90	3.93	3.89	3.75	21741	5791394	
"United Kingdom"				13				3.76	3.96	3.96	4.30	4.74	3.82	3.91	3.94	3.79	4.34	4.55	4.43	4.35	4507	1035547	
"Iraq"	3.24	4.37		4.42	3.22	3.72	3.64	3.47	2.82	3.11	3.25	2.92	3.09	3.24	3.17	3.12	3.16	3.19	3.29	3.34	3696	1105093	
"France"			9.52					2.74		2.77		3.92	3.01	3.17	3.02	3.04	3.51	3.66	3.53	3.44	2292	665720	
"Spain"													3.83	3.26	3.76	4.24	4.25	4.34	4.44	3.71	1714	462579	
"Iran, Islamic Republic of"								0	3.07	3.72	3.70	3.98	3.71	3.50	3.86	3.38	3.59	3.92	3.93	3.76	1171	311164	
"Libya, State of"	2.48												2.88	2.72		3.16	3.00	3.31	3.04	3.04	1119	367521	
"Russian Federation"	11		5.68							4.00	4.28	4.45	4.42	3.52	3.90	4.21	4.78	4.43	4.44	3.70	989	267020	
"Azerbaijan"					6.46		6.18	4.71	3.05	2.96	4.70	2.93	3.36	3.20	3.40	3.47	3.35	3.36	3.31	3.63	821	226105	
"Portugal"								2.87	2.98	3.01	4.10	5.95	3.33	3.43	3.26	3.38	3.88	4.02	3.84	4.85	704	145034	
"Georgia"									15	4.44	4.44	3.47	3.72	3.50	3.45	3.62	3.61	3.63	3.61	3.57	629	176382	
"Ukraine"									5.36	3.23	3.5	3.33	3.70	3.71	3.81	3.79	3.93	4.08	3.84	3.93	571	145322	
"Greece"		5.63						3.43	3.64	3.54	6.41	5.39	3.06	3.23	3.73	3.48	3.65	3.52	3.54	3.85	494	128407	
"Ireland"												3.91	3.31	3.64	3.69	3.42	4.06	4.17	3.90	4.02	395	98325	
"Belgium"		2.30							3.36	2.84	2.75	3.48	3.08	3.05	3.22	3.01	3.64	3.79	3.98	3.71	367	98828	
"Denmark"													4.16	4.02	4.70	5.16	5.00	4.98	4.39	5.25	237	45107	
"Norway"									3.10	3.09			3.26	3.15	3.45	4.12			3.48	3.44	200	58185	
"Turkmenistan"	6.24						12		27	3.14				1.76	3.45	3.23	3.22		3.29	3.17	176	55558	
"Lithuania"											4.49	3.70	3.99	4.37	4.17	5.15	4.50	4.62	4.66	4.38	171	39047	
