Importers	2013-M10-Exported unit value, US Dollar/Kilograms	2013-M11-Exported unit value, US Dollar/Kilograms	2013-M12-Exported unit value, US Dollar/Kilograms	2014-M01-Exported unit value, US Dollar/Kilograms	2014-M02-Exported unit value, US Dollar/Kilograms	2014-M03-Exported unit value, US Dollar/Kilograms	2014-M04-Exported unit value, US Dollar/Kilograms	2014-M05-Exported unit value, US Dollar/Kilograms	2014-M06-Exported unit value, US Dollar/Kilograms	2014-M07-Exported unit value, US Dollar/Kilograms	2014-M08-Exported unit value, US Dollar/Kilograms	2014-M09-Exported unit value, US Dollar/Kilograms	2014-M10-Exported unit value, US Dollar/Kilograms	2014-M11-Exported unit value, US Dollar/Kilograms	2014-M12-Exported unit value, US Dollar/Kilograms	2015-M01-Exported unit value, US Dollar/Kilograms	2015-M02-Exported unit value, US Dollar/Kilograms	2015-M03-Exported unit value, US Dollar/Kilograms	2015-M04-Exported unit value, US Dollar/Kilograms	2015-M05-Exported unit value, US Dollar/Kilograms	Exported value in 2015-M05, US Dollar thousand	Exported quantity in 2015-M05, Kilograms	
"World"	4.67	4.59	4.56	4.66	4.25	4.72	4.50	4.63	4.63	4.62	4.41	4.41	4.23	4.06	4.12	3.96	4.09	4.08	3.75	3.81	13879	3638831	
"United Kingdom"	4.18	4.18	4.04	4.11	4.09	4.71	4.38	4.45	4.23	4.43	4.31	4.32	4.27	3.98	3.90	3.94	3.74	3.53	3.35	3.59	2021	563069	
"France"	3.90	3.91	4.14	4.01	4.00	3.89	3.80	3.83	3.81	3.85	3.63	3.66	3.52	3.50	3.50	3.35	3.28	3.00	3.03	3.09	1966	635351	
"Germany"	6.47	6.99	4.90	4.47	4.67	5.05	5.38	6.35	5.71	5.16	5.11	4.63	4.79	5.61	4.75	4.62	4.52	5.63	4.65	4.59	1260	274637	
"United States of America"	13	14	11	11	4.85	11	13	12	12	12	12	11	11	9.95	8.72	9.72	11	9.92	10	10	1143	113339	
"Egypt"	4.37	4.25	4.18	4.12	4.32	3.94	3.97	3.97	3.99	3.95	3.70	3.50	3.38	3.42	3.64	3.45	3.47	3.41	3.46	3.42	1121	327561	
"Israel"	4.71	3.96	4.45	4.27	4.31	4.45	4.38	4.67	4.41	3.82	3.91	3.81	3.66	3.84	3.65	3.77	3.37	3.42	3.35	3.63	802	220673	
"Sweden"	4.51	4.58	4.58	4.48	4.50	4.65	4.56	4.35	4.33	4.35	4.30	4.55	4.35	4.00	4.21	3.53	3.54	3.25	3.47	3.43	709	206810	
"Spain"	4.32	4.03	4.38	4.30	4.32	4.16	4.42	4.29	4.19	4.00	4.02	3.85	3.56	3.60	3.82	3.59	3.28	3.36	3.17	3.31	534	161283	
"Italy"	3.87	3.65	3.77	3.94	3.80	3.87	3.89	3.88	3.94	3.73	3.43	3.80	3.48	3.43	3.48	3.16	3.32	2.94	2.95	2.95	372	125900	
